Sample	Total.Reads
GU1125	26833212
GU12	8622870
GU1209	24627287
GU13	20394662
GU1423	29808090
GU1495	31210572
GU18	17503487
GU19	17607672
GU21	13371913
GU2157	32541913
GU22	19931526
GU2460	29905919
GU25	31939891
GU26	8774772
GU2709	26920739
GU29	15173151
GU2913	33540777
GU3012	28156748
GU32	17662790
GU36	11828890
GU37	18179514
GU41	10370350
GU42	12018580
GU44	16169853
GU45	12517971
GU454	27315775
GU46	14742700
GU467	21992013
GU5	25380389
GU53	18413250
GU55	8360442
GU65	22166807
GU67	19366164
GU69	18946076
GU71	24278010
GU73	23859916
GU74	25562445
GU77	21270253
GU78	18717421
GU8	12385005
GU81	16677972
GU82	22802765
GU83	23476114
GU9	12576428
