Sample,Illumina,Length,Location
HUZ696809.AF,HiSeq,2x100bp,MichiganState
HUZ695731.AF,HiSeq,2x100bp,MichiganState
HUZ695384.AF,NextSeq,2x75bp,Cornell
HUZ695323.AF,NextSeq,2x75bp,Cornell
HUZ695248.AF,NextSeq,2x75bp,Cornell
HUZ695190.AF,HiSeq,2x100bp,MichiganState
HUZ695075.AF,HiSeq,2x100bp,MichiganState
HUZ694877.AF,HiSeq,2x100bp,MichiganState
HUZ694453.AF,HiSeq,2x100bp,MichiganState
HUZ688834.AF,NextSeq,2x75bp,Cornell
HUZ688815.AF,HiSeq,2x100bp,MichiganState
HUZ688737.AF,HiSeq,2x100bp,MichiganState
HUZ630890.AF,NextSeq,2x75bp,Cornell
HUZ603273.AF,NextSeq,2x75bp,Cornell
HUZ426529.AF,HiSeq,2x100bp,MichiganState
HUZ424454.AF,HiSeq,2x100bp,MichiganState
HUZ422168.AF,HiSeq,2x100bp,MichiganState
HUZ422074.AF,NextSeq,2x75bp,Cornell
HUZ293712.AF,NextSeq,2x75bp,Cornell
HUZ288915.AF,NextSeq,2x75bp,Cornell
HUZ288036.AF,HiSeq,2x100bp,MichiganState
HUZ287757.AF,NextSeq,2x75bp,Cornell
HUZ286696.AF,NextSeq,2x75bp,Cornell
HUZ279531.AF,NextSeq,2x75bp,Cornell
HUZ260775.AF,HiSeq,2x100bp,MichiganState
HUZ247134.AF,HiSeq,2x100bp,MichiganState
HUZ222017.AF,NextSeq,2x75bp,Cornell
HUZ217739.AF,HiSeq,2x100bp,MichiganState
HUZ216631.AF,HiSeq,2x100bp,MichiganState
HUZ204705.AF,HiSeq,2x100bp,MichiganState
DM.clip75.AF,HiSeq,2x100bp,MichiganState
CM.clip75.AF,HiSeq,2x100bp,MichiganState
CHI520236.AF,NextSeq,2x75bp,Cornell
CHI475935.AF,NextSeq,2x75bp,Cornell
CHI475355.AF,NextSeq,2x75bp,Cornell
CHI132867.AF,NextSeq,2x75bp,Cornell
CHI089323.AF,NextSeq,2x75bp,Cornell
CHI077906.AF,NextSeq,2x75bp,Cornell
BM.clip75.AF,NextSeq,2x75bp,Cornell
AM.clip75.AF,HiSeq,2x100bp,MichiganState
HUZ695379.AF,NextSeq,2x75bp,Cornell
HUZ694874.AF,NextSeq,2x75bp,Cornell
HUZ688863.AF,NextSeq,2x75bp,Cornell
HUZ688774.AF,NextSeq,2x75bp,Cornell
HUZ688725.AF,NextSeq,2x75bp,Cornell
HUZ668756.AF,NextSeq,2x75bp,Cornell
HUZ661766.AF,NextSeq,2x75bp,Cornell
HUZ668860.AF,NextSeq,2x75bp,Cornell
HUZ288036.AF,NextSeq,2x75bp,Cornell
AM5.clip75.AF,NextSeq,2x75bp,Cornell
AM6.clip75.AF,NextSeq,2x75bp,Cornell
HUZ287915.AF,NextSeq,2x75bp,Cornell
