Sample	Total.Reads
CHI077906.AF	52401677
CHI089323.AF	41249988
CHI132867.AF	47819876
CHI475355.AF	41080145
CHI475935.AF	52986357
CHI520236.AF	28255510
HUZ204705.AF	140200015
HUZ216631.AF	114160171
HUZ217739.AF	81441544
HUZ222017.AF	62294810
HUZ247134.AF	70863922
HUZ260775.AF	127550250
HUZ279531.AF	151093384
HUZ286696.AF	61442432
HUZ287757.AF	42570112
HUZ287915.AF	79882456
HUZ288036.AF	128680078
HUZ293712.AF	57677766
HUZ422074.AF	68388077
HUZ422168.AF	86115320
HUZ424454.AF	108367544
HUZ426529.AF	49449930
HUZ603273.AF	72194288
HUZ630890.AF	130912515
HUZ661766.AF	117924053
HUZ688725.AF	45955597
HUZ688737.AF	46478474
HUZ688774.AF	61523559
HUZ688815.AF	85985089
HUZ688834.AF	82856965
HUZ694453.AF	101986236
HUZ694877.AF	82408411
HUZ695075.AF	110142832
HUZ695190.AF	43492186
HUZ695248.AF	68956004
HUZ695323.AF	84515953
HUZ695379.AF	49501968
HUZ695384.AF	46367626
HUZ695731.AF	79814018
HUZ696809.AF	104765341
