Tax.ID	Frequency	Proportion	Total
394	2	1.63997995616498e-07	12195271
882	1	8.19989978082488e-08	12195271
883	1	8.19989978082488e-08	12195271
1511	5	4.09994989041244e-07	12195271
2762	5	4.09994989041244e-07	12195271
2787	2	1.63997995616498e-07	12195271
2829	1	8.19989978082488e-08	12195271
2850	17	1.39398296274023e-06	12195271
2986	2	1.63997995616498e-07	12195271
3040	1	8.19989978082488e-08	12195271
5907	2	1.63997995616498e-07	12195271
5908	2	1.63997995616498e-07	12195271
5932	1	8.19989978082488e-08	12195271
31964	2	1.63997995616498e-07	12195271
35128	9	7.37990980274239e-07	12195271
43926	2	1.63997995616498e-07	12195271
43989	1	8.19989978082488e-08	12195271
44058	1	8.19989978082488e-08	12195271
59374	2	1.63997995616498e-07	12195271
62928	5	4.09994989041244e-07	12195271
62977	5	4.09994989041244e-07	12195271
63186	1	8.19989978082488e-08	12195271
65071	2	1.63997995616498e-07	12195271
66084	1	8.19989978082488e-08	12195271
69328	1	8.19989978082488e-08	12195271
75379	6	4.91993986849493e-07	12195271
76114	6	4.91993986849493e-07	12195271
76869	4	3.27995991232995e-07	12195271
78245	9	7.37990980274239e-07	12195271
84588	1	8.19989978082488e-08	12195271
85569	1	8.19989978082488e-08	12195271
85643	9	7.37990980274239e-07	12195271
94122	3	2.45996993424746e-07	12195271
96563	2	1.63997995616498e-07	12195271
100226	1	8.19989978082488e-08	12195271
101510	13	1.06598697150723e-06	12195271
103690	2	1.63997995616498e-07	12195271
105559	1	8.19989978082488e-08	12195271
106370	1	8.19989978082488e-08	12195271
109269	1	8.19989978082488e-08	12195271
110662	1	8.19989978082488e-08	12195271
111780	1	8.19989978082488e-08	12195271
114615	4	3.27995991232995e-07	12195271
120807	1	8.19989978082488e-08	12195271
134676	3	2.45996993424746e-07	12195271
137722	1	8.19989978082488e-08	12195271
153948	1	8.19989978082488e-08	12195271
158189	7	5.73992984657742e-07	12195271
158878	2	1.63997995616498e-07	12195271
158879	2	1.63997995616498e-07	12195271
159087	3	2.45996993424746e-07	12195271
160488	2	1.63997995616498e-07	12195271
160490	3	2.45996993424746e-07	12195271
160492	1	8.19989978082488e-08	12195271
160619	12	9.83987973698985e-07	12195271
