Tax.ID	Frequency	Proportion	Total
394	1	6.9261723360504e-08	14437989
4770	1	6.9261723360504e-08	14437989
5518	2	1.38523446721008e-07	14437989
5762	1	6.9261723360504e-08	14437989
5901	2	1.38523446721008e-07	14437989
5905	2	1.38523446721008e-07	14437989
10870	1	6.9261723360504e-08	14437989
28985	1	6.9261723360504e-08	14437989
35128	1	6.9261723360504e-08	14437989
36809	1	6.9261723360504e-08	14437989
43925	1	6.9261723360504e-08	14437989
55529	1	6.9261723360504e-08	14437989
62928	5	3.4630861680252e-07	14437989
65393	2	1.38523446721008e-07	14437989
74557	3	2.07785170081512e-07	14437989
75379	1	6.9261723360504e-08	14437989
76114	3	2.07785170081512e-07	14437989
76869	3	2.07785170081512e-07	14437989
78245	2	1.38523446721008e-07	14437989
85643	4	2.77046893442016e-07	14437989
94122	2	1.38523446721008e-07	14437989
96563	5	3.4630861680252e-07	14437989
106370	1	6.9261723360504e-08	14437989
114615	6	4.15570340163024e-07	14437989
120807	1	6.9261723360504e-08	14437989
134676	1	6.9261723360504e-08	14437989
155864	2	1.38523446721008e-07	14437989
159087	2	1.38523446721008e-07	14437989
160488	3	2.07785170081512e-07	14437989
164756	1	6.9261723360504e-08	14437989
176279	3	2.07785170081512e-07	14437989
176280	3	2.07785170081512e-07	14437989
189918	1	6.9261723360504e-08	14437989
190485	1	6.9261723360504e-08	14437989
190486	1	6.9261723360504e-08	14437989
190650	1	6.9261723360504e-08	14437989
196162	3	2.07785170081512e-07	14437989
199310	1	6.9261723360504e-08	14437989
204773	3	2.07785170081512e-07	14437989
205913	1	6.9261723360504e-08	14437989
205918	3	2.07785170081512e-07	14437989
205922	6	4.15570340163024e-07	14437989
208963	6	4.15570340163024e-07	14437989
208964	1	6.9261723360504e-08	14437989
216595	18	1.24671102048907e-06	14437989
216596	2	1.38523446721008e-07	14437989
220341	6	4.15570340163024e-07	14437989
220664	3	2.07785170081512e-07	14437989
223283	3	2.07785170081512e-07	14437989
224911	3	2.07785170081512e-07	14437989
226186	1	6.9261723360504e-08	14437989
227882	1	6.9261723360504e-08	14437989
228405	1	6.9261723360504e-08	14437989
232721	28	1.93932825409411e-06	14437989
234621	123	8.51919197334199e-06	14437989
235279	1	6.9261723360504e-08	14437989
235909	1	6.9261723360504e-08	14437989
245018	1	6.9261723360504e-08	14437989
247156	2	1.38523446721008e-07	14437989
257310	1	6.9261723360504e-08	14437989
257311	2	1.38523446721008e-07	14437989
257313	1	6.9261723360504e-08	14437989
258594	1	6.9261723360504e-08	14437989
264198	2	1.38523446721008e-07	14437989
264730	1	6.9261723360504e-08	14437989
266265	4	2.77046893442016e-07	14437989
266835	3	2.07785170081512e-07	14437989
266940	1	6.9261723360504e-08	14437989
267608	4	2.77046893442016e-07	14437989
267747	1	6.9261723360504e-08	14437989
269482	2	1.38523446721008e-07	14437989
269798	3	2.07785170081512e-07	14437989
272559	1	6.9261723360504e-08	14437989
272568	2	1.38523446721008e-07	14437989
272620	2	1.38523446721008e-07	14437989
272622	2	1.38523446721008e-07	14437989
272623	1	6.9261723360504e-08	14437989
272630	5	3.4630861680252e-07	14437989
278137	1	6.9261723360504e-08	14437989
279238	1	6.9261723360504e-08	14437989
281090	2	1.38523446721008e-07	14437989
284591	3	2.07785170081512e-07	14437989
284593	2	1.38523446721008e-07	14437989
284812	4	2.77046893442016e-07	14437989
288000	4	2.77046893442016e-07	14437989
290338	1	6.9261723360504e-08	14437989
290339	1	6.9261723360504e-08	14437989
290340	3	2.07785170081512e-07	14437989
290399	6	4.15570340163024e-07	14437989
295405	1	6.9261723360504e-08	14437989
296543	2	1.38523446721008e-07	14437989
296591	8	5.54093786884032e-07	14437989
298653	2	1.38523446721008e-07	14437989
300852	1	6.9261723360504e-08	14437989
306537	1	6.9261723360504e-08	14437989
312153	2	1.38523446721008e-07	14437989
314225	3	2.07785170081512e-07	14437989
316055	3	2.07785170081512e-07	14437989
316056	2	1.38523446721008e-07	14437989
316057	4	2.77046893442016e-07	14437989
316058	3	2.07785170081512e-07	14437989
316385	35	2.42416031761764e-06	14437989
316407	2	1.38523446721008e-07	14437989
317025	1	6.9261723360504e-08	14437989
317655	3	2.07785170081512e-07	14437989
318167	2	1.38523446721008e-07	14437989
319224	1	6.9261723360504e-08	14437989
319795	1	6.9261723360504e-08	14437989
320373	2	1.38523446721008e-07	14437989
320388	6	4.15570340163024e-07	14437989
321967	1	6.9261723360504e-08	14437989
322159	3	2.07785170081512e-07	14437989
323098	1	6.9261723360504e-08	14437989
326424	1	6.9261723360504e-08	14437989
330214	1	6.9261723360504e-08	14437989
331111	29	2.00858997745462e-06	14437989
331112	27	1.87006653073361e-06	14437989
333849	1	6.9261723360504e-08	14437989
335659	5	3.4630861680252e-07	14437989
338187	6	4.15570340163024e-07	14437989
338969	2	1.38523446721008e-07	14437989
339670	14	9.69664127047056e-07	14437989
340100	3	2.07785170081512e-07	14437989
342108	2	1.38523446721008e-07	14437989
344609	11	7.61878956965544e-07	14437989
349124	1	6.9261723360504e-08	14437989
349521	2	1.38523446721008e-07	14437989
350054	1	6.9261723360504e-08	14437989
351607	1	6.9261723360504e-08	14437989
351745	1	6.9261723360504e-08	14437989
351746	3	2.07785170081512e-07	14437989
355246	1	6.9261723360504e-08	14437989
357348	6	4.15570340163024e-07	14437989
358220	46	3.18603927458318e-06	14437989
360106	1	6.9261723360504e-08	14437989
360910	2	1.38523446721008e-07	14437989
362663	28	1.93932825409411e-06	14437989
365044	10	6.9261723360504e-07	14437989
365046	16	1.10818757376806e-06	14437989
365659	1	6.9261723360504e-08	14437989
366394	1	6.9261723360504e-08	14437989
369723	1	6.9261723360504e-08	14437989
373153	1	6.9261723360504e-08	14437989
373384	47	3.25530099794369e-06	14437989
375286	3	2.07785170081512e-07	14437989
376686	5	3.4630861680252e-07	14437989
378753	2	1.38523446721008e-07	14437989
379731	7	4.84832063523528e-07	14437989
381666	6	4.15570340163024e-07	14437989
381754	3	2.07785170081512e-07	14437989
382245	2	1.38523446721008e-07	14437989
382638	1	6.9261723360504e-08	14437989
384676	4	2.77046893442016e-07	14437989
386585	9	6.23355510244536e-07	14437989
387344	4	2.77046893442016e-07	14437989
388919	1	6.9261723360504e-08	14437989
390235	3	2.07785170081512e-07	14437989
390333	3	2.07785170081512e-07	14437989
391008	1	6.9261723360504e-08	14437989
391626	1	6.9261723360504e-08	14437989
391735	8	5.54093786884032e-07	14437989
391904	1	6.9261723360504e-08	14437989
392499	5	3.4630861680252e-07	14437989
393595	3	2.07785170081512e-07	14437989
395019	9	6.23355510244536e-07	14437989
395495	17	1.17744929712857e-06	14437989
395960	2	1.38523446721008e-07	14437989
395961	2	1.38523446721008e-07	14437989
397945	11	7.61878956965544e-07	14437989
398511	1	6.9261723360504e-08	14437989
398527	3	2.07785170081512e-07	14437989
398577	1	6.9261723360504e-08	14437989
398578	23	1.59301963729159e-06	14437989
399739	1	6.9261723360504e-08	14437989
400667	1	6.9261723360504e-08	14437989
400673	5	3.4630861680252e-07	14437989
402612	5	3.4630861680252e-07	14437989
402626	2	1.38523446721008e-07	14437989
405955	12	8.31140680326048e-07	14437989
409438	3	2.07785170081512e-07	14437989
412022	4	2.77046893442016e-07	14437989
414684	1	6.9261723360504e-08	14437989
416870	2	1.38523446721008e-07	14437989
419610	1	6.9261723360504e-08	14437989
