Tax.ID	Frequency	Proportion	Total
394	5	6.98585035570832e-08	71573248
882	2	2.79434014228333e-08	71573248
883	5	6.98585035570832e-08	71573248
1148	2	2.79434014228333e-08	71573248
1511	3	4.19151021342499e-08	71573248
2762	1	1.39717007114166e-08	71573248
2769	4	5.58868028456666e-08	71573248
2771	2	2.79434014228333e-08	71573248
2787	4	5.58868028456666e-08	71573248
2829	1	1.39717007114166e-08	71573248
2832	1	1.39717007114166e-08	71573248
2839	18	2.514906128055e-07	71573248
2850	20	2.79434014228333e-07	71573248
2880	1	1.39717007114166e-08	71573248
2898	3	4.19151021342499e-08	71573248
2986	1	1.39717007114166e-08	71573248
4770	1	1.39717007114166e-08	71573248
4950	1	1.39717007114166e-08	71573248
5145	1	1.39717007114166e-08	71573248
5518	5	6.98585035570832e-08	71573248
5661	4	5.58868028456666e-08	71573248
5749	2	2.79434014228333e-08	71573248
5778	1	1.39717007114166e-08	71573248
5786	2	2.79434014228333e-08	71573248
5821	1	1.39717007114166e-08	71573248
5849	1	1.39717007114166e-08	71573248
5872	2	2.79434014228333e-08	71573248
5885	2	2.79434014228333e-08	71573248
5889	1	1.39717007114166e-08	71573248
5901	1	1.39717007114166e-08	71573248
5908	1	1.39717007114166e-08	71573248
5911	6	8.38302042684999e-08	71573248
5932	8	1.11773605691333e-07	71573248
31964	6	8.38302042684999e-08	71573248
33658	1	1.39717007114166e-08	71573248
35128	29	4.05179320631083e-07	71573248
36809	3	4.19151021342499e-08	71573248
43925	6	8.38302042684999e-08	71573248
43926	3	4.19151021342499e-08	71573248
44056	1	1.39717007114166e-08	71573248
44058	2	2.79434014228333e-08	71573248
46234	2	2.79434014228333e-08	71573248
47573	1	1.39717007114166e-08	71573248
48483	3	4.19151021342499e-08	71573248
48942	1	1.39717007114166e-08	71573248
49266	1	1.39717007114166e-08	71573248
52970	6	8.38302042684999e-08	71573248
55529	11	1.53688707825583e-07	71573248
56107	3	4.19151021342499e-08	71573248
56110	1	1.39717007114166e-08	71573248
59748	2	2.79434014228333e-08	71573248
59922	1	1.39717007114166e-08	71573248
60481	10	1.39717007114166e-07	71573248
62928	33	4.61066123476749e-07	71573248
62977	7	9.78019049799165e-08	71573248
63737	5	6.98585035570832e-08	71573248
64471	2	2.79434014228333e-08	71573248
65071	1	1.39717007114166e-08	71573248
66692	2	2.79434014228333e-08	71573248
69328	9	1.2574530640275e-07	71573248
72520	3	4.19151021342499e-08	71573248
75379	16	2.23547211382666e-07	71573248
76114	12	1.67660408537e-07	71573248
76869	16	2.23547211382666e-07	71573248
78245	11	1.53688707825583e-07	71573248
82654	2	2.79434014228333e-08	71573248
83406	1	1.39717007114166e-08	71573248
85569	1	1.39717007114166e-08	71573248
85643	28	3.91207619919666e-07	71573248
86416	1	1.39717007114166e-08	71573248
90936	3	4.19151021342499e-08	71573248
94122	9	1.2574530640275e-07	71573248
96561	1	1.39717007114166e-08	71573248
96563	6	8.38302042684999e-08	71573248
99287	1	1.39717007114166e-08	71573248
100226	5	6.98585035570832e-08	71573248
101510	38	5.30924627033833e-07	71573248
109269	4	5.58868028456666e-08	71573248
111598	1	1.39717007114166e-08	71573248
114615	20	2.79434014228333e-07	71573248
120807	6	8.38302042684999e-08	71573248
122587	5	6.98585035570832e-08	71573248
126793	2	2.79434014228333e-08	71573248
129356	1	1.39717007114166e-08	71573248
130081	2	2.79434014228333e-08	71573248
134676	3	4.19151021342499e-08	71573248
136089	2	2.79434014228333e-08	71573248
137722	5	6.98585035570832e-08	71573248
145522	2	2.79434014228333e-08	71573248
153948	11	1.53688707825583e-07	71573248
155864	1	1.39717007114166e-08	71573248
156889	2	2.79434014228333e-08	71573248
158189	3	4.19151021342499e-08	71573248
158190	1	1.39717007114166e-08	71573248
159087	14	1.95603809959833e-07	71573248
160488	7	9.78019049799165e-08	71573248
160490	2	2.79434014228333e-08	71573248
160491	1	1.39717007114166e-08	71573248
160492	1	1.39717007114166e-08	71573248
160619	22	3.07377415651166e-07	71573248
164037	2	2.79434014228333e-08	71573248
164328	1	1.39717007114166e-08	71573248
164756	11	1.53688707825583e-07	71573248
164757	1	1.39717007114166e-08	71573248
167542	1	1.39717007114166e-08	71573248
167546	1	1.39717007114166e-08	71573248
167879	2	2.79434014228333e-08	71573248
170187	1	1.39717007114166e-08	71573248
171101	4	5.58868028456666e-08	71573248
172968	2	2.79434014228333e-08	71573248
176279	15	2.0957551067125e-07	71573248
176280	16	2.23547211382666e-07	71573248
176299	6	8.38302042684999e-08	71573248
177437	1	1.39717007114166e-08	71573248
179408	101	1.41114177185308e-06	71573248
180504	1	1.39717007114166e-08	71573248
186103	1	1.39717007114166e-08	71573248
187272	7	9.78019049799165e-08	71573248
187303	2	2.79434014228333e-08	71573248
188937	1	1.39717007114166e-08	71573248
189423	2	2.79434014228333e-08	71573248
189918	2	2.79434014228333e-08	71573248
190485	22	3.07377415651166e-07	71573248
190486	5	6.98585035570832e-08	71573248
190650	15	2.0957551067125e-07	71573248
191026	1	1.39717007114166e-08	71573248
192952	10	1.39717007114166e-07	71573248
