Tax.ID	Frequency	Proportion	Total
394	3	5.6618348002298e-08	52986357
883	1	1.88727826674327e-08	52986357
1639	1	1.88727826674327e-08	52986357
2762	4	7.54911306697307e-08	52986357
2769	7	1.32109478672029e-07	52986357
2832	1	1.88727826674327e-08	52986357
2839	8	1.50982261339461e-07	52986357
2850	12	2.26473392009192e-07	52986357
2898	3	5.6618348002298e-08	52986357
2986	1	1.88727826674327e-08	52986357
4770	2	3.77455653348654e-08	52986357
4950	3	5.6618348002298e-08	52986357
5518	10	1.88727826674327e-07	52986357
5661	4	7.54911306697307e-08	52986357
5823	1	1.88727826674327e-08	52986357
5851	1	1.88727826674327e-08	52986357
5885	1	1.88727826674327e-08	52986357
5911	2	3.77455653348654e-08	52986357
5932	3	5.6618348002298e-08	52986357
10708	1	1.88727826674327e-08	52986357
10870	2	3.77455653348654e-08	52986357
31964	6	1.13236696004596e-07	52986357
35128	21	3.96328436016086e-07	52986357
35171	1	1.88727826674327e-08	52986357
35269	1	1.88727826674327e-08	52986357
35688	2	3.77455653348654e-08	52986357
36329	1	1.88727826674327e-08	52986357
36809	5	9.43639133371634e-08	52986357
43925	1	1.88727826674327e-08	52986357
44058	1	1.88727826674327e-08	52986357
46234	2	3.77455653348654e-08	52986357
48942	1	1.88727826674327e-08	52986357
52970	4	7.54911306697307e-08	52986357
55529	4	7.54911306697307e-08	52986357
56780	1	1.88727826674327e-08	52986357
60481	16	3.01964522678923e-07	52986357
62928	32	6.03929045357846e-07	52986357
62977	23	4.34074001350952e-07	52986357
63737	6	1.13236696004596e-07	52986357
69328	12	2.26473392009192e-07	52986357
72520	1	1.88727826674327e-08	52986357
75379	20	3.77455653348653e-07	52986357
76114	2	3.77455653348654e-08	52986357
76869	14	2.64218957344057e-07	52986357
78245	12	2.26473392009192e-07	52986357
82654	2	3.77455653348654e-08	52986357
83406	1	1.88727826674327e-08	52986357
85569	1	1.88727826674327e-08	52986357
85643	31	5.85056262690413e-07	52986357
91891	2	3.77455653348654e-08	52986357
94122	5	9.43639133371634e-08	52986357
96563	25	4.71819566685817e-07	52986357
100226	3	5.6618348002298e-08	52986357
101510	29	5.47310697355548e-07	52986357
103690	1	1.88727826674327e-08	52986357
106370	1	1.88727826674327e-08	52986357
109269	2	3.77455653348654e-08	52986357
110662	1	1.88727826674327e-08	52986357
114615	15	2.8309174001149e-07	52986357
122587	2	3.77455653348654e-08	52986357
126793	2	3.77455653348654e-08	52986357
134676	1	1.88727826674327e-08	52986357
137722	11	2.07600609341759e-07	52986357
145522	1	1.88727826674327e-08	52986357
150340	3	5.6618348002298e-08	52986357
155864	1	1.88727826674327e-08	52986357
156889	1	1.88727826674327e-08	52986357
158879	1	1.88727826674327e-08	52986357
159087	16	3.01964522678923e-07	52986357
160488	15	2.8309174001149e-07	52986357
160490	7	1.32109478672029e-07	52986357
160491	3	5.6618348002298e-08	52986357
160492	7	1.32109478672029e-07	52986357
164756	11	2.07600609341759e-07	52986357
164757	1	1.88727826674327e-08	52986357
170187	3	5.6618348002298e-08	52986357
171101	5	9.43639133371634e-08	52986357
176279	27	5.09565132020682e-07	52986357
176280	28	5.28437914688115e-07	52986357
176299	2	3.77455653348654e-08	52986357
177437	1	1.88727826674327e-08	52986357
179408	2	3.77455653348654e-08	52986357
186103	3	5.6618348002298e-08	52986357
187272	3	5.6618348002298e-08	52986357
187303	2	3.77455653348654e-08	52986357
188350	1	1.88727826674327e-08	52986357
188937	1	1.88727826674327e-08	52986357
189423	1	1.88727826674327e-08	52986357
189918	2	3.77455653348654e-08	52986357
190304	1	1.88727826674327e-08	52986357
190485	88	1.66080487473408e-06	52986357
190486	12	2.26473392009192e-07	52986357
190650	12	2.26473392009192e-07	52986357
191026	1	1.88727826674327e-08	52986357
193567	2	3.77455653348654e-08	52986357
195103	11	2.07600609341759e-07	52986357
196162	13	2.45346174676625e-07	52986357
196164	9	1.69855044006894e-07	52986357
196600	1	1.88727826674327e-08	52986357
198466	1	1.88727826674327e-08	52986357
198628	1	1.88727826674327e-08	52986357
203120	4	7.54911306697307e-08	52986357
203122	1	1.88727826674327e-08	52986357
203275	1	1.88727826674327e-08	52986357
204669	2	3.77455653348654e-08	52986357
204773	19	3.58582870681221e-07	52986357
205913	5	9.43639133371634e-08	52986357
205918	4	7.54911306697307e-08	52986357
205922	25	4.71819566685817e-07	52986357
208435	109	2.05713331075016e-06	52986357
208596	1	1.88727826674327e-08	52986357
208963	199	3.7556837508191e-06	52986357
208964	289	5.45423419088804e-06	52986357
209261	1	1.88727826674327e-08	52986357
211110	79	1.49094983072718e-06	52986357
211586	2	3.77455653348654e-08	52986357
216591	15	2.8309174001149e-07	52986357
216594	7	1.32109478672029e-07	52986357
216595	140	2.64218957344057e-06	52986357
216596	16	3.01964522678923e-07	52986357
216599	1	1.88727826674327e-08	52986357
216895	3	5.6618348002298e-08	52986357
218491	2	3.77455653348654e-08	52986357
218495	1	1.88727826674327e-08	52986357
220341	1095	2.06656970208388e-05	52986357
220664	18	3.39710088013788e-07	52986357
220668	1	1.88727826674327e-08	52986357
221988	4	7.54911306697307e-08	52986357
223283	8	1.50982261339461e-07	52986357
223926	6	1.13236696004596e-07	52986357
224324	1	1.88727826674327e-08	52986357
224911	31	5.85056262690413e-07	52986357
224915	1	1.88727826674327e-08	52986357
225937	1	1.88727826674327e-08	52986357
226186	4	7.54911306697307e-08	52986357
227086	4	7.54911306697307e-08	52986357
227321	1	1.88727826674327e-08	52986357
227882	3	5.6618348002298e-08	52986357
228405	6	1.13236696004596e-07	52986357
229533	5	9.43639133371634e-08	52986357
231023	11	2.07600609341759e-07	52986357
232721	1064	2.00806407581484e-05	52986357
234267	4	7.54911306697307e-08	52986357
234621	798	1.50604805686113e-05	52986357
240015	1	1.88727826674327e-08	52986357
242507	4	7.54911306697307e-08	52986357
242619	2	3.77455653348654e-08	52986357
243230	3	5.6618348002298e-08	52986357
243233	3	5.6618348002298e-08	52986357
243243	7	1.32109478672029e-07	52986357
243275	1	1.88727826674327e-08	52986357
243277	1	1.88727826674327e-08	52986357
243365	11	2.07600609341759e-07	52986357
245014	3	5.6618348002298e-08	52986357
245018	5	9.43639133371634e-08	52986357
246196	8	1.50982261339461e-07	52986357
246198	2	3.77455653348654e-08	52986357
246200	2	3.77455653348654e-08	52986357
246969	1	1.88727826674327e-08	52986357
247156	2	3.77455653348654e-08	52986357
257310	9	1.69855044006894e-07	52986357
257311	2	3.77455653348654e-08	52986357
257313	4	7.54911306697307e-08	52986357
257314	1	1.88727826674327e-08	52986357
258594	4	7.54911306697307e-08	52986357
261292	6	1.13236696004596e-07	52986357
262316	2	3.77455653348654e-08	52986357
262543	1	1.88727826674327e-08	52986357
262724	4	7.54911306697307e-08	52986357
262727	3	5.6618348002298e-08	52986357
262728	3	5.6618348002298e-08	52986357
263358	1	1.88727826674327e-08	52986357
264198	47	8.87020785369336e-07	52986357
264462	3	5.6618348002298e-08	52986357
264730	8	1.50982261339461e-07	52986357
265072	3	5.6618348002298e-08	52986357
