Tax.ID	Frequency	Proportion	Total
1140	2	1.21894649988959e-07	16407611
2762	2	1.21894649988959e-07	16407611
2787	2	1.21894649988959e-07	16407611
2788	1	6.09473249944797e-08	16407611
2829	2	1.21894649988959e-07	16407611
2839	3	1.82841974983439e-07	16407611
2850	9	5.48525924950317e-07	16407611
2880	1	6.09473249944797e-08	16407611
5061	1	6.09473249944797e-08	16407611
5762	1	6.09473249944797e-08	16407611
5911	3	1.82841974983439e-07	16407611
5932	1	6.09473249944797e-08	16407611
31964	1	6.09473249944797e-08	16407611
35128	5	3.04736624972398e-07	16407611
41431	1	6.09473249944797e-08	16407611
43925	1	6.09473249944797e-08	16407611
43989	1	6.09473249944797e-08	16407611
44056	2	1.21894649988959e-07	16407611
44058	1	6.09473249944797e-08	16407611
46234	1	6.09473249944797e-08	16407611
48942	1	6.09473249944797e-08	16407611
52970	1	6.09473249944797e-08	16407611
56107	2	1.21894649988959e-07	16407611
59922	2	1.21894649988959e-07	16407611
62928	3	1.82841974983439e-07	16407611
62977	4	2.43789299977919e-07	16407611
63186	1	6.09473249944797e-08	16407611
66692	1	6.09473249944797e-08	16407611
69328	2	1.21894649988959e-07	16407611
72520	3	1.82841974983439e-07	16407611
74547	1	6.09473249944797e-08	16407611
75379	2	1.21894649988959e-07	16407611
76114	2	1.21894649988959e-07	16407611
76869	4	2.43789299977919e-07	16407611
78245	1	6.09473249944797e-08	16407611
79929	1	6.09473249944797e-08	16407611
85643	13	7.92315224928236e-07	16407611
88149	1	6.09473249944797e-08	16407611
94122	3	1.82841974983439e-07	16407611
96563	1	6.09473249944797e-08	16407611
100226	2	1.21894649988959e-07	16407611
101510	8	4.87578599955838e-07	16407611
114615	5	3.04736624972398e-07	16407611
122587	1	6.09473249944797e-08	16407611
130081	1	6.09473249944797e-08	16407611
134676	1	6.09473249944797e-08	16407611
137722	3	1.82841974983439e-07	16407611
145522	1	6.09473249944797e-08	16407611
155864	2	1.21894649988959e-07	16407611
158189	6	3.65683949966878e-07	16407611
159087	7	4.26631274961358e-07	16407611
160488	3	1.82841974983439e-07	16407611
160619	9	5.48525924950317e-07	16407611
164756	2	1.21894649988959e-07	16407611
167539	1	6.09473249944797e-08	16407611
170187	1	6.09473249944797e-08	16407611
171101	3	1.82841974983439e-07	16407611
172667	1	6.09473249944797e-08	16407611
176279	2	1.21894649988959e-07	16407611
176280	2	1.21894649988959e-07	16407611
177437	2	1.21894649988959e-07	16407611
179408	8	4.87578599955838e-07	16407611
187272	1	6.09473249944797e-08	16407611
189918	2	1.21894649988959e-07	16407611
190485	4	2.43789299977919e-07	16407611
190650	4	2.43789299977919e-07	16407611
194439	1	6.09473249944797e-08	16407611
195102	2	1.21894649988959e-07	16407611
195103	6	3.65683949966878e-07	16407611
196162	4	2.43789299977919e-07	16407611
196164	12	7.31367899933756e-07	16407611
203119	3	1.82841974983439e-07	16407611
203120	4	2.43789299977919e-07	16407611
203275	3	1.82841974983439e-07	16407611
204669	1	6.09473249944797e-08	16407611
204773	10	6.09473249944797e-07	16407611
205913	22	1.34084114987855e-06	16407611
205918	3	1.82841974983439e-07	16407611
205922	9	5.48525924950317e-07	16407611
207559	1	6.09473249944797e-08	16407611
208596	1	6.09473249944797e-08	16407611
208963	3	1.82841974983439e-07	16407611
208964	2	1.21894649988959e-07	16407611
213810	1	6.09473249944797e-08	16407611
216432	1	6.09473249944797e-08	16407611
216591	2	1.21894649988959e-07	16407611
