Tax.ID	Frequency	Proportion	Total
1511	1	7.56130116987696e-08	13225237
2839	2	1.51226023397539e-07	13225237
2850	4	3.02452046795078e-07	13225237
4950	2	1.51226023397539e-07	13225237
5911	2	1.51226023397539e-07	13225237
60480	1	7.56130116987696e-08	13225237
60481	1	7.56130116987696e-08	13225237
62928	1	7.56130116987696e-08	13225237
63118	1	7.56130116987696e-08	13225237
65071	1	7.56130116987696e-08	13225237
67593	1	7.56130116987696e-08	13225237
76869	3	2.26839035096309e-07	13225237
78245	1	7.56130116987696e-08	13225237
83406	1	7.56130116987696e-08	13225237
94122	1	7.56130116987696e-08	13225237
101510	2	1.51226023397539e-07	13225237
114615	2	1.51226023397539e-07	13225237
122587	1	7.56130116987696e-08	13225237
137722	1	7.56130116987696e-08	13225237
160488	2	1.51226023397539e-07	13225237
160619	2	1.51226023397539e-07	13225237
164328	1	7.56130116987696e-08	13225237
170187	1	7.56130116987696e-08	13225237
171101	1	7.56130116987696e-08	13225237
176279	7	5.29291081891387e-07	13225237
176280	7	5.29291081891387e-07	13225237
187272	1	7.56130116987696e-08	13225237
190304	1	7.56130116987696e-08	13225237
190485	17	1.28542119887908e-06	13225237
190486	2	1.51226023397539e-07	13225237
203120	1	7.56130116987696e-08	13225237
204773	1	7.56130116987696e-08	13225237
205918	1	7.56130116987696e-08	13225237
205922	1	7.56130116987696e-08	13225237
207830	1	7.56130116987696e-08	13225237
210007	1	7.56130116987696e-08	13225237
211586	1	7.56130116987696e-08	13225237
216591	1	7.56130116987696e-08	13225237
220341	2	1.51226023397539e-07	13225237
224911	1	7.56130116987696e-08	13225237
231023	1	7.56130116987696e-08	13225237
232721	39	2.94890745625201e-06	13225237
234621	15	1.13419517548154e-06	13225237
243243	1	7.56130116987696e-08	13225237
246197	2	1.51226023397539e-07	13225237
246198	1	7.56130116987696e-08	13225237
257310	1	7.56130116987696e-08	13225237
257311	1	7.56130116987696e-08	13225237
257313	2	1.51226023397539e-07	13225237
262724	4	3.02452046795078e-07	13225237
263358	1	7.56130116987696e-08	13225237
264198	1	7.56130116987696e-08	13225237
264730	1	7.56130116987696e-08	13225237
266265	3	2.26839035096309e-07	13225237
267608	1	7.56130116987696e-08	13225237
267747	3	2.26839035096309e-07	13225237
272620	1	7.56130116987696e-08	13225237
272622	1	7.56130116987696e-08	13225237
272623	1	7.56130116987696e-08	13225237
272630	2	1.51226023397539e-07	13225237
272831	1	7.56130116987696e-08	13225237
279238	2	1.51226023397539e-07	13225237
279808	5	3.78065058493848e-07	13225237
291331	1	7.56130116987696e-08	13225237
300852	3	2.26839035096309e-07	13225237
306537	1	7.56130116987696e-08	13225237
314565	9	6.80517105288926e-07	13225237
316055	2	1.51226023397539e-07	13225237
318586	1	7.56130116987696e-08	13225237
319795	1	7.56130116987696e-08	13225237
320389	1	7.56130116987696e-08	13225237
321967	1	7.56130116987696e-08	13225237
322159	8	6.04904093590156e-07	13225237
326424	4	3.02452046795078e-07	13225237
331112	1	7.56130116987696e-08	13225237
331271	5	3.78065058493848e-07	13225237
331272	1	7.56130116987696e-08	13225237
338969	3	2.26839035096309e-07	13225237
339670	3	2.26839035096309e-07	13225237
340100	6	4.53678070192617e-07	13225237
340322	1	7.56130116987696e-08	13225237
342108	1	7.56130116987696e-08	13225237
343509	1	7.56130116987696e-08	13225237
345219	1	7.56130116987696e-08	13225237
349101	1	7.56130116987696e-08	13225237
349102	1	7.56130116987696e-08	13225237
351348	1	7.56130116987696e-08	13225237
351746	1	7.56130116987696e-08	13225237
353153	1	7.56130116987696e-08	13225237
358220	19	1.43664722227662e-06	13225237
359786	5	3.78065058493848e-07	13225237
360094	2	1.51226023397539e-07	13225237
362663	2	1.51226023397539e-07	13225237
362976	1	7.56130116987696e-08	13225237
365044	4	3.02452046795078e-07	13225237
365046	1	7.56130116987696e-08	13225237
365659	4	3.02452046795078e-07	13225237
373153	1	7.56130116987696e-08	13225237
373384	2	1.51226023397539e-07	13225237
378753	1	7.56130116987696e-08	13225237
378806	2	1.51226023397539e-07	13225237
381666	1	7.56130116987696e-08	13225237
382245	1	7.56130116987696e-08	13225237
383407	1	7.56130116987696e-08	13225237
388919	7	5.29291081891387e-07	13225237
390235	1	7.56130116987696e-08	13225237
391008	3	2.26839035096309e-07	13225237
391037	1	7.56130116987696e-08	13225237
391038	1	7.56130116987696e-08	13225237
391735	2	1.51226023397539e-07	13225237
392499	1	7.56130116987696e-08	13225237
393595	2	1.51226023397539e-07	13225237
395019	3	2.26839035096309e-07	13225237
395494	1	7.56130116987696e-08	13225237
395495	7	5.29291081891387e-07	13225237
396513	1	7.56130116987696e-08	13225237
397945	5	3.78065058493848e-07	13225237
398527	3	2.26839035096309e-07	13225237
398577	1	7.56130116987696e-08	13225237
398578	6	4.53678070192617e-07	13225237
399739	3	2.26839035096309e-07	13225237
399741	1	7.56130116987696e-08	13225237
400667	2	1.51226023397539e-07	13225237
400756	2	1.51226023397539e-07	13225237
403677	4	3.02452046795078e-07	13225237
404589	2	1.51226023397539e-07	13225237
405416	3	2.26839035096309e-07	13225237
405440	1	7.56130116987696e-08	13225237
405441	1	7.56130116987696e-08	13225237
405955	3	2.26839035096309e-07	13225237
406425	2	1.51226023397539e-07	13225237
416870	1	7.56130116987696e-08	13225237
419610	1	7.56130116987696e-08	13225237
420662	6	4.53678070192617e-07	13225237
423368	3	2.26839035096309e-07	13225237
426355	3	2.26839035096309e-07	13225237
426430	1	7.56130116987696e-08	13225237
428406	1	7.56130116987696e-08	13225237
434131	1	7.56130116987696e-08	13225237
435590	3	2.26839035096309e-07	13225237
435998	1	7.56130116987696e-08	13225237
438753	1	7.56130116987696e-08	13225237
439843	2	1.51226023397539e-07	13225237
440085	1	7.56130116987696e-08	13225237
441620	1	7.56130116987696e-08	13225237
446462	1	7.56130116987696e-08	13225237
446465	1	7.56130116987696e-08	13225237
446469	1	7.56130116987696e-08	13225237
447217	1	7.56130116987696e-08	13225237
452863	1	7.56130116987696e-08	13225237
454169	2	1.51226023397539e-07	13225237
455488	1	7.56130116987696e-08	13225237
465515	32	2.41961637436063e-06	13225237
467705	1	7.56130116987696e-08	13225237
469604	3	2.26839035096309e-07	13225237
471223	1	7.56130116987696e-08	13225237
479436	9	6.80517105288926e-07	13225237
480119	1	7.56130116987696e-08	13225237
481805	2	1.51226023397539e-07	13225237
483219	1	7.56130116987696e-08	13225237
487213	1	7.56130116987696e-08	13225237
487214	3	2.26839035096309e-07	13225237
488223	1	7.56130116987696e-08	13225237
494269	1	7.56130116987696e-08	13225237
497978	1	7.56130116987696e-08	13225237
502025	1	7.56130116987696e-08	13225237
504474	5	3.78065058493848e-07	13225237
504728	2	1.51226023397539e-07	13225237
509169	26	1.96593830416801e-06	13225237
509173	3	2.26839035096309e-07	13225237
509190	1	7.56130116987696e-08	13225237
511062	1	7.56130116987696e-08	13225237
511691	1	7.56130116987696e-08	13225237
521097	1	7.56130116987696e-08	13225237
522306	1	7.56130116987696e-08	13225237
522373	2	1.51226023397539e-07	13225237
525284	1	7.56130116987696e-08	13225237
525381	1	7.56130116987696e-08	13225237
525897	1	7.56130116987696e-08	13225237
525903	1	7.56130116987696e-08	13225237
535289	25	1.89032529246924e-06	13225237
543728	1	7.56130116987696e-08	13225237
543734	1	7.56130116987696e-08	13225237
543891	1	7.56130116987696e-08	13225237
544556	1	7.56130116987696e-08	13225237
548473	1	7.56130116987696e-08	13225237
548476	2	1.51226023397539e-07	13225237
550542	1	7.56130116987696e-08	13225237
553190	3	2.26839035096309e-07	13225237
553199	153	1.15687907899117e-05	13225237
