Tax.ID	Frequency	Proportion	Total
394	3	NA	NA
882	1	NA	NA
1148	2	NA	NA
1511	3	NA	NA
2762	1	NA	NA
2787	4	NA	NA
2788	1	NA	NA
2829	1	NA	NA
2839	7	NA	NA
2850	14	NA	NA
4770	1	NA	NA
4950	2	NA	NA
5518	1	NA	NA
5661	3	NA	NA
5851	2	NA	NA
5885	1	NA	NA
5907	1	NA	NA
5908	1	NA	NA
5911	1	NA	NA
5932	3	NA	NA
31754	1	NA	NA
31964	10	NA	NA
35128	6	NA	NA
35688	2	NA	NA
36329	1	NA	NA
36809	1	NA	NA
37692	2	NA	NA
44056	1	NA	NA
52970	3	NA	NA
55529	3	NA	NA
59748	2	NA	NA
60481	13	NA	NA
62928	9	NA	NA
62977	6	NA	NA
63186	3	NA	NA
64471	1	NA	NA
69328	2	NA	NA
72520	2	NA	NA
73025	1	NA	NA
74557	1	NA	NA
75379	11	NA	NA
76114	2	NA	NA
76869	6	NA	NA
78245	2	NA	NA
85643	7	NA	NA
85962	1	NA	NA
85963	1	NA	NA
86416	5	NA	NA
91891	1	NA	NA
94122	7	NA	NA
96563	6	NA	NA
99287	5	NA	NA
100226	2	NA	NA
101510	20	NA	NA
103807	3	NA	NA
106370	1	NA	NA
109269	1	NA	NA
111780	3	NA	NA
114615	6	NA	NA
122587	2	NA	NA
126793	2	NA	NA
134676	5	NA	NA
143017	1	NA	NA
155864	335	NA	NA
158189	1	NA	NA
159087	11	NA	NA
160488	2	NA	NA
160492	1	NA	NA
160619	11	NA	NA
164037	1	NA	NA
164756	3	NA	NA
167879	4	NA	NA
171101	1	NA	NA
172667	1	NA	NA
176279	37	NA	NA
176280	40	NA	NA
176299	3	NA	NA
179408	24	NA	NA
184922	5	NA	NA
187272	3	NA	NA
187303	2	NA	NA
188937	1	NA	NA
189918	2	NA	NA
190485	7	NA	NA
190486	3	NA	NA
190650	9	NA	NA
194949	1	NA	NA
195102	2	NA	NA
195103	4	NA	NA
196162	4	NA	NA
196164	39	NA	NA
196620	1	NA	NA
198214	43	NA	NA
198215	147	NA	NA
199310	146	NA	NA
203119	3	NA	NA
203275	4	NA	NA
204773	9	NA	NA
205913	19	NA	NA
205914	2	NA	NA
205922	13	NA	NA
206672	2	NA	NA
207559	1	NA	NA
208596	5	NA	NA
208963	6	NA	NA
208964	10	NA	NA
209261	7	NA	NA
210007	1	NA	NA
213810	3	NA	NA
214092	18	NA	NA
214684	6	NA	NA
215689	1	NA	NA
216591	3	NA	NA
216592	638	NA	NA
216595	54	NA	NA
216596	4	NA	NA
216597	1	NA	NA
216599	128	NA	NA
220341	45	NA	NA
220664	8	NA	NA
223283	2	NA	NA
224325	1	NA	NA
224911	3	NA	NA
224914	2	NA	NA
225937	3	NA	NA
226185	3	NA	NA
226186	76	NA	NA
227321	1	NA	NA
227882	3	NA	NA
228400	2	NA	NA
228405	1	NA	NA
228410	1	NA	NA
231023	6	NA	NA
232721	108	NA	NA
234267	1	NA	NA
234621	394	NA	NA
235909	1	NA	NA
240292	1	NA	NA
242231	2	NA	NA
243160	1	NA	NA
243164	1	NA	NA
243230	2	NA	NA
243233	1	NA	NA
243243	2	NA	NA
243365	2	NA	NA
245014	23	NA	NA
245018	71	NA	NA
246196	2	NA	NA
246197	4	NA	NA
246198	1	NA	NA
246200	1	NA	NA
247156	3	NA	NA
251229	4	NA	NA
257309	1	NA	NA
257310	5	NA	NA
257311	2	NA	NA
257313	3	NA	NA
258594	3	NA	NA
259536	22	NA	NA
261292	6	NA	NA
262543	1	NA	NA
262723	2	NA	NA
262724	15	NA	NA
262768	1	NA	NA
264198	8	NA	NA
264199	3	NA	NA
264203	1	NA	NA
264730	1	NA	NA
264731	2	NA	NA
265072	1	NA	NA
266117	2	NA	NA
266264	13	NA	NA
266265	3	NA	NA
266779	7	NA	NA
266834	2	NA	NA
266835	4	NA	NA
266940	2	NA	NA
267608	6	NA	NA
267747	5	NA	NA
269482	4	NA	NA
269797	1	NA	NA
269798	5	NA	NA
271848	2	NA	NA
272559	185	NA	NA
272563	7	NA	NA
272620	54	NA	NA
272621	2	NA	NA
272622	11	NA	NA
