Tax.ID	Frequency	Proportion	Total
394	1	2.17601351147718e-08	45955597
882	1	2.17601351147718e-08	45955597
2762	2	4.35202702295435e-08	45955597
2769	1	2.17601351147718e-08	45955597
2787	2	4.35202702295435e-08	45955597
2829	2	4.35202702295435e-08	45955597
2839	7	1.52320945803402e-07	45955597
2850	5	1.08800675573859e-07	45955597
2880	2	4.35202702295435e-08	45955597
4950	1	2.17601351147718e-08	45955597
5145	1	2.17601351147718e-08	45955597
5518	1	2.17601351147718e-08	45955597
5905	2	4.35202702295435e-08	45955597
5907	2	4.35202702295435e-08	45955597
31964	3	6.52804053443153e-08	45955597
35128	7	1.52320945803402e-07	45955597
36809	3	6.52804053443153e-08	45955597
41431	1	2.17601351147718e-08	45955597
46234	2	4.35202702295435e-08	45955597
56110	1	2.17601351147718e-08	45955597
60480	2	4.35202702295435e-08	45955597
60481	5	1.08800675573859e-07	45955597
62928	1	2.17601351147718e-08	45955597
64471	2	4.35202702295435e-08	45955597
65071	3	6.52804053443153e-08	45955597
65393	1	2.17601351147718e-08	45955597
67593	1	2.17601351147718e-08	45955597
69328	3	6.52804053443153e-08	45955597
75379	3	6.52804053443153e-08	45955597
76869	4	8.70405404590871e-08	45955597
78245	9	1.95841216032946e-07	45955597
84588	1	2.17601351147718e-08	45955597
85643	9	1.95841216032946e-07	45955597
86416	1	2.17601351147718e-08	45955597
90410	1	2.17601351147718e-08	45955597
94122	6	1.30560810688631e-07	45955597
96563	6	1.30560810688631e-07	45955597
100226	1	2.17601351147718e-08	45955597
101510	4	8.70405404590871e-08	45955597
110662	1	2.17601351147718e-08	45955597
114615	10	2.17601351147718e-07	45955597
134676	1	2.17601351147718e-08	45955597
137722	2	4.35202702295435e-08	45955597
150340	2	4.35202702295435e-08	45955597
151537	1	2.17601351147718e-08	45955597
153948	1	2.17601351147718e-08	45955597
155864	2	4.35202702295435e-08	45955597
158190	1	2.17601351147718e-08	45955597
159087	2	4.35202702295435e-08	45955597
160488	3	6.52804053443153e-08	45955597
160491	1	2.17601351147718e-08	45955597
160619	2	4.35202702295435e-08	45955597
164756	4	8.70405404590871e-08	45955597
176279	14	3.04641891606805e-07	45955597
176280	16	3.48162161836348e-07	45955597
176299	1	2.17601351147718e-08	45955597
179408	52	1.13152702596813e-06	45955597
187272	2	4.35202702295435e-08	45955597
187303	2	4.35202702295435e-08	45955597
189918	1	2.17601351147718e-08	45955597
190304	1	2.17601351147718e-08	45955597
190485	1	2.17601351147718e-08	45955597
190486	2	4.35202702295435e-08	45955597
190650	2	4.35202702295435e-08	45955597
196162	3	6.52804053443153e-08	45955597
196164	2	4.35202702295435e-08	45955597
198215	1	2.17601351147718e-08	45955597
203124	3	6.52804053443153e-08	45955597
203267	1	2.17601351147718e-08	45955597
204773	10	2.17601351147718e-07	45955597
205913	2	4.35202702295435e-08	45955597
205914	1	2.17601351147718e-08	45955597
205918	1	2.17601351147718e-08	45955597
205922	11	2.39361486262489e-07	45955597
208963	9	1.95841216032946e-07	45955597
208964	10	2.17601351147718e-07	45955597
211586	1	2.17601351147718e-08	45955597
216432	1	2.17601351147718e-08	45955597
216591	11	2.39361486262489e-07	45955597
216594	1	2.17601351147718e-08	45955597
216595	54	1.17504729619768e-06	45955597
216596	1	2.17601351147718e-08	45955597
216599	1	2.17601351147718e-08	45955597
216895	1	2.17601351147718e-08	45955597
218496	1	2.17601351147718e-08	45955597
220341	479	1.04231047199757e-05	45955597
220664	7	1.52320945803402e-07	45955597
223283	4	8.70405404590871e-08	45955597
223926	2	4.35202702295435e-08	45955597
224719	3	6.52804053443153e-08	45955597
