Tax.ID	Frequency	Proportion	Total
882	1	7.68720043460356e-08	13008637
2769	2	1.53744008692071e-07	13008637
2839	4	3.07488017384143e-07	13008637
2850	7	5.3810403042225e-07	13008637
2986	1	7.68720043460356e-08	13008637
4950	1	7.68720043460356e-08	13008637
5518	2	1.53744008692071e-07	13008637
5786	1	7.68720043460356e-08	13008637
5932	1	7.68720043460356e-08	13008637
31537	1	7.68720043460356e-08	13008637
31964	2	1.53744008692071e-07	13008637
35128	1	7.68720043460356e-08	13008637
39717	1	7.68720043460356e-08	13008637
44056	2	1.53744008692071e-07	13008637
49266	2	1.53744008692071e-07	13008637
60481	3	2.30616013038107e-07	13008637
62928	3	2.30616013038107e-07	13008637
62977	7	5.3810403042225e-07	13008637
69328	1	7.68720043460356e-08	13008637
75379	1	7.68720043460356e-08	13008637
85643	2	1.53744008692071e-07	13008637
94122	3	2.30616013038107e-07	13008637
99287	1	7.68720043460356e-08	13008637
101510	2	1.53744008692071e-07	13008637
114615	3	2.30616013038107e-07	13008637
120807	1	7.68720043460356e-08	13008637
134676	1	7.68720043460356e-08	13008637
158189	1	7.68720043460356e-08	13008637
159087	1	7.68720043460356e-08	13008637
160488	1	7.68720043460356e-08	13008637
160619	3	2.30616013038107e-07	13008637
176279	5	3.84360021730178e-07	13008637
176280	6	4.61232026076214e-07	13008637
176299	1	7.68720043460356e-08	13008637
179408	7	5.3810403042225e-07	13008637
189423	1	7.68720043460356e-08	13008637
190485	3	2.30616013038107e-07	13008637
190486	1	7.68720043460356e-08	13008637
196162	2	1.53744008692071e-07	13008637
196164	7	5.3810403042225e-07	13008637
203275	1	7.68720043460356e-08	13008637
204773	4	3.07488017384143e-07	13008637
205913	11	8.45592047806392e-07	13008637
205918	1	7.68720043460356e-08	13008637
205922	4	3.07488017384143e-07	13008637
206672	1	7.68720043460356e-08	13008637
208435	1	7.68720043460356e-08	13008637
208596	1	7.68720043460356e-08	13008637
208963	2	1.53744008692071e-07	13008637
208964	1	7.68720043460356e-08	13008637
213810	1	7.68720043460356e-08	13008637
216595	14	1.0762080608445e-06	13008637
218495	3	2.30616013038107e-07	13008637
220341	84	6.45724836506699e-06	13008637
220664	2	1.53744008692071e-07	13008637
223283	1	7.68720043460356e-08	13008637
224911	1	7.68720043460356e-08	13008637
226186	10	7.68720043460356e-07	13008637
227086	2	1.53744008692071e-07	13008637
227882	1	7.68720043460356e-08	13008637
229533	1	7.68720043460356e-08	13008637
231023	1	7.68720043460356e-08	13008637
232721	27	2.07554411734296e-06	13008637
234621	113	8.68653649110203e-06	13008637
242507	1	7.68720043460356e-08	13008637
245014	10	7.68720043460356e-07	13008637
245018	12	9.22464052152428e-07	13008637
246200	1	7.68720043460356e-08	13008637
259536	11	8.45592047806392e-07	13008637
261292	4	3.07488017384143e-07	13008637
262724	1	7.68720043460356e-08	13008637
264198	1	7.68720043460356e-08	13008637
264199	1	7.68720043460356e-08	13008637
264730	1	7.68720043460356e-08	13008637
266940	1	7.68720043460356e-08	13008637
267608	1	7.68720043460356e-08	13008637
267747	3	2.30616013038107e-07	13008637
269482	2	1.53744008692071e-07	13008637
272559	3	2.30616013038107e-07	13008637
272563	2	1.53744008692071e-07	13008637
272620	10	7.68720043460356e-07	13008637
272623	4	3.07488017384143e-07	13008637
278137	1	7.68720043460356e-08	13008637
279238	1	7.68720043460356e-08	13008637
279808	1	7.68720043460356e-08	13008637
288000	5	3.84360021730178e-07	13008637
290340	2	1.53744008692071e-07	13008637
290398	2	1.53744008692071e-07	13008637
295405	7	5.3810403042225e-07	13008637
