Tax.ID	Frequency	Proportion	Total
10629	6	1.26790787803994e-06	4732205
31964	1	2.11317979673324e-07	4732205
62977	1	2.11317979673324e-07	4732205
69328	1	2.11317979673324e-07	4732205
76869	1	2.11317979673324e-07	4732205
85643	1	2.11317979673324e-07	4732205
94122	3	6.33953939019971e-07	4732205
114615	1	2.11317979673324e-07	4732205
160488	1	2.11317979673324e-07	4732205
176279	1	2.11317979673324e-07	4732205
176280	1	2.11317979673324e-07	4732205
187272	1	2.11317979673324e-07	4732205
187303	1	2.11317979673324e-07	4732205
203122	2	4.22635959346647e-07	4732205
204669	1	2.11317979673324e-07	4732205
204773	1	2.11317979673324e-07	4732205
205918	3	6.33953939019971e-07	4732205
205922	4	8.45271918693294e-07	4732205
208963	1	2.11317979673324e-07	4732205
208964	1	2.11317979673324e-07	4732205
216591	4	8.45271918693294e-07	4732205
216595	27	5.70558545117974e-06	4732205
220341	3	6.33953939019971e-07	4732205
220664	2	4.22635959346647e-07	4732205
223283	3	6.33953939019971e-07	4732205
224911	1	2.11317979673324e-07	4732205
227882	1	2.11317979673324e-07	4732205
231023	2	4.22635959346647e-07	4732205
232721	4	8.45271918693294e-07	4732205
234621	7	1.47922585771326e-06	4732205
245014	2	4.22635959346647e-07	4732205
257311	1	2.11317979673324e-07	4732205
259536	1	2.11317979673324e-07	4732205
266264	2	4.22635959346647e-07	4732205
266265	1	2.11317979673324e-07	4732205
266940	1	2.11317979673324e-07	4732205
267747	4	8.45271918693294e-07	4732205
269482	1	2.11317979673324e-07	4732205
272620	1	2.11317979673324e-07	4732205
272630	3	6.33953939019971e-07	4732205
272942	1	2.11317979673324e-07	4732205
278137	1	2.11317979673324e-07	4732205
279281	1	2.11317979673324e-07	4732205
281090	2	4.22635959346647e-07	4732205
290340	2	4.22635959346647e-07	4732205
290402	1	2.11317979673324e-07	4732205
292414	1	2.11317979673324e-07	4732205
296591	2	4.22635959346647e-07	4732205
314275	1	2.11317979673324e-07	4732205
316056	1	2.11317979673324e-07	4732205
316057	1	2.11317979673324e-07	4732205
316067	1	2.11317979673324e-07	4732205
320373	1	2.11317979673324e-07	4732205
320388	1	2.11317979673324e-07	4732205
320389	1	2.11317979673324e-07	4732205
321956	2	4.22635959346647e-07	4732205
322710	1	2.11317979673324e-07	4732205
323097	1	2.11317979673324e-07	4732205
331271	13	2.74713373575321e-06	4732205
331272	6	1.26790787803994e-06	4732205
335659	1	2.11317979673324e-07	4732205
339670	9	1.90186181705991e-06	4732205
340100	2	4.22635959346647e-07	4732205
345219	1	2.11317979673324e-07	4732205
347253	1	2.11317979673324e-07	4732205
350054	1	2.11317979673324e-07	4732205
351746	2	4.22635959346647e-07	4732205
358220	13	2.74713373575321e-06	4732205
360094	1	2.11317979673324e-07	4732205
362663	1	2.11317979673324e-07	4732205
365044	1	2.11317979673324e-07	4732205
365046	1	2.11317979673324e-07	4732205
373384	1	2.11317979673324e-07	4732205
375286	1	2.11317979673324e-07	4732205
376686	4	8.45271918693294e-07	4732205
380358	2	4.22635959346647e-07	4732205
381754	1	2.11317979673324e-07	4732205
382245	1	2.11317979673324e-07	4732205
383407	1	2.11317979673324e-07	4732205
384676	2	4.22635959346647e-07	4732205
390235	3	6.33953939019971e-07	4732205
390333	1	2.11317979673324e-07	4732205
391008	3	6.33953939019971e-07	4732205
391735	3	6.33953939019971e-07	4732205
393305	1	2.11317979673324e-07	4732205
395019	7	1.47922585771326e-06	4732205
395495	2	4.22635959346647e-07	4732205
396588	1	2.11317979673324e-07	4732205
397945	4	8.45271918693294e-07	4732205
398527	3	6.33953939019971e-07	4732205
398577	1	2.11317979673324e-07	4732205
398578	9	1.90186181705991e-06	4732205
399739	2	4.22635959346647e-07	4732205
400667	1	2.11317979673324e-07	4732205
404589	1	2.11317979673324e-07	4732205
405416	1	2.11317979673324e-07	4732205
405440	1	2.11317979673324e-07	4732205
405948	2	4.22635959346647e-07	4732205
405955	1	2.11317979673324e-07	4732205
406425	3	6.33953939019971e-07	4732205
406818	1	2.11317979673324e-07	4732205
416344	2	4.22635959346647e-07	4732205
419610	5	1.05658989836662e-06	4732205
420662	2	4.22635959346647e-07	4732205
426355	3	6.33953939019971e-07	4732205
431894	1	2.11317979673324e-07	4732205
435590	1	2.11317979673324e-07	4732205
436717	2	4.22635959346647e-07	4732205
439843	2	4.22635959346647e-07	4732205
440085	5	1.05658989836662e-06	4732205
441620	4	8.45271918693294e-07	4732205
446462	1	2.11317979673324e-07	4732205
448385	2	4.22635959346647e-07	4732205
454169	2	4.22635959346647e-07	4732205
465515	4	8.45271918693294e-07	4732205
479432	1	2.11317979673324e-07	4732205
481805	1	2.11317979673324e-07	4732205
482957	3	6.33953939019971e-07	4732205
491915	1	2.11317979673324e-07	4732205
509173	5	1.05658989836662e-06	4732205
522373	5	1.05658989836662e-06	4732205
531844	1	2.11317979673324e-07	4732205
535289	1	2.11317979673324e-07	4732205
543728	8	1.69054383738659e-06	4732205
543891	1	2.11317979673324e-07	4732205
543913	1	2.11317979673324e-07	4732205
553190	1	2.11317979673324e-07	4732205
553199	33	6.97349332921968e-06	4732205
561231	1	2.11317979673324e-07	4732205
573729	1	2.11317979673324e-07	4732205
575788	1	2.11317979673324e-07	4732205
578455	1	2.11317979673324e-07	4732205
580327	1	2.11317979673324e-07	4732205
585054	1	2.11317979673324e-07	4732205
585396	3	6.33953939019971e-07	4732205
593588	1	2.11317979673324e-07	4732205
595499	1	2.11317979673324e-07	4732205
595537	2	4.22635959346647e-07	4732205
596153	4	8.45271918693294e-07	4732205
596154	1	2.11317979673324e-07	4732205
627192	1	2.11317979673324e-07	4732205
632772	1	2.11317979673324e-07	4732205
639283	2	4.22635959346647e-07	4732205
640081	1	2.11317979673324e-07	4732205
643561	5	1.05658989836662e-06	4732205
652103	2	4.22635959346647e-07	4732205
657321	1	2.11317979673324e-07	4732205
663278	3	6.33953939019971e-07	4732205
685727	1	2.11317979673324e-07	4732205
688245	2	4.22635959346647e-07	4732205
693977	1	2.11317979673324e-07	4732205
698948	1	2.11317979673324e-07	4732205
702113	3	6.33953939019971e-07	4732205
742013	6	1.26790787803994e-06	4732205
743525	1	2.11317979673324e-07	4732205
748247	1	2.11317979673324e-07	4732205
748280	1	2.11317979673324e-07	4732205
762376	1	2.11317979673324e-07	4732205
767455	1	2.11317979673324e-07	4732205
861360	1	2.11317979673324e-07	4732205
862719	1	2.11317979673324e-07	4732205
871585	1	2.11317979673324e-07	4732205
889738	1	2.11317979673324e-07	4732205
909952	4	8.45271918693294e-07	4732205
926569	1	2.11317979673324e-07	4732205
931281	1	2.11317979673324e-07	4732205
941639	1	2.11317979673324e-07	4732205
945713	2	4.22635959346647e-07	4732205
979556	3	6.33953939019971e-07	4732205
983917	2	4.22635959346647e-07	4732205
994484	2	4.22635959346647e-07	4732205
1005048	3	6.33953939019971e-07	4732205
1009846	3	6.33953939019971e-07	4732205
1031709	4	8.45271918693294e-07	4732205
1034807	1	2.11317979673324e-07	4732205
1037911	16	3.38108767477318e-06	4732205
1042876	2	4.22635959346647e-07	4732205
1048332	1	2.11317979673324e-07	4732205
1064539	1	2.11317979673324e-07	4732205
1091045	17	3.5924056544465e-06	4732205
1096996	1	2.11317979673324e-07	4732205
1097677	1	2.11317979673324e-07	4732205
1114967	1	2.11317979673324e-07	4732205
1114969	29	6.12822141052638e-06	4732205
1114970	3	6.33953939019971e-07	4732205
1118963	1	2.11317979673324e-07	4732205
1124983	3	6.33953939019971e-07	4732205
1134454	20	4.22635959346647e-06	4732205
1136179	9	1.90186181705991e-06	4732205
1156913	1	2.11317979673324e-07	4732205
1163399	1	2.11317979673324e-07	4732205
1167634	2	4.22635959346647e-07	4732205
1179773	1	2.11317979673324e-07	4732205
1194526	1	2.11317979673324e-07	4732205
1198114	1	2.11317979673324e-07	4732205
1207075	1	2.11317979673324e-07	4732205
1215088	4	8.45271918693294e-07	4732205
1216976	1	2.11317979673324e-07	4732205
1218933	1	2.11317979673324e-07	4732205
1234380	2	4.22635959346647e-07	4732205
1245469	1	2.11317979673324e-07	4732205
1245471	4	8.45271918693294e-07	4732205
1246301	4	8.45271918693294e-07	4732205
