Tax.ID	Frequency	Proportion	Total
5518	1	1.93639710082626e-07	5164230
10629	33	6.39011043272666e-06	5164230
10632	2	3.87279420165252e-07	5164230
76869	1	1.93639710082626e-07	5164230
96563	5	9.6819855041313e-07	5164230
101510	2	3.87279420165252e-07	5164230
159087	1	1.93639710082626e-07	5164230
160488	3	5.80919130247878e-07	5164230
171101	1	1.93639710082626e-07	5164230
205922	6	1.16183826049576e-06	5164230
208963	1	1.93639710082626e-07	5164230
214092	1	1.93639710082626e-07	5164230
216595	10	1.93639710082626e-06	5164230
220341	19	3.6791544915699e-06	5164230
220664	2	3.87279420165252e-07	5164230
224911	3	5.80919130247878e-07	5164230
226185	1	1.93639710082626e-07	5164230
231023	1	1.93639710082626e-07	5164230
232721	4	7.74558840330504e-07	5164230
234621	7	1.35547797057838e-06	5164230
264198	1	1.93639710082626e-07	5164230
264462	1	1.93639710082626e-07	5164230
264730	1	1.93639710082626e-07	5164230
266264	1	1.93639710082626e-07	5164230
266265	1	1.93639710082626e-07	5164230
267747	1	1.93639710082626e-07	5164230
269482	2	3.87279420165252e-07	5164230
271848	1	1.93639710082626e-07	5164230
272630	5	9.6819855041313e-07	5164230
279238	1	1.93639710082626e-07	5164230
288705	4	7.74558840330504e-07	5164230
290340	3	5.80919130247878e-07	5164230
290399	1	1.93639710082626e-07	5164230
296591	1	1.93639710082626e-07	5164230
316057	2	3.87279420165252e-07	5164230
320372	1	1.93639710082626e-07	5164230
320373	1	1.93639710082626e-07	5164230
331271	2	3.87279420165252e-07	5164230
331272	2	3.87279420165252e-07	5164230
335659	1	1.93639710082626e-07	5164230
339670	2	3.87279420165252e-07	5164230
351607	1	1.93639710082626e-07	5164230
351746	2	3.87279420165252e-07	5164230
353152	1	1.93639710082626e-07	5164230
357348	2	3.87279420165252e-07	5164230
358220	4	7.74558840330504e-07	5164230
360102	1	1.93639710082626e-07	5164230
365044	3	5.80919130247878e-07	5164230
365046	1	1.93639710082626e-07	5164230
365659	1	1.93639710082626e-07	5164230
373153	1	1.93639710082626e-07	5164230
374931	1	1.93639710082626e-07	5164230
375286	1	1.93639710082626e-07	5164230
377628	1	1.93639710082626e-07	5164230
379731	3	5.80919130247878e-07	5164230
386656	1	1.93639710082626e-07	5164230
390235	3	5.80919130247878e-07	5164230
391735	3	5.80919130247878e-07	5164230
392499	2	3.87279420165252e-07	5164230
396588	1	1.93639710082626e-07	5164230
397945	3	5.80919130247878e-07	5164230
398578	6	1.16183826049576e-06	5164230
399742	1	1.93639710082626e-07	5164230
400667	1	1.93639710082626e-07	5164230
405416	1	1.93639710082626e-07	5164230
416344	1	1.93639710082626e-07	5164230
423211	1	1.93639710082626e-07	5164230
424182	1	1.93639710082626e-07	5164230
428406	1	1.93639710082626e-07	5164230
435590	1	1.93639710082626e-07	5164230
436717	1	1.93639710082626e-07	5164230
439843	19	3.6791544915699e-06	5164230
440085	2	3.87279420165252e-07	5164230
441375	2	3.87279420165252e-07	5164230
441620	3	5.80919130247878e-07	5164230
443906	1	1.93639710082626e-07	5164230
446466	1	1.93639710082626e-07	5164230
446470	2	3.87279420165252e-07	5164230
452662	4	7.74558840330504e-07	5164230
454169	19	3.6791544915699e-06	5164230
479433	1	1.93639710082626e-07	5164230
481805	1	1.93639710082626e-07	5164230
482957	2	3.87279420165252e-07	5164230
485918	2	3.87279420165252e-07	5164230
504474	1	1.93639710082626e-07	5164230
508771	1	1.93639710082626e-07	5164230
509170	1	1.93639710082626e-07	5164230
509173	2	3.87279420165252e-07	5164230
516950	1	1.93639710082626e-07	5164230
522306	1	1.93639710082626e-07	5164230
522373	8	1.54911768066101e-06	5164230
531844	1	1.93639710082626e-07	5164230
535289	1	1.93639710082626e-07	5164230
536230	1	1.93639710082626e-07	5164230
537021	2	3.87279420165252e-07	5164230
543728	2	3.87279420165252e-07	5164230
543891	1	1.93639710082626e-07	5164230
553199	14	2.71095594115676e-06	5164230
561231	1	1.93639710082626e-07	5164230
572477	1	1.93639710082626e-07	5164230
572480	1	1.93639710082626e-07	5164230
574093	1	1.93639710082626e-07	5164230
585396	19	3.6791544915699e-06	5164230
595537	1	1.93639710082626e-07	5164230
596153	3	5.80919130247878e-07	5164230
596154	3	5.80919130247878e-07	5164230
626418	2	3.87279420165252e-07	5164230
627192	3	5.80919130247878e-07	5164230
634504	1	1.93639710082626e-07	5164230
640510	3	5.80919130247878e-07	5164230
652103	1	1.93639710082626e-07	5164230
657310	1	1.93639710082626e-07	5164230
658172	6	1.16183826049576e-06	5164230
661410	1	1.93639710082626e-07	5164230
688245	4	7.74558840330504e-07	5164230
690566	3	5.80919130247878e-07	5164230
717608	1	1.93639710082626e-07	5164230
742013	7	1.35547797057838e-06	5164230
743299	2	3.87279420165252e-07	5164230
743525	1	1.93639710082626e-07	5164230
743720	2	3.87279420165252e-07	5164230
745310	3	5.80919130247878e-07	5164230
765952	1	1.93639710082626e-07	5164230
767029	1	1.93639710082626e-07	5164230
859657	2	3.87279420165252e-07	5164230
866768	1	1.93639710082626e-07	5164230
868597	2	3.87279420165252e-07	5164230
871585	1	1.93639710082626e-07	5164230
929102	1	1.93639710082626e-07	5164230
931281	1	1.93639710082626e-07	5164230
936153	1	1.93639710082626e-07	5164230
977880	4	7.74558840330504e-07	5164230
983917	1	1.93639710082626e-07	5164230
994484	1	1.93639710082626e-07	5164230
999541	1	1.93639710082626e-07	5164230
1001585	1	1.93639710082626e-07	5164230
1005048	1	1.93639710082626e-07	5164230
1031709	1	1.93639710082626e-07	5164230
1037409	3	5.80919130247878e-07	5164230
1037911	5	9.6819855041313e-07	5164230
1091045	2	3.87279420165252e-07	5164230
1114967	1	1.93639710082626e-07	5164230
1114969	12	2.32367652099151e-06	5164230
1124983	4	7.74558840330504e-07	5164230
1134454	4	7.74558840330504e-07	5164230
1136179	6	1.16183826049576e-06	5164230
1170318	1	1.93639710082626e-07	5164230
1185652	1	1.93639710082626e-07	5164230
1196325	1	1.93639710082626e-07	5164230
1207075	3	5.80919130247878e-07	5164230
1215088	1	1.93639710082626e-07	5164230
1218933	1	1.93639710082626e-07	5164230
1245471	3	5.80919130247878e-07	5164230
1267754	1	1.93639710082626e-07	5164230
1282356	3	5.80919130247878e-07	5164230
1294143	2	3.87279420165252e-07	5164230
1331671	2	3.87279420165252e-07	5164230
1399116	1	1.93639710082626e-07	5164230
1415630	12	2.32367652099151e-06	5164230
