Tax.ID	Frequency	Proportion	Total
2839	4	5.50271875576926e-07	7269134
2850	2	2.75135937788463e-07	7269134
5932	2	2.75135937788463e-07	7269134
10629	21	2.88892734677886e-06	7269134
10632	1	1.37567968894231e-07	7269134
31754	1	1.37567968894231e-07	7269134
35128	6	8.25407813365388e-07	7269134
62928	1	1.37567968894231e-07	7269134
69328	1	1.37567968894231e-07	7269134
72520	1	1.37567968894231e-07	7269134
76869	3	4.12703906682694e-07	7269134
85643	1	1.37567968894231e-07	7269134
96563	1	1.37567968894231e-07	7269134
101510	1	1.37567968894231e-07	7269134
114615	1	1.37567968894231e-07	7269134
160488	2	2.75135937788463e-07	7269134
160492	1	1.37567968894231e-07	7269134
172968	1	1.37567968894231e-07	7269134
176279	1	1.37567968894231e-07	7269134
176280	1	1.37567968894231e-07	7269134
190485	3	4.12703906682694e-07	7269134
190486	1	1.37567968894231e-07	7269134
190650	1	1.37567968894231e-07	7269134
192952	1	1.37567968894231e-07	7269134
195103	2	2.75135937788463e-07	7269134
204773	1	1.37567968894231e-07	7269134
205913	3	4.12703906682694e-07	7269134
205918	3	4.12703906682694e-07	7269134
205922	5	6.87839844471157e-07	7269134
207559	1	1.37567968894231e-07	7269134
208963	1	1.37567968894231e-07	7269134
214092	1	1.37567968894231e-07	7269134
214684	2	2.75135937788463e-07	7269134
216595	18	2.47622344009617e-06	7269134
220341	39	5.36515078687503e-06	7269134
220664	3	4.12703906682694e-07	7269134
223283	1	1.37567968894231e-07	7269134
224911	1	1.37567968894231e-07	7269134
226185	1	1.37567968894231e-07	7269134
226186	3	4.12703906682694e-07	7269134
231023	5	6.87839844471157e-07	7269134
232721	16	2.2010875023077e-06	7269134
234621	9	1.23811172004808e-06	7269134
240015	1	1.37567968894231e-07	7269134
243159	1	1.37567968894231e-07	7269134
243275	1	1.37567968894231e-07	7269134
245014	1	1.37567968894231e-07	7269134
245018	3	4.12703906682694e-07	7269134
259536	1	1.37567968894231e-07	7269134
261292	2	2.75135937788463e-07	7269134
262724	1	1.37567968894231e-07	7269134
264730	1	1.37567968894231e-07	7269134
266264	2	2.75135937788463e-07	7269134
266265	1	1.37567968894231e-07	7269134
266834	1	1.37567968894231e-07	7269134
267608	1	1.37567968894231e-07	7269134
267747	2	2.75135937788463e-07	7269134
269797	2	2.75135937788463e-07	7269134
271848	1	1.37567968894231e-07	7269134
272559	3	4.12703906682694e-07	7269134
272620	1	1.37567968894231e-07	7269134
272623	1	1.37567968894231e-07	7269134
285951	1	1.37567968894231e-07	7269134
288000	1	1.37567968894231e-07	7269134
289380	2	2.75135937788463e-07	7269134
290340	1	1.37567968894231e-07	7269134
292415	1	1.37567968894231e-07	7269134
295405	1	1.37567968894231e-07	7269134
296543	2	2.75135937788463e-07	7269134
296591	6	8.25407813365388e-07	7269134
300852	1	1.37567968894231e-07	7269134
314565	3	4.12703906682694e-07	7269134
316055	2	2.75135937788463e-07	7269134
316056	4	5.50271875576926e-07	7269134
316057	1	1.37567968894231e-07	7269134
316058	1	1.37567968894231e-07	7269134
316273	1	1.37567968894231e-07	7269134
317655	2	2.75135937788463e-07	7269134
319795	1	1.37567968894231e-07	7269134
322159	1	1.37567968894231e-07	7269134
323097	1	1.37567968894231e-07	7269134
325240	2	2.75135937788463e-07	7269134
326424	1	1.37567968894231e-07	7269134
326442	1	1.37567968894231e-07	7269134
330214	1	1.37567968894231e-07	7269134
331111	3	4.12703906682694e-07	7269134
331112	3	4.12703906682694e-07	7269134
331271	12	1.65081562673078e-06	7269134
335284	2	2.75135937788463e-07	7269134
335659	1	1.37567968894231e-07	7269134
338969	3	4.12703906682694e-07	7269134
339670	2	2.75135937788463e-07	7269134
340100	2	2.75135937788463e-07	7269134
340322	1	1.37567968894231e-07	7269134
342108	1	1.37567968894231e-07	7269134
344609	1	1.37567968894231e-07	7269134
349741	2	2.75135937788463e-07	7269134
351745	1	1.37567968894231e-07	7269134
351746	3	4.12703906682694e-07	7269134
354260	1	1.37567968894231e-07	7269134
358220	6	8.25407813365388e-07	7269134
359786	1	1.37567968894231e-07	7269134
360102	5	6.87839844471157e-07	7269134
360911	1	1.37567968894231e-07	7269134
362663	2	2.75135937788463e-07	7269134
365044	13	1.78838359562501e-06	7269134
365046	5	6.87839844471157e-07	7269134
366602	1	1.37567968894231e-07	7269134
367737	1	1.37567968894231e-07	7269134
367775	1	1.37567968894231e-07	7269134
367928	3	4.12703906682694e-07	7269134
373903	1	1.37567968894231e-07	7269134
375286	4	5.50271875576926e-07	7269134
376686	4	5.50271875576926e-07	7269134
377628	1	1.37567968894231e-07	7269134
379731	3	4.12703906682694e-07	7269134
380394	1	1.37567968894231e-07	7269134
381754	1	1.37567968894231e-07	7269134
382245	1	1.37567968894231e-07	7269134
383407	1	1.37567968894231e-07	7269134
384676	2	2.75135937788463e-07	7269134
386656	1	1.37567968894231e-07	7269134
391008	1	1.37567968894231e-07	7269134
391735	4	5.50271875576926e-07	7269134
391904	1	1.37567968894231e-07	7269134
395019	6	8.25407813365388e-07	7269134
395495	3	4.12703906682694e-07	7269134
395960	1	1.37567968894231e-07	7269134
397945	1	1.37567968894231e-07	7269134
398578	4	5.50271875576926e-07	7269134
399739	1	1.37567968894231e-07	7269134
400667	2	2.75135937788463e-07	7269134
400756	1	1.37567968894231e-07	7269134
402626	4	5.50271875576926e-07	7269134
402882	1	1.37567968894231e-07	7269134
403677	1	1.37567968894231e-07	7269134
405955	3	4.12703906682694e-07	7269134
407976	1	1.37567968894231e-07	7269134
416870	1	1.37567968894231e-07	7269134
419610	2	2.75135937788463e-07	7269134
420247	3	4.12703906682694e-07	7269134
420662	3	4.12703906682694e-07	7269134
423211	1	1.37567968894231e-07	7269134
426114	1	1.37567968894231e-07	7269134
426355	1	1.37567968894231e-07	7269134
426430	1	1.37567968894231e-07	7269134
428406	2	2.75135937788463e-07	7269134
435590	27	3.71433516014425e-06	7269134
435591	3	4.12703906682694e-07	7269134
436717	1	1.37567968894231e-07	7269134
439292	3	4.12703906682694e-07	7269134
439843	39	5.36515078687503e-06	7269134
439855	1	1.37567968894231e-07	7269134
440085	3	4.12703906682694e-07	7269134
442563	1	1.37567968894231e-07	7269134
446465	1	1.37567968894231e-07	7269134
446468	1	1.37567968894231e-07	7269134
450851	1	1.37567968894231e-07	7269134
452637	1	1.37567968894231e-07	7269134
452638	1	1.37567968894231e-07	7269134
454169	39	5.36515078687503e-06	7269134
455632	1	1.37567968894231e-07	7269134
457570	3	4.12703906682694e-07	7269134
460265	1	1.37567968894231e-07	7269134
465515	1	1.37567968894231e-07	7269134
479436	1	1.37567968894231e-07	7269134
481805	4	5.50271875576926e-07	7269134
482957	1	1.37567968894231e-07	7269134
485918	1	1.37567968894231e-07	7269134
497978	2	2.75135937788463e-07	7269134
509169	3	4.12703906682694e-07	7269134
509170	1	1.37567968894231e-07	7269134
509173	3	4.12703906682694e-07	7269134
509190	1	1.37567968894231e-07	7269134
515619	3	4.12703906682694e-07	7269134
522373	2	2.75135937788463e-07	7269134
529507	2	2.75135937788463e-07	7269134
535289	1	1.37567968894231e-07	7269134
536056	2	2.75135937788463e-07	7269134
543728	2	2.75135937788463e-07	7269134
543891	2	2.75135937788463e-07	7269134
543913	3	4.12703906682694e-07	7269134
548473	1	1.37567968894231e-07	7269134
553199	133	1.82965398629328e-05	7269134
559292	2	2.75135937788463e-07	7269134
565040	1	1.37567968894231e-07	7269134
565042	2	2.75135937788463e-07	7269134
565050	1	1.37567968894231e-07	7269134
571800	3	4.12703906682694e-07	7269134
578461	1	1.37567968894231e-07	7269134
580050	1	1.37567968894231e-07	7269134
583345	1	1.37567968894231e-07	7269134
585034	1	1.37567968894231e-07	7269134
585035	1	1.37567968894231e-07	7269134
585057	2	2.75135937788463e-07	7269134
585396	39	5.36515078687503e-06	7269134
595537	3	4.12703906682694e-07	7269134
596153	7	9.6297578225962e-07	7269134
596154	4	5.50271875576926e-07	7269134
632772	2	2.75135937788463e-07	7269134
637379	4	5.50271875576926e-07	7269134
640081	2	2.75135937788463e-07	7269134
640510	1	1.37567968894231e-07	7269134
640513	1	1.37567968894231e-07	7269134
643561	2	2.75135937788463e-07	7269134
644801	1	1.37567968894231e-07	7269134
652103	1	1.37567968894231e-07	7269134
657309	5	6.87839844471157e-07	7269134
657313	2	2.75135937788463e-07	7269134
657314	2	2.75135937788463e-07	7269134
657315	2	2.75135937788463e-07	7269134
657317	2	2.75135937788463e-07	7269134
657318	4	5.50271875576926e-07	7269134
657321	6	8.25407813365388e-07	7269134
657322	2	2.75135937788463e-07	7269134
657323	2	2.75135937788463e-07	7269134
667015	1	1.37567968894231e-07	7269134
679935	5	6.87839844471157e-07	7269134
688245	2	2.75135937788463e-07	7269134
693444	1	1.37567968894231e-07	7269134
693970	1	1.37567968894231e-07	7269134
693979	2	2.75135937788463e-07	7269134
698936	1	1.37567968894231e-07	7269134
699032	1	1.37567968894231e-07	7269134
702113	1	1.37567968894231e-07	7269134
702459	2	2.75135937788463e-07	7269134
707241	1	1.37567968894231e-07	7269134
710696	1	1.37567968894231e-07	7269134
713604	1	1.37567968894231e-07	7269134
717962	5	6.87839844471157e-07	7269134
718252	3	4.12703906682694e-07	7269134
718255	1	1.37567968894231e-07	7269134
742013	1	1.37567968894231e-07	7269134
743720	2	2.75135937788463e-07	7269134
743721	1	1.37567968894231e-07	7269134
749927	2	2.75135937788463e-07	7269134
754252	1	1.37567968894231e-07	7269134
757424	2	2.75135937788463e-07	7269134
759350	2	2.75135937788463e-07	7269134
760192	1	1.37567968894231e-07	7269134
762376	1	1.37567968894231e-07	7269134
762550	1	1.37567968894231e-07	7269134
762633	1	1.37567968894231e-07	7269134
762903	1	1.37567968894231e-07	7269134
767463	1	1.37567968894231e-07	7269134
768066	1	1.37567968894231e-07	7269134
798128	1	1.37567968894231e-07	7269134
859656	2	2.75135937788463e-07	7269134
859657	1	1.37567968894231e-07	7269134
862962	2	2.75135937788463e-07	7269134
866768	1	1.37567968894231e-07	7269134
868597	1	1.37567968894231e-07	7269134
869729	1	1.37567968894231e-07	7269134
871585	1	1.37567968894231e-07	7269134
880758	2	2.75135937788463e-07	7269134
883062	1	1.37567968894231e-07	7269134
890402	3	4.12703906682694e-07	7269134
909952	14	1.92595156451924e-06	7269134
930169	2	2.75135937788463e-07	7269134
936155	1	1.37567968894231e-07	7269134
944546	1	1.37567968894231e-07	7269134
944547	1	1.37567968894231e-07	7269134
945556	1	1.37567968894231e-07	7269134
979556	1	1.37567968894231e-07	7269134
983917	3	4.12703906682694e-07	7269134
990315	3	4.12703906682694e-07	7269134
994484	5	6.87839844471157e-07	7269134
996285	2	2.75135937788463e-07	7269134
1001585	2	2.75135937788463e-07	7269134
1005048	3	4.12703906682694e-07	7269134
1007105	1	1.37567968894231e-07	7269134
1009846	1	1.37567968894231e-07	7269134
1031709	4	5.50271875576926e-07	7269134
1031711	1	1.37567968894231e-07	7269134
1032480	1	1.37567968894231e-07	7269134
1034807	1	1.37567968894231e-07	7269134
1037911	15	2.06351953341347e-06	7269134
1041826	1	1.37567968894231e-07	7269134
1042156	2	2.75135937788463e-07	7269134
1042876	1	1.37567968894231e-07	7269134
1064539	2	2.75135937788463e-07	7269134
1069533	1	1.37567968894231e-07	7269134
1072459	1	1.37567968894231e-07	7269134
1076934	1	1.37567968894231e-07	7269134
1091045	37	5.09001484908656e-06	7269134
1094466	1	1.37567968894231e-07	7269134
1097677	1	1.37567968894231e-07	7269134
1114966	2	2.75135937788463e-07	7269134
1114967	4	5.50271875576926e-07	7269134
1114969	112	1.54076125161539e-05	7269134
1114970	3	4.12703906682694e-07	7269134
1123519	2	2.75135937788463e-07	7269134
1124983	4	5.50271875576926e-07	7269134
1133852	1	1.37567968894231e-07	7269134
1133853	1	1.37567968894231e-07	7269134
1134454	59	8.11651016475965e-06	7269134
1136179	9	1.23811172004808e-06	7269134
1163399	1	1.37567968894231e-07	7269134
1166130	1	1.37567968894231e-07	7269134
1170318	4	5.50271875576926e-07	7269134
1173020	3	4.12703906682694e-07	7269134
1185652	1	1.37567968894231e-07	7269134
1196325	2	2.75135937788463e-07	7269134
1196835	1	1.37567968894231e-07	7269134
1204414	1	1.37567968894231e-07	7269134
1215088	6	8.25407813365388e-07	7269134
1245469	1	1.37567968894231e-07	7269134
1245471	3	4.12703906682694e-07	7269134
1246301	4	5.50271875576926e-07	7269134
1254439	2	2.75135937788463e-07	7269134
1261557	1	1.37567968894231e-07	7269134
1265601	1	1.37567968894231e-07	7269134
1266738	2	2.75135937788463e-07	7269134
1266845	1	1.37567968894231e-07	7269134
1280938	1	1.37567968894231e-07	7269134
1282356	5	6.87839844471157e-07	7269134
1286170	2	2.75135937788463e-07	7269134
1286640	1	1.37567968894231e-07	7269134
1294143	1	1.37567968894231e-07	7269134
1295826	1	1.37567968894231e-07	7269134
1303692	1	1.37567968894231e-07	7269134
1304892	1	1.37567968894231e-07	7269134
1321369	1	1.37567968894231e-07	7269134
1331671	1	1.37567968894231e-07	7269134
1399116	1	1.37567968894231e-07	7269134
1401659	1	1.37567968894231e-07	7269134
1415630	20	2.75135937788463e-06	7269134
