Tax.ID	Frequency	Proportion	Total
5762	1	3.49185298321222e-07	2863809
10629	13	4.53940887817588e-06	2863809
62977	1	3.49185298321222e-07	2863809
76869	1	3.49185298321222e-07	2863809
160488	2	6.98370596642444e-07	2863809
171101	1	3.49185298321222e-07	2863809
190485	3	1.04755589496367e-06	2863809
190486	1	3.49185298321222e-07	2863809
203275	1	3.49185298321222e-07	2863809
205922	1	3.49185298321222e-07	2863809
216591	3	1.04755589496367e-06	2863809
216595	8	2.79348238656977e-06	2863809
220341	4	1.39674119328489e-06	2863809
220664	2	6.98370596642444e-07	2863809
223283	1	3.49185298321222e-07	2863809
232721	2	6.98370596642444e-07	2863809
234621	4	1.39674119328489e-06	2863809
257313	1	3.49185298321222e-07	2863809
264198	1	3.49185298321222e-07	2863809
264730	1	3.49185298321222e-07	2863809
272630	1	3.49185298321222e-07	2863809
278137	1	3.49185298321222e-07	2863809
284592	1	3.49185298321222e-07	2863809
284812	1	3.49185298321222e-07	2863809
291331	1	3.49185298321222e-07	2863809
295405	1	3.49185298321222e-07	2863809
314565	3	1.04755589496367e-06	2863809
320388	4	1.39674119328489e-06	2863809
320389	1	3.49185298321222e-07	2863809
322159	1	3.49185298321222e-07	2863809
331111	2	6.98370596642444e-07	2863809
331271	1	3.49185298321222e-07	2863809
331272	1	3.49185298321222e-07	2863809
334413	2	6.98370596642444e-07	2863809
337191	1	3.49185298321222e-07	2863809
344609	1	3.49185298321222e-07	2863809
350054	1	3.49185298321222e-07	2863809
351348	1	3.49185298321222e-07	2863809
351746	2	6.98370596642444e-07	2863809
358220	8	2.79348238656977e-06	2863809
362663	1	3.49185298321222e-07	2863809
365659	1	3.49185298321222e-07	2863809
367928	1	3.49185298321222e-07	2863809
373153	1	3.49185298321222e-07	2863809
373384	1	3.49185298321222e-07	2863809
381666	1	3.49185298321222e-07	2863809
384676	1	3.49185298321222e-07	2863809
390235	1	3.49185298321222e-07	2863809
391008	1	3.49185298321222e-07	2863809
391038	1	3.49185298321222e-07	2863809
391616	1	3.49185298321222e-07	2863809
391735	1	3.49185298321222e-07	2863809
391904	1	3.49185298321222e-07	2863809
393595	1	3.49185298321222e-07	2863809
395019	2	6.98370596642444e-07	2863809
397945	1	3.49185298321222e-07	2863809
398578	9	3.142667684891e-06	2863809
400667	2	6.98370596642444e-07	2863809
405948	1	3.49185298321222e-07	2863809
405955	5	1.74592649160611e-06	2863809
412022	1	3.49185298321222e-07	2863809
419610	1	3.49185298321222e-07	2863809
420662	1	3.49185298321222e-07	2863809
426117	1	3.49185298321222e-07	2863809
439843	4	1.39674119328489e-06	2863809
439855	1	3.49185298321222e-07	2863809
440085	1	3.49185298321222e-07	2863809
441620	3	1.04755589496367e-06	2863809
446471	1	3.49185298321222e-07	2863809
447217	1	3.49185298321222e-07	2863809
452652	1	3.49185298321222e-07	2863809
454169	4	1.39674119328489e-06	2863809
455488	1	3.49185298321222e-07	2863809
465515	3	1.04755589496367e-06	2863809
481805	2	6.98370596642444e-07	2863809
482957	1	3.49185298321222e-07	2863809
509169	4	1.39674119328489e-06	2863809
509173	2	6.98370596642444e-07	2863809
521096	1	3.49185298321222e-07	2863809
522373	1	3.49185298321222e-07	2863809
535289	1	3.49185298321222e-07	2863809
543728	2	6.98370596642444e-07	2863809
550540	1	3.49185298321222e-07	2863809
553199	13	4.53940887817588e-06	2863809
568707	1	3.49185298321222e-07	2863809
573729	1	3.49185298321222e-07	2863809
578455	2	6.98370596642444e-07	2863809
585035	2	6.98370596642444e-07	2863809
585396	4	1.39674119328489e-06	2863809
591946	1	3.49185298321222e-07	2863809
595495	1	3.49185298321222e-07	2863809
595537	3	1.04755589496367e-06	2863809
596153	1	3.49185298321222e-07	2863809
596154	1	3.49185298321222e-07	2863809
626418	1	3.49185298321222e-07	2863809
634500	1	3.49185298321222e-07	2863809
643561	2	6.98370596642444e-07	2863809
657318	1	3.49185298321222e-07	2863809
661410	2	6.98370596642444e-07	2863809
667015	1	3.49185298321222e-07	2863809
688245	1	3.49185298321222e-07	2863809
691437	1	3.49185298321222e-07	2863809
702459	1	3.49185298321222e-07	2863809
742013	4	1.39674119328489e-06	2863809
743718	1	3.49185298321222e-07	2863809
743720	1	3.49185298321222e-07	2863809
744533	3	1.04755589496367e-06	2863809
745310	1	3.49185298321222e-07	2863809
767463	1	3.49185298321222e-07	2863809
866768	1	3.49185298321222e-07	2863809
869309	1	3.49185298321222e-07	2863809
869729	3	1.04755589496367e-06	2863809
931281	1	3.49185298321222e-07	2863809
977880	1	3.49185298321222e-07	2863809
979556	1	3.49185298321222e-07	2863809
990315	2	6.98370596642444e-07	2863809
994484	1	3.49185298321222e-07	2863809
1005048	1	3.49185298321222e-07	2863809
1009846	1	3.49185298321222e-07	2863809
1037911	6	2.09511178992733e-06	2863809
1042876	3	1.04755589496367e-06	2863809
1091045	7	2.44429708824855e-06	2863809
1111068	1	3.49185298321222e-07	2863809
1114966	1	3.49185298321222e-07	2863809
1114967	2	6.98370596642444e-07	2863809
1114969	14	4.88859417649711e-06	2863809
1114970	1	3.49185298321222e-07	2863809
1124983	2	6.98370596642444e-07	2863809
1134454	10	3.49185298321222e-06	2863809
1136179	3	1.04755589496367e-06	2863809
1137651	1	3.49185298321222e-07	2863809
1163399	1	3.49185298321222e-07	2863809
1167634	1	3.49185298321222e-07	2863809
1193729	1	3.49185298321222e-07	2863809
1207075	2	6.98370596642444e-07	2863809
1211579	6	2.09511178992733e-06	2863809
1215088	2	6.98370596642444e-07	2863809
1233873	1	3.49185298321222e-07	2863809
1241583	1	3.49185298321222e-07	2863809
1245471	2	6.98370596642444e-07	2863809
1246301	2	6.98370596642444e-07	2863809
1282356	5	1.74592649160611e-06	2863809
1331671	3	1.04755589496367e-06	2863809
1382700	1	3.49185298321222e-07	2863809
1415630	12	4.19022357985466e-06	2863809
1435356	1	3.49185298321222e-07	2863809
