Tax.ID	Frequency	Proportion	Total
1511	1	1.17617446901604e-07	8502140
2850	1	1.17617446901604e-07	8502140
5786	1	1.17617446901604e-07	8502140
10629	405	4.76350659951495e-05	8502140
10632	17	1.99949659732726e-06	8502140
10678	1	1.17617446901604e-07	8502140
10679	5	5.88087234508018e-07	8502140
10680	7	8.23322128311225e-07	8502140
10742	1	1.17617446901604e-07	8502140
37554	1	1.17617446901604e-07	8502140
45406	1	1.17617446901604e-07	8502140
55884	2	2.35234893803207e-07	8502140
69328	5	5.88087234508018e-07	8502140
76114	1	1.17617446901604e-07	8502140
99287	4	4.70469787606414e-07	8502140
134676	1	1.17617446901604e-07	8502140
155148	3	3.52852340704811e-07	8502140
155864	295	3.46971468359731e-05	8502140
176279	1	1.17617446901604e-07	8502140
176280	1	1.17617446901604e-07	8502140
179408	2	2.35234893803207e-07	8502140
180816	1	1.17617446901604e-07	8502140
190485	1	1.17617446901604e-07	8502140
196242	1	1.17617446901604e-07	8502140
198214	76	8.93892596452187e-06	8502140
198215	395	4.64588915261334e-05	8502140
198628	1	1.17617446901604e-07	8502140
199310	365	4.29303681190853e-05	8502140
204773	2	2.35234893803207e-07	8502140
209261	23	2.70520127873688e-06	8502140
214092	25	2.94043617254009e-06	8502140
215158	1	1.17617446901604e-07	8502140
215689	2	2.35234893803207e-07	8502140
216592	121	1.4231711075094e-05	8502140
216595	4	4.70469787606414e-07	8502140
216597	11	1.29379191591764e-06	8502140
216599	265	3.11686234289249e-05	8502140
220341	312	3.66966434333003e-05	8502140
220664	3	3.52852340704811e-07	8502140
224308	1	1.17617446901604e-07	8502140
226186	4	4.70469787606414e-07	8502140
227940	17	1.99949659732726e-06	8502140
232721	2	2.35234893803207e-07	8502140
234621	3	3.52852340704811e-07	8502140
245014	1	1.17617446901604e-07	8502140
257313	1	1.17617446901604e-07	8502140
259536	1	1.17617446901604e-07	8502140
261292	1	1.17617446901604e-07	8502140
266264	2	2.35234893803207e-07	8502140
266940	1	1.17617446901604e-07	8502140
267608	4	4.70469787606414e-07	8502140
267747	3	3.52852340704811e-07	8502140
269482	1	1.17617446901604e-07	8502140
272620	92	1.08208051149475e-05	8502140
272831	1	1.17617446901604e-07	8502140
279808	1	1.17617446901604e-07	8502140
280699	1	1.17617446901604e-07	8502140
290338	119	1.39964761812908e-05	8502140
290339	19	2.23473149113047e-06	8502140
295405	2	2.35234893803207e-07	8502140
296543	4	4.70469787606414e-07	8502140
300267	385	4.52827170571174e-05	8502140
300268	115	1.35260063936844e-05	8502140
300269	64	7.52751660170263e-06	8502140
314565	1	1.17617446901604e-07	8502140
315750	1	1.17617446901604e-07	8502140
316055	1	1.17617446901604e-07	8502140
316056	1	1.17617446901604e-07	8502140
316058	1	1.17617446901604e-07	8502140
316273	1	1.17617446901604e-07	8502140
316385	410	4.82231532296575e-05	8502140
316401	97	1.14088923494555e-05	8502140
316407	35	4.11661064155613e-06	8502140
317655	1	1.17617446901604e-07	8502140
319795	1	1.17617446901604e-07	8502140
321314	11	1.29379191591764e-06	8502140
323097	1	1.17617446901604e-07	8502140
326297	1	1.17617446901604e-07	8502140
326423	1	1.17617446901604e-07	8502140
329864	1	1.17617446901604e-07	8502140
331111	807	9.49172796495941e-05	8502140
331112	290	3.4109059601465e-05	8502140
331271	11	1.29379191591764e-06	8502140
331272	1	1.17617446901604e-07	8502140
338969	1	1.17617446901604e-07	8502140
339670	1	1.17617446901604e-07	8502140
340100	2	2.35234893803207e-07	8502140
343516	103	1.21145970308652e-05	8502140
344609	1519	0.000178660901843536	8502140
347253	1	1.17617446901604e-07	8502140
348058	1	1.17617446901604e-07	8502140
349106	2	2.35234893803207e-07	8502140
349746	5	5.88087234508018e-07	8502140
351348	3	3.52852340704811e-07	8502140
351607	1	1.17617446901604e-07	8502140
358220	5	5.88087234508018e-07	8502140
360102	100	1.17617446901604e-05	8502140
362663	12252	0.00144104895943845	8502140
364106	12	1.41140936281924e-06	8502140
365044	9	1.05855702211443e-06	8502140
365046	2	2.35234893803207e-07	8502140
367737	3	3.52852340704811e-07	8502140
370354	14	1.64664425662245e-06	8502140
373153	1	1.17617446901604e-07	8502140
373384	5630	0.000662186226056028	8502140
375286	2	2.35234893803207e-07	8502140
376686	2	2.35234893803207e-07	8502140
379329	4	4.70469787606414e-07	8502140
380703	2	2.35234893803207e-07	8502140
381666	1	1.17617446901604e-07	8502140
381754	42	4.93993276986735e-06	8502140
382245	54	6.35134213268659e-06	8502140
384676	11	1.29379191591764e-06	8502140
386585	399	4.69293613137398e-05	8502140
386656	14	1.64664425662245e-06	8502140
390235	11	1.29379191591764e-06	8502140
393305	17	1.99949659732726e-06	8502140
395019	4	4.70469787606414e-07	8502140
395495	4	4.70469787606414e-07	8502140
397945	6	7.05704681409622e-07	8502140
399739	1	1.17617446901604e-07	8502140
399741	2	2.35234893803207e-07	8502140
399742	13	1.52902680972085e-06	8502140
400667	8	9.40939575212829e-07	8502140
400756	1	1.17617446901604e-07	8502140
401473	1	1.17617446901604e-07	8502140
402626	1	1.17617446901604e-07	8502140
405416	1	1.17617446901604e-07	8502140
405955	17629	0.00207347797142837	8502140
409438	313	3.68142608802019e-05	8502140
413997	37	4.35184553535933e-06	8502140
414970	23	2.70520127873688e-06	8502140
423368	61	7.17466426099782e-06	8502140
425011	1	1.17617446901604e-07	8502140
426114	1	1.17617446901604e-07	8502140
431946	65	7.64513404860423e-06	8502140
435590	11	1.29379191591764e-06	8502140
435998	1	1.17617446901604e-07	8502140
436717	1	1.17617446901604e-07	8502140
439843	282	3.31681200262522e-05	8502140
439851	23	2.70520127873688e-06	8502140
439855	2522	0.000296631201085844	8502140
444450	128	1.50550332034053e-05	8502140
454169	361	4.24598983314789e-05	8502140
465515	3	3.52852340704811e-07	8502140
469008	8	9.40939575212829e-07	8502140
479436	2	2.35234893803207e-07	8502140
480119	8	9.40939575212829e-07	8502140
481805	8448	0.000993632191424747	8502140
484021	1	1.17617446901604e-07	8502140
485917	2	2.35234893803207e-07	8502140
485918	2	2.35234893803207e-07	8502140
497978	1	1.17617446901604e-07	8502140
498211	1	1.17617446901604e-07	8502140
502800	1	1.17617446901604e-07	8502140
502801	1	1.17617446901604e-07	8502140
507522	6	7.05704681409622e-07	8502140
509169	1	1.17617446901604e-07	8502140
509173	35	4.11661064155613e-06	8502140
515619	4	4.70469787606414e-07	8502140
522306	2	2.35234893803207e-07	8502140
522373	3	3.52852340704811e-07	8502140
525919	1	1.17617446901604e-07	8502140
527001	4	4.70469787606414e-07	8502140
529507	1	1.17617446901604e-07	8502140
535289	35	4.11661064155613e-06	8502140
536056	808	9.50348970964957e-05	8502140
543728	2	2.35234893803207e-07	8502140
543913	1	1.17617446901604e-07	8502140
544404	21	2.46996638493368e-06	8502140
545693	1	1.17617446901604e-07	8502140
550538	7	8.23322128311225e-07	8502140
553199	37	4.35184553535933e-06	8502140
554290	1	1.17617446901604e-07	8502140
556484	1	1.17617446901604e-07	8502140
559292	3	3.52852340704811e-07	8502140
561230	1	1.17617446901604e-07	8502140
561231	1	1.17617446901604e-07	8502140
563769	5	5.88087234508018e-07	8502140
564886	6	7.05704681409622e-07	8502140
566546	39	4.58708042916254e-06	8502140
571800	1	1.17617446901604e-07	8502140
573235	283	3.32857374731538e-05	8502140
574521	1061	0.000124792111162601	8502140
585034	49	5.76325489817858e-06	8502140
585035	4497	0.000528925658716511	8502140
585054	782	9.1976843477054e-05	8502140
585055	230	2.70520127873688e-05	8502140
585056	327	3.84609051368244e-05	8502140
585057	1824	0.000214534223148525	8502140
585394	1	1.17617446901604e-07	8502140
585395	282	3.31681200262522e-05	8502140
585396	391	4.5988421738527e-05	8502140
585397	371	4.36360728004949e-05	8502140
591020	12	1.41140936281924e-06	8502140
591946	56	6.5865770264898e-06	8502140
592316	1	1.17617446901604e-07	8502140
595495	1664	0.000195715431644268	8502140
595496	47	5.52802000437537e-06	8502140
595537	2	2.35234893803207e-07	8502140
596153	3	3.52852340704811e-07	8502140
596154	3	3.52852340704811e-07	8502140
604162	1	1.17617446901604e-07	8502140
610130	1	1.17617446901604e-07	8502140
