Tax.ID	Frequency	Proportion	Total
1639	2	NA	NA
2769	2	NA	NA
2829	2	NA	NA
2850	3	NA	NA
5270	1	NA	NA
5762	2	NA	NA
5823	17	NA	NA
10629	119	NA	NA
10632	3	NA	NA
31271	1	NA	NA
35128	7	NA	NA
35688	1	NA	NA
44056	1	NA	NA
52970	1	NA	NA
55529	4	NA	NA
62928	1	NA	NA
63186	1	NA	NA
85643	2	NA	NA
94122	1	NA	NA
96563	1	NA	NA
101510	4	NA	NA
120807	1	NA	NA
122587	3	NA	NA
137722	1	NA	NA
155864	1	NA	NA
158879	1	NA	NA
160619	2	NA	NA
164756	3	NA	NA
170187	1	NA	NA
171101	3	NA	NA
176279	27	NA	NA
176280	30	NA	NA
178306	1	NA	NA
179408	1	NA	NA
190485	6	NA	NA
196162	1	NA	NA
196164	1	NA	NA
204773	1	NA	NA
205913	1	NA	NA
205918	1	NA	NA
205922	2	NA	NA
208963	1	NA	NA
208964	1	NA	NA
209261	1	NA	NA
210007	1	NA	NA
216432	2	NA	NA
216591	2	NA	NA
216594	1	NA	NA
216595	8	NA	NA
220341	46	NA	NA
223283	2	NA	NA
224308	1	NA	NA
226185	10	NA	NA
226186	1	NA	NA
228405	1	NA	NA
231023	1	NA	NA
232721	20	NA	NA
234621	15	NA	NA
240292	2	NA	NA
243243	2	NA	NA
246198	1	NA	NA
258594	1	NA	NA
262316	2	NA	NA
264198	2	NA	NA
264199	1	NA	NA
264203	2	NA	NA
266264	4	NA	NA
266265	1	NA	NA
266779	2	NA	NA
267608	2	NA	NA
267747	13	NA	NA
269800	1	NA	NA
272620	2	NA	NA
272621	1	NA	NA
272622	12	NA	NA
272623	5	NA	NA
272630	2	NA	NA
272831	10	NA	NA
272942	1	NA	NA
279238	2	NA	NA
279808	5	NA	NA
280463	4	NA	NA
282458	1	NA	NA
284812	3	NA	NA
288705	1	NA	NA
290338	2	NA	NA
290399	2	NA	NA
290402	2	NA	NA
292415	1	NA	NA
296543	4	NA	NA
296591	8	NA	NA
299768	1	NA	NA
306537	10	NA	NA
312153	10	NA	NA
313595	1	NA	NA
313596	2	NA	NA
313603	2	NA	NA
314565	5	NA	NA
315750	3	NA	NA
316055	3	NA	NA
316056	2	NA	NA
317655	2	NA	NA
318586	1	NA	NA
319795	1	NA	NA
321327	2	NA	NA
321967	4	NA	NA
322159	7	NA	NA
326297	1	NA	NA
326423	1	NA	NA
326425	4	NA	NA
326427	1	NA	NA
331112	1	NA	NA
331271	6	NA	NA
334413	5	NA	NA
335541	2	NA	NA
335659	1	NA	NA
338963	2	NA	NA
338969	1	NA	NA
339670	4	NA	NA
340100	1	NA	NA
340322	2	NA	NA
342108	1	NA	NA
344609	2	NA	NA
349102	1	NA	NA
350054	1	NA	NA
351746	5	NA	NA
352914	34	NA	NA
357808	2	NA	NA
358220	25	NA	NA
359786	2	NA	NA
360094	1	NA	NA
362242	3	NA	NA
362663	8	NA	NA
365044	12	NA	NA
365046	7	NA	NA
365659	4	NA	NA
366394	1	NA	NA
367928	1	NA	NA
373153	5	NA	NA
373384	7	NA	NA
374833	2	NA	NA
374930	4	NA	NA
374931	4	NA	NA
375286	2	NA	NA
376686	67	NA	NA
379731	1	NA	NA
381666	1	NA	NA
381754	1	NA	NA
382245	2	NA	NA
384676	4	NA	NA
386415	2	NA	NA
387092	3	NA	NA
388919	8	NA	NA
390235	3	NA	NA
391008	1	NA	NA
391735	3	NA	NA
391904	2	NA	NA
392499	1	NA	NA
393305	1	NA	NA
395019	9	NA	NA
395491	2	NA	NA
395495	4	NA	NA
395960	2	NA	NA
396513	1	NA	NA
396588	1	NA	NA
396595	1	NA	NA
397945	3	NA	NA
398527	3	NA	NA
398578	15	NA	NA
399739	1	NA	NA
399781	4	NA	NA
400667	10	NA	NA
400756	3	NA	NA
402612	24	NA	NA
402881	1	NA	NA
404589	1	NA	NA
405416	3	NA	NA
405566	4	NA	NA
405955	6	NA	NA
411154	1	NA	NA
412022	1	NA	NA
412030	2	NA	NA
414684	1	NA	NA
416870	13	NA	NA
419610	5	NA	NA
420662	7	NA	NA
423368	2	NA	NA
424182	1	NA	NA
425011	2	NA	NA
426117	3	NA	NA
426355	5	NA	NA
428406	1	NA	NA
435590	4	NA	NA
435591	4	NA	NA
435998	1	NA	NA
439375	1	NA	NA
439843	45	NA	NA
439855	1	NA	NA
440085	6	NA	NA
441375	2	NA	NA
441620	6	NA	NA
446466	1	NA	NA
446471	1	NA	NA
448385	1	NA	NA
451516	1	NA	NA
452638	3	NA	NA
452652	1	NA	NA
452662	4	NA	NA
454169	45	NA	NA
455632	1	NA	NA
459424	1	NA	NA
460265	4	NA	NA
465515	13	NA	NA
467705	4	NA	NA
471223	1	NA	NA
471852	1	NA	NA
474186	3	NA	NA
477641	3	NA	NA
478801	1	NA	NA
479431	1	NA	NA
479436	3	NA	NA
480119	3	NA	NA
481805	12	NA	NA
482957	2	NA	NA
483219	1	NA	NA
484021	1	NA	NA
487521	4	NA	NA
489653	3	NA	NA
491915	1	NA	NA
491916	1	NA	NA
504474	2	NA	NA
509169	5	NA	NA
509170	4	NA	NA
509173	7	NA	NA
510516	2	NA	NA
