Tax.ID	Frequency	Proportion	Total
1148	1	NA	NA
1639	2	NA	NA
2839	1	NA	NA
4950	9	NA	NA
5518	1	NA	NA
5661	1	NA	NA
5823	14	NA	NA
5872	1	NA	NA
5911	1	NA	NA
5932	2	NA	NA
10629	57	NA	NA
10632	3	NA	NA
31271	1	NA	NA
35128	5	NA	NA
52970	1	NA	NA
62928	4	NA	NA
69328	1	NA	NA
75379	1	NA	NA
76869	3	NA	NA
83406	1	NA	NA
85643	2	NA	NA
96563	6	NA	NA
100226	1	NA	NA
101510	8	NA	NA
114615	2	NA	NA
120807	3	NA	NA
122587	1	NA	NA
145522	1	NA	NA
150340	5	NA	NA
160488	3	NA	NA
160619	2	NA	NA
164756	2	NA	NA
170187	1	NA	NA
171101	3	NA	NA
176279	22	NA	NA
176280	23	NA	NA
189423	1	NA	NA
190485	5	NA	NA
190650	1	NA	NA
196162	1	NA	NA
203124	2	NA	NA
204773	6	NA	NA
205913	1	NA	NA
205918	4	NA	NA
205922	7	NA	NA
208963	2	NA	NA
208964	2	NA	NA
214684	2	NA	NA
216432	1	NA	NA
216595	12	NA	NA
218491	1	NA	NA
220341	94	NA	NA
220664	1	NA	NA
223926	1	NA	NA
226185	7	NA	NA
226186	1	NA	NA
228405	1	NA	NA
231023	5	NA	NA
232721	19	NA	NA
234621	18	NA	NA
245014	2	NA	NA
245018	2	NA	NA
246196	2	NA	NA
247156	2	NA	NA
258594	2	NA	NA
261292	2	NA	NA
262724	1	NA	NA
264203	1	NA	NA
264730	1	NA	NA
265072	2	NA	NA
266264	6	NA	NA
266265	1	NA	NA
266834	2	NA	NA
266940	1	NA	NA
267608	3	NA	NA
267747	21	NA	NA
269482	3	NA	NA
269798	3	NA	NA
271848	1	NA	NA
272568	2	NA	NA
272620	2	NA	NA
272622	3	NA	NA
272623	3	NA	NA
272630	3	NA	NA
272633	1	NA	NA
272831	2	NA	NA
272942	2	NA	NA
278137	1	NA	NA
279238	2	NA	NA
279808	2	NA	NA
282458	1	NA	NA
284590	5	NA	NA
284593	1	NA	NA
284811	2	NA	NA
284812	2	NA	NA
288000	2	NA	NA
290338	1	NA	NA
292415	1	NA	NA
295405	3	NA	NA
296543	6	NA	NA
296591	6	NA	NA
300267	1	NA	NA
300852	1	NA	NA
306537	1	NA	NA
311403	1	NA	NA
312153	21	NA	NA
313598	5	NA	NA
313603	1	NA	NA
314565	4	NA	NA
316056	2	NA	NA
316058	1	NA	NA
317655	4	NA	NA
318586	1	NA	NA
320388	2	NA	NA
321956	1	NA	NA
322159	8	NA	NA
323097	2	NA	NA
324831	1	NA	NA
326425	18	NA	NA
330214	2	NA	NA
331111	3	NA	NA
331112	2	NA	NA
331271	13	NA	NA
331272	3	NA	NA
333849	5	NA	NA
334413	1	NA	NA
335283	2	NA	NA
335543	2	NA	NA
335659	1	NA	NA
338969	3	NA	NA
339670	3	NA	NA
340100	3	NA	NA
340322	6	NA	NA
342451	1	NA	NA
344609	2	NA	NA
345219	2	NA	NA
347253	1	NA	NA
347515	1	NA	NA
349102	2	NA	NA
350054	1	NA	NA
351746	11	NA	NA
352914	40	NA	NA
353153	1	NA	NA
353154	1	NA	NA
357348	2	NA	NA
357809	4	NA	NA
358220	47	NA	NA
359786	2	NA	NA
359787	1	NA	NA
360094	1	NA	NA
360102	6	NA	NA
362663	7	NA	NA
362948	1	NA	NA
365044	19	NA	NA
365046	9	NA	NA
365659	8	NA	NA
366394	1	NA	NA
366602	1	NA	NA
367775	2	NA	NA
370354	1	NA	NA
373153	4	NA	NA
373384	4	NA	NA
375286	3	NA	NA
376686	110	NA	NA
376758	1	NA	NA
377628	1	NA	NA
377629	3	NA	NA
378753	2	NA	NA
379731	3	NA	NA
380703	14	NA	NA
381666	2	NA	NA
381754	6	NA	NA
381764	1	NA	NA
382245	5	NA	NA
383629	1	NA	NA
384676	12	NA	NA
388919	3	NA	NA
390235	6	NA	NA
390236	1	NA	NA
390333	1	NA	NA
391008	12	NA	NA
391038	2	NA	NA
391295	1	NA	NA
391296	1	NA	NA
391735	8	NA	NA
392499	9	NA	NA
393011	1	NA	NA
393595	2	NA	NA
395019	6	NA	NA
395495	8	NA	NA
395960	2	NA	NA
396588	1	NA	NA
397945	11	NA	NA
398527	1	NA	NA
398578	17	NA	NA
399739	2	NA	NA
399781	3	NA	NA
400756	2	NA	NA
402612	66	NA	NA
402626	2	NA	NA
403677	9	NA	NA
404589	1	NA	NA
405416	4	NA	NA
405440	2	NA	NA
405566	17	NA	NA
405955	7	NA	NA
411154	7	NA	NA
412030	3	NA	NA
413997	1	NA	NA
416870	3	NA	NA
419610	2	NA	NA
420246	6	NA	NA
420662	8	NA	NA
423368	2	NA	NA
423536	7	NA	NA
426355	4	NA	NA
428406	3	NA	NA
435590	9	NA	NA
435591	1	NA	NA
435998	2	NA	NA
438753	1	NA	NA
439843	92	NA	NA
439855	2	NA	NA
440085	1	NA	NA
441375	1	NA	NA
441620	3	NA	NA
446462	1	NA	NA
446469	1	NA	NA
448385	2	NA	NA
452638	12	NA	NA
452662	2	NA	NA
454169	92	NA	NA
457425	1	NA	NA
460265	1	NA	NA
465515	15	NA	NA
467705	2	NA	NA
469383	3	NA	NA
469604	2	NA	NA
469607	2	NA	NA
471223	2	NA	NA
474186	4	NA	NA
477641	1	NA	NA
478801	4	NA	NA
479433	2	NA	NA
479436	1	NA	NA
480119	1	NA	NA
481805	7	NA	NA
482957	2	NA	NA
485918	2	NA	NA
487213	2	NA	NA
487214	1	NA	NA
488222	2	NA	NA
489653	3	NA	NA
491915	4	NA	NA
502025	1	NA	NA
504832	1	NA	NA
509169	6	NA	NA
509173	6	NA	NA
511437	1	NA	NA
512565	1	NA	NA
516950	3	NA	NA
521096	1	NA	NA
521097	4	NA	NA
522373	25	NA	NA
525284	2	NA	NA
525909	1	NA	NA
530564	1	NA	NA
531844	2	NA	NA
535289	9	NA	NA
536019	1	NA	NA
543728	13	NA	NA
543891	1	NA	NA
543913	71	NA	NA
544556	1	NA	NA
548473	2	NA	NA
550542	1	NA	NA
553174	2	NA	NA
553190	7	NA	NA
553199	451	NA	NA
556484	1	NA	NA
557600	1	NA	NA
557722	2	NA	NA
557760	1	NA	NA
559292	235	NA	NA
559295	11	NA	NA
559307	10	NA	NA
561231	1	NA	NA
565040	1	NA	NA
565042	1	NA	NA
575788	1	NA	NA
580327	1	NA	NA
580332	1	NA	NA
585054	2	NA	NA
585057	1	NA	NA
585143	1	NA	NA
585394	3	NA	NA
585396	94	NA	NA
592029	3	NA	NA
593907	2	NA	NA
595537	13	NA	NA
596153	9	NA	NA
