Tax.ID	Frequency	Proportion	Total
2839	1	NA	NA
5661	1	NA	NA
5823	5	NA	NA
10629	26	NA	NA
31271	1	NA	NA
33658	1	NA	NA
96563	1	NA	NA
109269	1	NA	NA
159087	4	NA	NA
160619	2	NA	NA
176279	5	NA	NA
176280	5	NA	NA
190485	6	NA	NA
207559	2	NA	NA
208596	1	NA	NA
208963	1	NA	NA
208964	1	NA	NA
214092	1	NA	NA
216595	5	NA	NA
220341	2	NA	NA
224911	1	NA	NA
232721	8	NA	NA
234621	13	NA	NA
243230	1	NA	NA
245018	1	NA	NA
261658	1	NA	NA
264201	2	NA	NA
266264	1	NA	NA
267608	2	NA	NA
267747	5	NA	NA
269482	1	NA	NA
269798	3	NA	NA
271848	1	NA	NA
272620	5	NA	NA
279808	2	NA	NA
281310	1	NA	NA
284591	1	NA	NA
284812	3	NA	NA
290339	1	NA	NA
290399	2	NA	NA
296591	1	NA	NA
297245	1	NA	NA
312153	6	NA	NA
313598	2	NA	NA
314565	6	NA	NA
316056	1	NA	NA
317655	1	NA	NA
320388	2	NA	NA
322159	2	NA	NA
326424	2	NA	NA
331111	1	NA	NA
331112	1	NA	NA
331271	1	NA	NA
331272	1	NA	NA
335284	1	NA	NA
335659	1	NA	NA
338969	1	NA	NA
339670	1	NA	NA
340100	1	NA	NA
347253	1	NA	NA
347515	2	NA	NA
349101	1	NA	NA
352914	6	NA	NA
358220	13	NA	NA
360102	1	NA	NA
362663	1	NA	NA
365044	3	NA	NA
365046	2	NA	NA
365659	1	NA	NA
367928	2	NA	NA
373384	1	NA	NA
376686	33	NA	NA
377628	1	NA	NA
379731	1	NA	NA
382245	2	NA	NA
384676	1	NA	NA
390235	1	NA	NA
391008	4	NA	NA
391038	1	NA	NA
391295	1	NA	NA
391296	1	NA	NA
391735	1	NA	NA
391904	1	NA	NA
393305	1	NA	NA
395019	4	NA	NA
395495	2	NA	NA
395960	2	NA	NA
397945	1	NA	NA
398578	4	NA	NA
400667	1	NA	NA
400756	5	NA	NA
402612	23	NA	NA
405416	1	NA	NA
412022	1	NA	NA
416276	1	NA	NA
416870	1	NA	NA
419610	2	NA	NA
420662	9	NA	NA
423536	4	NA	NA
426117	1	NA	NA
426355	4	NA	NA
435590	1	NA	NA
436717	2	NA	NA
439843	1	NA	NA
440085	1	NA	NA
443143	2	NA	NA
448385	4	NA	NA
450851	1	NA	NA
451516	1	NA	NA
452638	4	NA	NA
454169	2	NA	NA
465515	2	NA	NA
478801	1	NA	NA
482957	2	NA	NA
484021	4	NA	NA
485918	2	NA	NA
498211	1	NA	NA
502025	1	NA	NA
502801	1	NA	NA
507522	2	NA	NA
509169	5	NA	NA
509170	1	NA	NA
509173	4	NA	NA
516950	1	NA	NA
521674	1	NA	NA
522373	10	NA	NA
525284	37	NA	NA
525909	2	NA	NA
526225	1	NA	NA
535289	5	NA	NA
543728	5	NA	NA
543891	3	NA	NA
543913	22	NA	NA
545693	1	NA	NA
546414	1	NA	NA
548476	1	NA	NA
553190	5	NA	NA
553199	90	NA	NA
557760	2	NA	NA
559292	2	NA	NA
561276	1	NA	NA
571800	1	NA	NA
573065	2	NA	NA
582744	1	NA	NA
585034	1	NA	NA
585054	1	NA	NA
585055	1	NA	NA
585396	1	NA	NA
595495	2	NA	NA
595537	9	NA	NA
596153	3	NA	NA
596154	5	NA	NA
600809	1	NA	NA
633149	1	NA	NA
637379	1	NA	NA
640081	1	NA	NA
640131	3	NA	NA
640513	1	NA	NA
643561	1	NA	NA
645127	2	NA	NA
649349	1	NA	NA
652103	1	NA	NA
685727	1	NA	NA
688245	2	NA	NA
696749	1	NA	NA
699246	1	NA	NA
700598	2	NA	NA
710696	1	NA	NA
716541	1	NA	NA
718254	2	NA	NA
742013	4	NA	NA
745776	1	NA	NA
748247	1	NA	NA
751585	1	NA	NA
754477	1	NA	NA
755732	1	NA	NA
756272	1	NA	NA
759350	1	NA	NA
762376	3	NA	NA
767029	1	NA	NA
767463	2	NA	NA
858619	1	NA	NA
859656	1	NA	NA
859657	1	NA	NA
862965	1	NA	NA
868597	4	NA	NA
871585	2	NA	NA
880071	2	NA	NA
880758	2	NA	NA
905079	2	NA	NA
909952	7	NA	NA
926556	1	NA	NA
926562	1	NA	NA
929439	1	NA	NA
930169	1	NA	NA
930944	1	NA	NA
977880	1	NA	NA
983544	4	NA	NA
983548	1	NA	NA
990315	4	NA	NA
994476	1	NA	NA
999541	2	NA	NA
1005048	1	NA	NA
1006551	1	NA	NA
1009464	35	NA	NA
1009846	1	NA	NA
1016998	1	NA	NA
1028307	1	NA	NA
1029756	1	NA	NA
1031709	6	NA	NA
1034807	20	NA	NA
1037409	2	NA	NA
1041826	1	NA	NA
1042876	1	NA	NA
1045855	1	NA	NA
1046629	1	NA	NA
1048332	1	NA	NA
1074919	1	NA	NA
1089553	1	NA	NA
1091045	54	NA	NA
1094466	5	NA	NA
1114967	5	NA	NA
1114969	81	NA	NA
1114970	1	NA	NA
1125630	3	NA	NA
1134454	44	NA	NA
1136179	10	NA	NA
1163399	2	NA	NA
1167634	1	NA	NA
1170318	5	NA	NA
1173020	1	NA	NA
1191061	1	NA	NA
1193292	3	NA	NA
1193576	1	NA	NA
1194526	2	NA	NA
1196325	1	NA	NA
1198114	1	NA	NA
1211025	3	NA	NA
1215088	2	NA	NA
1216976	1	NA	NA
1245469	1	NA	NA
1246301	3	NA	NA
1254439	1	NA	NA
1262456	2	NA	NA
1305598	1	NA	NA
1380908	4	NA	NA
1415630	4	NA	NA
1423144	1	NA	NA
1436140	1	NA	NA
