Tax.ID	Frequency	Proportion	Total
2839	3	NA	NA
2850	1	NA	NA
2898	3	NA	NA
5661	1	NA	NA
5823	6	NA	NA
5911	1	NA	NA
31271	1	NA	NA
35128	1	NA	NA
36809	1	NA	NA
43925	1	NA	NA
52970	1	NA	NA
55529	1	NA	NA
62977	3	NA	NA
75379	1	NA	NA
76869	1	NA	NA
96563	1	NA	NA
101510	4	NA	NA
114615	2	NA	NA
122587	1	NA	NA
160619	2	NA	NA
176279	8	NA	NA
176280	8	NA	NA
187272	1	NA	NA
190485	2	NA	NA
190650	1	NA	NA
192952	1	NA	NA
196164	4	NA	NA
204773	1	NA	NA
211586	3	NA	NA
216432	1	NA	NA
216591	1	NA	NA
216595	5	NA	NA
220341	12	NA	NA
226185	3	NA	NA
226186	1	NA	NA
227086	1	NA	NA
231023	1	NA	NA
232721	11	NA	NA
234621	13	NA	NA
243159	1	NA	NA
246200	1	NA	NA
264198	3	NA	NA
264199	1	NA	NA
264462	2	NA	NA
266264	4	NA	NA
266779	4	NA	NA
267608	2	NA	NA
267747	2	NA	NA
272620	1	NA	NA
272622	2	NA	NA
272623	3	NA	NA
272630	2	NA	NA
272947	1	NA	NA
273119	2	NA	NA
278137	2	NA	NA
279238	3	NA	NA
279808	2	NA	NA
280463	4	NA	NA
284591	1	NA	NA
288705	2	NA	NA
290399	3	NA	NA
290633	1	NA	NA
291331	1	NA	NA
292414	1	NA	NA
292459	1	NA	NA
293613	1	NA	NA
295405	1	NA	NA
299768	1	NA	NA
312153	5	NA	NA
313598	4	NA	NA
314225	1	NA	NA
316055	2	NA	NA
316058	1	NA	NA
317655	2	NA	NA
318586	2	NA	NA
322159	1	NA	NA
330214	1	NA	NA
331271	1	NA	NA
331635	1	NA	NA
335283	1	NA	NA
338966	2	NA	NA
338969	2	NA	NA
339670	3	NA	NA
340100	2	NA	NA
342108	2	NA	NA
347253	1	NA	NA
347515	2	NA	NA
349106	1	NA	NA
350054	1	NA	NA
350058	1	NA	NA
351348	2	NA	NA
351746	3	NA	NA
352914	9	NA	NA
353153	1	NA	NA
358220	17	NA	NA
360094	1	NA	NA
360910	2	NA	NA
362663	2	NA	NA
365044	8	NA	NA
365046	3	NA	NA
365659	1	NA	NA
373384	11	NA	NA
376686	45	NA	NA
378806	1	NA	NA
380394	1	NA	NA
380703	1	NA	NA
384676	1	NA	NA
391008	2	NA	NA
391037	3	NA	NA
391735	5	NA	NA
391896	1	NA	NA
391904	2	NA	NA
392499	4	NA	NA
395495	3	NA	NA
395960	1	NA	NA
396588	1	NA	NA
397945	2	NA	NA
398578	7	NA	NA
399741	4	NA	NA
399804	1	NA	NA
400667	1	NA	NA
400756	2	NA	NA
402612	16	NA	NA
402626	1	NA	NA
404380	1	NA	NA
405955	1	NA	NA
414684	1	NA	NA
416344	1	NA	NA
416870	2	NA	NA
420246	1	NA	NA
420662	2	NA	NA
424182	1	NA	NA
425011	2	NA	NA
426355	2	NA	NA
428406	1	NA	NA
435590	1	NA	NA
436114	2	NA	NA
436308	1	NA	NA
436717	2	NA	NA
438753	4	NA	NA
439843	12	NA	NA
440085	2	NA	NA
441620	3	NA	NA
446466	1	NA	NA
447217	2	NA	NA
450851	1	NA	NA
452638	4	NA	NA
452662	2	NA	NA
454169	12	NA	NA
455488	2	NA	NA
465515	2	NA	NA
471857	1	NA	NA
477641	1	NA	NA
478801	1	NA	NA
479433	1	NA	NA
481805	2	NA	NA
484021	1	NA	NA
488221	1	NA	NA
504832	1	NA	NA
509169	2	NA	NA
515619	1	NA	NA
522373	10	NA	NA
525284	3	NA	NA
535289	4	NA	NA
543728	5	NA	NA
543913	28	NA	NA
544556	1	NA	NA
548476	1	NA	NA
553199	117	NA	NA
555778	1	NA	NA
559292	3	NA	NA
562019	1	NA	NA
565050	1	NA	NA
573370	1	NA	NA
585396	12	NA	NA
591365	1	NA	NA
595537	3	NA	NA
596153	4	NA	NA
596154	1	NA	NA
622759	2	NA	NA
627192	1	NA	NA
632772	1	NA	NA
634500	1	NA	NA
640510	1	NA	NA
640512	1	NA	NA
646529	2	NA	NA
649831	1	NA	NA
652103	3	NA	NA
656519	1	NA	NA
657313	1	NA	NA
657317	1	NA	NA
