Tax.ID	Frequency	Proportion	Total
2762	2	NA	NA
2769	1	NA	NA
2787	1	NA	NA
2880	2	NA	NA
5823	14	NA	NA
10629	8	NA	NA
31271	1	NA	NA
36809	1	NA	NA
48483	1	NA	NA
48942	1	NA	NA
49266	2	NA	NA
52970	7	NA	NA
55529	1	NA	NA
62928	1	NA	NA
63737	1	NA	NA
76869	2	NA	NA
78245	4	NA	NA
94122	1	NA	NA
101510	4	NA	NA
111598	1	NA	NA
114615	1	NA	NA
122587	1	NA	NA
159087	1	NA	NA
160619	1	NA	NA
164756	1	NA	NA
164757	5	NA	NA
176279	7	NA	NA
176280	9	NA	NA
176299	1	NA	NA
189918	1	NA	NA
190485	3	NA	NA
190486	3	NA	NA
190650	3	NA	NA
196162	1	NA	NA
203120	1	NA	NA
205913	13	NA	NA
205918	1	NA	NA
205922	1	NA	NA
208963	4	NA	NA
208964	6	NA	NA
209261	1	NA	NA
216432	1	NA	NA
216591	1	NA	NA
216595	20	NA	NA
220341	34	NA	NA
220664	1	NA	NA
223283	1	NA	NA
226186	1	NA	NA
232721	34	NA	NA
234621	15	NA	NA
242619	1	NA	NA
243230	1	NA	NA
243243	1	NA	NA
243365	1	NA	NA
245014	2	NA	NA
246197	1	NA	NA
246200	1	NA	NA
247156	1	NA	NA
257310	1	NA	NA
257313	1	NA	NA
261292	1	NA	NA
262728	1	NA	NA
264198	3	NA	NA
266264	3	NA	NA
267747	8	NA	NA
269798	3	NA	NA
269800	1	NA	NA
272620	109	NA	NA
272621	1	NA	NA
272622	2	NA	NA
272623	2	NA	NA
272630	3	NA	NA
272831	1	NA	NA
278137	1	NA	NA
279238	1	NA	NA
279808	1	NA	NA
280463	3	NA	NA
281310	1	NA	NA
288000	1	NA	NA
290338	1	NA	NA
290399	4	NA	NA
296591	2	NA	NA
298653	1	NA	NA
306537	1	NA	NA
311402	1	NA	NA
312153	6	NA	NA
313598	3	NA	NA
316055	1	NA	NA
316058	1	NA	NA
316401	1	NA	NA
317655	2	NA	NA
317936	1	NA	NA
320388	1	NA	NA
322159	1	NA	NA
323098	1	NA	NA
326425	2	NA	NA
326426	1	NA	NA
335659	2	NA	NA
338969	1	NA	NA
339670	7	NA	NA
340100	4	NA	NA
342108	1	NA	NA
342451	1	NA	NA
347253	1	NA	NA
349163	1	NA	NA
349519	1	NA	NA
350054	1	NA	NA
352914	7	NA	NA
357348	1	NA	NA
358220	19	NA	NA
360094	1	NA	NA
362663	2	NA	NA
365044	3	NA	NA
365046	2	NA	NA
365659	2	NA	NA
366602	2	NA	NA
373384	5	NA	NA
376686	35	NA	NA
378753	3	NA	NA
381754	1	NA	NA
387344	1	NA	NA
388919	1	NA	NA
391008	1	NA	NA
391038	1	NA	NA
391735	6	NA	NA
391904	8	NA	NA
394221	1	NA	NA
395019	2	NA	NA
395495	3	NA	NA
395960	1	NA	NA
396588	1	NA	NA
397945	8	NA	NA
398578	7	NA	NA
398580	1	NA	NA
399741	1	NA	NA
400667	2	NA	NA
402612	21	NA	NA
404589	2	NA	NA
405531	1	NA	NA
405566	2	NA	NA
405948	1	NA	NA
405955	1	NA	NA
411154	2	NA	NA
412022	1	NA	NA
413997	2	NA	NA
416870	2	NA	NA
419610	3	NA	NA
420247	1	NA	NA
420662	1	NA	NA
424182	1	NA	NA
426355	1	NA	NA
431895	2	NA	NA
431947	1	NA	NA
439843	31	NA	NA
439855	6	NA	NA
441620	2	NA	NA
444179	1	NA	NA
450851	1	NA	NA
452637	1	NA	NA
452638	2	NA	NA
452662	1	NA	NA
454169	32	NA	NA
455632	1	NA	NA
465515	7	NA	NA
469008	2	NA	NA
469607	1	NA	NA
471854	1	NA	NA
474186	1	NA	NA
477641	1	NA	NA
478801	1	NA	NA
479436	1	NA	NA
481805	2	NA	NA
481877	1	NA	NA
482957	1	NA	NA
484021	99	NA	NA
485917	2	NA	NA
502025	1	NA	NA
504832	2	NA	NA
507522	25	NA	NA
509169	4	NA	NA
