Tax.ID	Frequency	Proportion	Total
394	1	NA	NA
2771	1	NA	NA
2787	1	NA	NA
2839	2	NA	NA
3039	2	NA	NA
5661	1	NA	NA
5749	2	NA	NA
5932	2	NA	NA
10629	200	NA	NA
10632	5	NA	NA
31964	1	NA	NA
32051	1	NA	NA
35128	1	NA	NA
39717	1	NA	NA
41431	2	NA	NA
48483	1	NA	NA
48942	1	NA	NA
52970	3	NA	NA
55510	1	NA	NA
55529	1	NA	NA
59374	2	NA	NA
60480	1	NA	NA
60481	3	NA	NA
62928	1	NA	NA
62977	2	NA	NA
69328	1	NA	NA
72520	4	NA	NA
75379	3	NA	NA
76114	1	NA	NA
82654	2	NA	NA
84588	1	NA	NA
85643	1	NA	NA
96563	11	NA	NA
100901	1	NA	NA
114615	2	NA	NA
120807	2	NA	NA
155864	2	NA	NA
158878	10	NA	NA
158879	2	NA	NA
159087	1	NA	NA
160490	1	NA	NA
160619	1	NA	NA
164756	1	NA	NA
164757	1	NA	NA
170187	1	NA	NA
171101	24	NA	NA
176279	41	NA	NA
176280	45	NA	NA
176299	1	NA	NA
179408	1	NA	NA
186103	1	NA	NA
189423	3	NA	NA
190485	13	NA	NA
190486	1	NA	NA
195103	5	NA	NA
198215	1	NA	NA
198466	1	NA	NA
198628	1	NA	NA
199310	2	NA	NA
203119	1	NA	NA
203122	1	NA	NA
203124	1	NA	NA
203267	1	NA	NA
203275	8	NA	NA
204773	2	NA	NA
205918	4	NA	NA
205922	8	NA	NA
208435	2	NA	NA
208596	2	NA	NA
208963	6	NA	NA
208964	7	NA	NA
209261	1	NA	NA
210007	2	NA	NA
213810	2	NA	NA
216432	5	NA	NA
216591	3	NA	NA
216595	6	NA	NA
218496	1	NA	NA
220341	6	NA	NA
220668	2	NA	NA
223283	4	NA	NA
224911	2	NA	NA
226185	1611	NA	NA
226186	333	NA	NA
227086	1	NA	NA
228410	2	NA	NA
231023	1	NA	NA
232721	44	NA	NA
234621	33	NA	NA
240015	1	NA	NA
245014	10	NA	NA
245018	9	NA	NA
246196	2	NA	NA
246198	1	NA	NA
246200	2	NA	NA
257314	2	NA	NA
259536	1	NA	NA
264198	2	NA	NA
264199	4	NA	NA
264203	2	NA	NA
264730	1	NA	NA
265072	1	NA	NA
266264	2	NA	NA
266265	1	NA	NA
266779	2	NA	NA
266834	1	NA	NA
266835	2	NA	NA
267608	2	NA	NA
267747	8	NA	NA
269798	5	NA	NA
271848	1	NA	NA
272559	181	NA	NA
272563	22	NA	NA
272620	1	NA	NA
272621	1	NA	NA
272622	13	NA	NA
272623	1	NA	NA
272626	4	NA	NA
272630	6	NA	NA
272831	2	NA	NA
272943	1	NA	NA
278137	3	NA	NA
279238	2	NA	NA
279808	7	NA	NA
280463	4	NA	NA
281090	1	NA	NA
284812	2	NA	NA
288000	3	NA	NA
289380	2	NA	NA
290339	1	NA	NA
290400	1	NA	NA
290633	2	NA	NA
291331	2	NA	NA
292414	1	NA	NA
295405	113	NA	NA
296543	1	NA	NA
296591	8	NA	NA
298654	2	NA	NA
299768	3	NA	NA
300267	1	NA	NA
306537	1	NA	NA
312153	11	NA	NA
313595	6	NA	NA
313598	8	NA	NA
313603	2	NA	NA
314225	3	NA	NA
314315	4	NA	NA
314565	8	NA	NA
315750	4	NA	NA
316058	2	NA	NA
316273	1	NA	NA
316385	2	NA	NA
316407	2	NA	NA
317655	4	NA	NA
318586	1	NA	NA
320372	1	NA	NA
320388	1	NA	NA
320483	1	NA	NA
321956	3	NA	NA
321967	49	NA	NA
322159	90	NA	NA
322710	3	NA	NA
323097	1	NA	NA
324831	50	NA	NA
326297	1	NA	NA
326423	3	NA	NA
326424	1	NA	NA
326425	2	NA	NA
331111	6	NA	NA
331112	5	NA	NA
331271	9	NA	NA
333849	1069	NA	NA
334390	7	NA	NA
334413	9	NA	NA
335283	1	NA	NA
335541	4	NA	NA
335659	1	NA	NA
335992	1	NA	NA
338969	5	NA	NA
339670	7	NA	NA
340100	5	NA	NA
340322	4	NA	NA
342108	1	NA	NA
342109	2	NA	NA
344609	1	NA	NA
347253	10	NA	NA
349101	2	NA	NA
349102	3	NA	NA
349124	2	NA	NA
350054	3	NA	NA
350058	1	NA	NA
351746	5	NA	NA
354242	8	NA	NA
357809	3	NA	NA
358220	39	NA	NA
359786	14	NA	NA
359787	1	NA	NA
360094	2	NA	NA
360095	2	NA	NA
362663	28	NA	NA
362948	39	NA	NA
365044	19	NA	NA
365046	9	NA	NA
365659	56	NA	NA
366602	1	NA	NA
367928	3	NA	NA
370554	2	NA	NA
373153	32	NA	NA
373384	14	NA	NA
375286	3	NA	NA
375451	1	NA	NA
376686	113	NA	NA
378753	4	NA	NA
379731	6	NA	NA
380703	2	NA	NA
381666	5	NA	NA
381754	3	NA	NA
382245	4	NA	NA
383629	1	NA	NA
384676	5	NA	NA
386043	4	NA	NA
387344	4	NA	NA
388919	12	NA	NA
390235	4	NA	NA
390333	15	NA	NA
391008	3	NA	NA
391038	1	NA	NA
391295	13	NA	NA
391296	13	NA	NA
391616	1	NA	NA
391626	1	NA	NA
391735	8	NA	NA
391904	2	NA	NA
392499	1	NA	NA
392500	1	NA	NA
393305	1	NA	NA
394503	3	NA	NA
395019	5	NA	NA
395492	2	NA	NA
395495	4	NA	NA
395962	2	NA	NA
397945	18	NA	NA
398527	1	NA	NA
398577	1	NA	NA
398578	17	NA	NA
398580	2	NA	NA
398767	1	NA	NA
399739	17	NA	NA
400667	5	NA	NA
400756	2	NA	NA
402612	83	NA	NA
402881	1	NA	NA
405416	1	NA	NA
405534	1	NA	NA
405566	1	NA	NA
405948	1	NA	NA
405955	24	NA	NA
406425	2	NA	NA
409438	2	NA	NA
411154	11	NA	NA
412022	1	NA	NA
412694	2	NA	NA
414684	1	NA	NA
416870	3	NA	NA
418127	13	NA	NA
419610	13	NA	NA
420247	1	NA	NA
420662	10	NA	NA
420889	1	NA	NA
423211	1	NA	NA
424182	3	NA	NA
425011	2	NA	NA
426114	2	NA	NA
426117	1	NA	NA
426355	2	NA	NA
426430	5	NA	NA
428406	2	NA	NA
431947	1	NA	NA
435258	3	NA	NA
435590	129	NA	NA
435591	32	NA	NA
435998	1	NA	NA
436717	2	NA	NA
439375	2	NA	NA
439843	4	NA	NA
439855	5	NA	NA
440085	9	NA	NA
441620	6	NA	NA
443218	1	NA	NA
443906	2	NA	NA
446466	1	NA	NA
450851	1	NA	NA
451516	13	NA	NA
452471	1	NA	NA
452637	3	NA	NA
452638	9	NA	NA
452662	1	NA	NA
452863	2	NA	NA
454169	6	NA	NA
457425	1	NA	NA
458233	4	NA	NA
460265	1	NA	NA
464988	1	NA	NA
465515	6	NA	NA
467705	15	NA	NA
469383	1	NA	NA
471856	2	NA	NA
474186	180	NA	NA
478801	3	NA	NA
479433	1	NA	NA
479436	12	NA	NA
481805	22	NA	NA
482957	4	NA	NA
487213	5	NA	NA
487214	10	NA	NA
488222	2	NA	NA
488223	2	NA	NA
491915	1	NA	NA
498216	29	NA	NA
502558	1	NA	NA
504472	1	NA	NA
504474	1	NA	NA
504832	2	NA	NA
508771	1	NA	NA
509169	8	NA	NA
509170	4	NA	NA
509173	4	NA	NA
511437	2	NA	NA
511691	1	NA	NA
512566	7	NA	NA
515619	37	NA	NA
515620	4	NA	NA
516950	43	NA	NA
521006	1	NA	NA
521095	1	NA	NA
521097	1	NA	NA
521674	5	NA	NA
522306	1	NA	NA
522373	9	NA	NA
523794	4	NA	NA
523796	1	NA	NA
525284	22	NA	NA
525381	6	NA	NA
525898	2	NA	NA
525919	1	NA	NA
526218	1	NA	NA
526227	1	NA	NA
535289	23	NA	NA
536019	1	NA	NA
536056	3	NA	NA
537973	1	NA	NA
543728	11	NA	NA
543734	40	NA	NA
543891	2	NA	NA
543913	69	NA	NA
546342	11	NA	NA
548473	1	NA	NA
548476	8	NA	NA
553174	5	NA	NA
553190	46	NA	NA
553199	246	NA	NA
557433	1	NA	NA
557436	1	NA	NA
557598	1	NA	NA
557599	1	NA	NA
557722	1	NA	NA
557723	1	NA	NA
557760	1	NA	NA
559292	7	NA	NA
561276	13	NA	NA
565575	3	NA	NA
565655	6	NA	NA
567106	1	NA	NA
568703	25	NA	NA
568704	62	NA	NA
568707	1	NA	NA
568814	3	NA	NA
570417	1	NA	NA
571800	1	NA	NA
572264	1	NA	NA
572477	1	NA	NA
573235	1	NA	NA
574093	1	NA	NA
574521	2	NA	NA
574556	1	NA	NA
575540	1	NA	NA
582744	1	NA	NA
582899	1	NA	NA
583345	1	NA	NA
585035	4	NA	NA
585054	1	NA	NA
585057	4	NA	NA
585394	34	NA	NA
585396	5	NA	NA
585397	4	NA	NA
590998	1	NA	NA
591167	1	NA	NA
591946	3	NA	NA
592029	2	NA	NA
593907	1	NA	NA
595495	4	NA	NA
595537	6	NA	NA
596153	11	NA	NA
596154	12	NA	NA
604162	1	NA	NA
610130	8	NA	NA
617121	1	NA	NA
622759	1	NA	NA
627192	3	NA	NA
630626	1	NA	NA
633147	1	NA	NA
633699	12	NA	NA
634176	1	NA	NA
634452	2	NA	NA
634456	2	NA	NA
634500	1	NA	NA
637379	1	NA	NA
643561	10	NA	NA
644282	1	NA	NA
644283	1	NA	NA
644801	3	NA	NA
645462	1	NA	NA
645463	9	NA	NA
646529	1	NA	NA
648757	1	NA	NA
650150	4	NA	NA
653733	3	NA	NA
655815	5	NA	NA
657309	3229	NA	NA
657310	330	NA	NA
657313	35	NA	NA
657314	64	NA	NA
657315	10	NA	NA
657316	1	NA	NA
657317	9	NA	NA
657318	9	NA	NA
657319	70	NA	NA
657321	51	NA	NA
657322	38	NA	NA
657323	12	NA	NA
657324	1	NA	NA
661410	4	NA	NA
662598	1	NA	NA
662755	1	NA	NA
663951	2	NA	NA
666681	1	NA	NA
666685	3	NA	NA
667015	38	NA	NA
673835	2	NA	NA
675635	1	NA	NA
679935	22	NA	NA
680198	1	NA	NA
680646	11	NA	NA
684738	3	NA	NA
685727	1	NA	NA
688245	10	NA	NA
688270	7	NA	NA
690566	2	NA	NA
693978	2	NA	NA
693979	63	NA	NA
694427	2	NA	NA
696748	1	NA	NA
697329	4	NA	NA
698737	2	NA	NA
699032	18	NA	NA
699033	6	NA	NA
699037	6	NA	NA
699246	2	NA	NA
700598	1	NA	NA
701177	1	NA	NA
701347	1	NA	NA
701521	3	NA	NA
702113	3	NA	NA
707241	1	NA	NA
709991	27	NA	NA
712938	5	NA	NA
712961	52	NA	NA
714313	2	NA	NA
716541	1	NA	NA
717608	31	NA	NA
717959	41	NA	NA
717960	7	NA	NA
717961	28	NA	NA
717962	17	NA	NA
718252	31	NA	NA
718254	1	NA	NA
718255	14	NA	NA
718271	4	NA	NA
742013	11	NA	NA
743525	1	NA	NA
743718	1	NA	NA
743720	4	NA	NA
743721	2	NA	NA
744533	2	NA	NA
745277	1	NA	NA
745310	3	NA	NA
746697	1	NA	NA
748247	1	NA	NA
748280	1	NA	NA
751585	4	NA	NA
754035	2	NA	NA
755732	3	NA	NA
760142	2	NA	NA
760570	180	NA	NA
762376	2	NA	NA
762633	3	NA	NA
762948	3	NA	NA
767031	1	NA	NA
767453	1	NA	NA
767455	1	NA	NA
767462	3	NA	NA
767463	87	NA	NA
767468	1	NA	NA
768486	31	NA	NA
859656	2	NA	NA
859657	1	NA	NA
860228	1	NA	NA
862719	2	NA	NA
862751	1	NA	NA
862962	102	NA	NA
862966	2	NA	NA
862967	3	NA	NA
866768	11	NA	NA
866777	3	NA	NA
867900	2	NA	NA
868597	4	NA	NA
869209	6	NA	NA
869210	2	NA	NA
869309	21	NA	NA
869729	10	NA	NA
871585	2	NA	NA
875328	2	NA	NA
879243	1	NA	NA
880070	1	NA	NA
880633	1	NA	NA
880758	1	NA	NA
882378	1	NA	NA
884204	2	NA	NA
886293	1	NA	NA
886377	1	NA	NA
903814	9	NA	NA
906968	2	NA	NA
908937	2	NA	NA
909420	1	NA	NA
909952	18	NA	NA
909954	3	NA	NA
926562	2	NA	NA
926569	1	NA	NA
927666	14	NA	NA
935593	1	NA	NA
936153	1076	NA	NA
937773	2	NA	NA
940190	7	NA	NA
941639	1	NA	NA
945021	2	NA	NA
945704	3	NA	NA
945713	1	NA	NA
946362	1	NA	NA
977801	2	NA	NA
977880	3	NA	NA
981540	1	NA	NA
983544	10	NA	NA
983548	2	NA	NA
983917	4	NA	NA
984262	1	NA	NA
984892	6	NA	NA
990315	7	NA	NA
990317	5	NA	NA
992406	1	NA	NA
994484	4	NA	NA
996285	1	NA	NA
998088	2	NA	NA
998820	3	NA	NA
999378	4	NA	NA
999541	4	NA	NA
999552	2	NA	NA
1001583	4	NA	NA
1001585	15	NA	NA
1002809	2	NA	NA
1004952	1	NA	NA
1005041	2	NA	NA
1005042	1	NA	NA
1006543	1	NA	NA
1006551	3	NA	NA
1009464	26	NA	NA
1009846	3	NA	NA
1029756	1	NA	NA
1030843	3	NA	NA
1031709	16	NA	NA
1033813	3	NA	NA
1033837	5	NA	NA
1034807	56	NA	NA
1034809	1	NA	NA
1036672	1	NA	NA
1037409	2	NA	NA
1037911	3	NA	NA
1041826	21	NA	NA
1042156	16	NA	NA
1042876	1	NA	NA
1042878	2	NA	NA
1045855	1	NA	NA
1046629	23	NA	NA
1048332	13	NA	NA
1048689	1	NA	NA
1051074	11	NA	NA
1054460	18	NA	NA
1069533	1	NA	NA
1071400	1	NA	NA
1072459	1	NA	NA
1088720	35	NA	NA
1089456	1	NA	NA
1091045	100	NA	NA
1094466	33	NA	NA
1096996	1	NA	NA
1097677	2	NA	NA
1104322	4	NA	NA
1104325	414	NA	NA
1110502	3	NA	NA
1111069	1	NA	NA
1111678	2	NA	NA
1114965	184	NA	NA
1114966	3	NA	NA
1114967	15	NA	NA
1114969	224	NA	NA
1114970	2	NA	NA
1116231	1	NA	NA
1121353	1	NA	NA
1123519	3	NA	NA
1123523	2	NA	NA
1124983	1	NA	NA
1133852	1	NA	NA
1133853	2	NA	NA
1134454	116	NA	NA
1136179	26	NA	NA
1142394	1	NA	NA
1155766	1268	NA	NA
1156431	29	NA	NA
1156433	36	NA	NA
1163399	5	NA	NA
1163617	3	NA	NA
1167634	3	NA	NA
1170318	12	NA	NA
1171373	1	NA	NA
1171376	1	NA	NA
1171377	1	NA	NA
1173020	1	NA	NA
1185652	2	NA	NA
1187956	18	NA	NA
1191061	2	NA	NA
1192196	1	NA	NA
1194526	4	NA	NA
1196835	4	NA	NA
1198627	1	NA	NA
1206105	101	NA	NA
1207075	2	NA	NA
1211025	1	NA	NA
1215088	2	NA	NA
1215914	2	NA	NA
1216976	3	NA	NA
1224746	1	NA	NA
1228997	1	NA	NA
1234679	16	NA	NA
1241583	1	NA	NA
1245469	1	NA	NA
1245471	8	NA	NA
1246301	6	NA	NA
1254439	1	NA	NA
1261557	89	NA	NA
1262456	1	NA	NA
1265601	1	NA	NA
1266845	1	NA	NA
1271863	1	NA	NA
1273173	4	NA	NA
1276282	3	NA	NA
1282356	3	NA	NA
1286170	1	NA	NA
1288394	3	NA	NA
1294143	3	NA	NA
1298593	1	NA	NA
1300150	5	NA	NA
1302863	5	NA	NA
1303024	1	NA	NA
1304892	2	NA	NA
1305849	235	NA	NA
1316933	1	NA	NA
1318615	1	NA	NA
1318634	1	NA	NA
1318635	10	NA	NA
1322346	1	NA	NA
1327988	2	NA	NA
1331671	1	NA	NA
1340495	1	NA	NA
1346614	2	NA	NA
1355100	1	NA	NA
1367847	1	NA	NA
1379702	1	NA	NA
1380774	1	NA	NA
1389489	1	NA	NA
1415630	6	NA	NA
1416914	2	NA	NA
1423144	1	NA	NA
1427342	2	NA	NA
1435356	2	NA	NA
1436140	6	NA	NA
