Tax.ID	Frequency	Proportion	Total
5518	1	1.87722674289709e-07	5327007
10629	38	7.13346162300894e-06	5327007
10632	2	3.75445348579418e-07	5327007
62928	1	1.87722674289709e-07	5327007
62977	1	1.87722674289709e-07	5327007
69328	4	7.50890697158836e-07	5327007
75379	1	1.87722674289709e-07	5327007
76869	2	3.75445348579418e-07	5327007
78245	1	1.87722674289709e-07	5327007
85643	1	1.87722674289709e-07	5327007
94122	1	1.87722674289709e-07	5327007
114615	2	3.75445348579418e-07	5327007
137722	1	1.87722674289709e-07	5327007
176279	4	7.50890697158836e-07	5327007
176280	5	9.38613371448545e-07	5327007
179408	1	1.87722674289709e-07	5327007
196164	1	1.87722674289709e-07	5327007
204773	1	1.87722674289709e-07	5327007
205918	3	5.63168022869127e-07	5327007
205922	4	7.50890697158836e-07	5327007
207559	1	1.87722674289709e-07	5327007
208963	1	1.87722674289709e-07	5327007
216591	8	1.50178139431767e-06	5327007
216595	34	6.38257092585011e-06	5327007
220341	5	9.38613371448545e-07	5327007
220664	2	3.75445348579418e-07	5327007
224911	2	3.75445348579418e-07	5327007
231023	3	5.63168022869127e-07	5327007
232721	13	2.44039476576622e-06	5327007
234621	6	1.12633604573825e-06	5327007
242231	1	1.87722674289709e-07	5327007
262727	1	1.87722674289709e-07	5327007
264198	2	3.75445348579418e-07	5327007
264462	1	1.87722674289709e-07	5327007
264730	2	3.75445348579418e-07	5327007
266117	1	1.87722674289709e-07	5327007
266264	1	1.87722674289709e-07	5327007
266265	2	3.75445348579418e-07	5327007
266835	2	3.75445348579418e-07	5327007
267608	1	1.87722674289709e-07	5327007
267747	3	5.63168022869127e-07	5327007
269482	4	7.50890697158836e-07	5327007
271848	1	1.87722674289709e-07	5327007
272560	1	1.87722674289709e-07	5327007
272630	5	9.38613371448545e-07	5327007
279238	2	3.75445348579418e-07	5327007
279808	1	1.87722674289709e-07	5327007
288000	1	1.87722674289709e-07	5327007
290339	2	3.75445348579418e-07	5327007
290397	1	1.87722674289709e-07	5327007
293613	2	3.75445348579418e-07	5327007
306537	1	1.87722674289709e-07	5327007
312153	1	1.87722674289709e-07	5327007
314225	2	3.75445348579418e-07	5327007
316056	1	1.87722674289709e-07	5327007
316385	1	1.87722674289709e-07	5327007
318586	2	3.75445348579418e-07	5327007
320388	1	1.87722674289709e-07	5327007
331271	16	3.00356278863534e-06	5327007
331272	7	1.31405872002796e-06	5327007
335659	1	1.87722674289709e-07	5327007
338969	2	3.75445348579418e-07	5327007
339670	9	1.68950406860738e-06	5327007
340100	3	5.63168022869127e-07	5327007
343509	1	1.87722674289709e-07	5327007
347253	1	1.87722674289709e-07	5327007
347834	1	1.87722674289709e-07	5327007
349106	5	9.38613371448545e-07	5327007
349741	1	1.87722674289709e-07	5327007
351745	3	5.63168022869127e-07	5327007
351746	1	1.87722674289709e-07	5327007
357348	2	3.75445348579418e-07	5327007
358220	17	3.19128546292505e-06	5327007
365046	1	1.87722674289709e-07	5327007
365659	1	1.87722674289709e-07	5327007
366602	1	1.87722674289709e-07	5327007
374930	1	1.87722674289709e-07	5327007
374931	1	1.87722674289709e-07	5327007
375286	1	1.87722674289709e-07	5327007
376686	1	1.87722674289709e-07	5327007
379731	4	7.50890697158836e-07	5327007
380358	1	1.87722674289709e-07	5327007
381666	3	5.63168022869127e-07	5327007
381754	4	7.50890697158836e-07	5327007
382245	1	1.87722674289709e-07	5327007
384676	5	9.38613371448545e-07	5327007
390235	1	1.87722674289709e-07	5327007
390333	1	1.87722674289709e-07	5327007
391008	5	9.38613371448545e-07	5327007
391038	1	1.87722674289709e-07	5327007
391165	1	1.87722674289709e-07	5327007
391735	2	3.75445348579418e-07	5327007
391896	2	3.75445348579418e-07	5327007
392499	2	3.75445348579418e-07	5327007
395019	16	3.00356278863534e-06	5327007
395495	1	1.87722674289709e-07	5327007
395960	1	1.87722674289709e-07	5327007
396588	1	1.87722674289709e-07	5327007
397945	2	3.75445348579418e-07	5327007
398527	1	1.87722674289709e-07	5327007
398577	2	3.75445348579418e-07	5327007
398578	14	2.62811744005593e-06	5327007
399739	8	1.50178139431767e-06	5327007
400667	4	7.50890697158836e-07	5327007
