Tax.ID	Frequency	Proportion	Total
10629	15	3.04637929696877e-06	4923878
10632	261	5.30069997672566e-05	4923878
10633	1	2.03091953131251e-07	4923878
62977	2	4.06183906262503e-07	4923878
65071	1	2.03091953131251e-07	4923878
69328	1	2.03091953131251e-07	4923878
129356	1	2.03091953131251e-07	4923878
129358	1	2.03091953131251e-07	4923878
160488	2	4.06183906262503e-07	4923878
176279	1	2.03091953131251e-07	4923878
176280	1	2.03091953131251e-07	4923878
190304	2	4.06183906262503e-07	4923878
190485	1	2.03091953131251e-07	4923878
190650	2	4.06183906262503e-07	4923878
195103	4	8.12367812525006e-07	4923878
205922	4	8.12367812525006e-07	4923878
208963	3	6.09275859393754e-07	4923878
208964	2	4.06183906262503e-07	4923878
216595	16	3.24947125010002e-06	4923878
220341	16	3.24947125010002e-06	4923878
223283	1	2.03091953131251e-07	4923878
226185	1	2.03091953131251e-07	4923878
231023	1	2.03091953131251e-07	4923878
232721	4	8.12367812525006e-07	4923878
234621	1	2.03091953131251e-07	4923878
257310	1	2.03091953131251e-07	4923878
264198	1	2.03091953131251e-07	4923878
269482	1	2.03091953131251e-07	4923878
272630	1	2.03091953131251e-07	4923878
284812	2	4.06183906262503e-07	4923878
290339	1	2.03091953131251e-07	4923878
296591	1	2.03091953131251e-07	4923878
314565	1	2.03091953131251e-07	4923878
320373	1	2.03091953131251e-07	4923878
320388	1	2.03091953131251e-07	4923878
322159	1	2.03091953131251e-07	4923878
322710	2	4.06183906262503e-07	4923878
339670	1	2.03091953131251e-07	4923878
340100	1	2.03091953131251e-07	4923878
342108	1	2.03091953131251e-07	4923878
344609	1	2.03091953131251e-07	4923878
351746	1	2.03091953131251e-07	4923878
358220	10	2.03091953131251e-06	4923878
362663	1	2.03091953131251e-07	4923878
365044	2	4.06183906262503e-07	4923878
373384	2	4.06183906262503e-07	4923878
376686	1	2.03091953131251e-07	4923878
384676	1	2.03091953131251e-07	4923878
390235	2	4.06183906262503e-07	4923878
391735	1	2.03091953131251e-07	4923878
395495	2	4.06183906262503e-07	4923878
396588	1	2.03091953131251e-07	4923878
397945	3	6.09275859393754e-07	4923878
398577	2	4.06183906262503e-07	4923878
398578	5	1.01545976565626e-06	4923878
399739	2	4.06183906262503e-07	4923878
399741	1	2.03091953131251e-07	4923878
402612	1	2.03091953131251e-07	4923878
403677	1	2.03091953131251e-07	4923878
405955	2	4.06183906262503e-07	4923878
412022	1	2.03091953131251e-07	4923878
419610	2	4.06183906262503e-07	4923878
420662	1	2.03091953131251e-07	4923878
435590	1	2.03091953131251e-07	4923878
439843	16	3.24947125010002e-06	4923878
440085	1	2.03091953131251e-07	4923878
441620	1	2.03091953131251e-07	4923878
452637	1	2.03091953131251e-07	4923878
452662	2	4.06183906262503e-07	4923878
454169	16	3.24947125010002e-06	4923878
455632	1	2.03091953131251e-07	4923878
465515	1	2.03091953131251e-07	4923878
481805	1	2.03091953131251e-07	4923878
482957	2	4.06183906262503e-07	4923878
509169	1	2.03091953131251e-07	4923878
510516	1	2.03091953131251e-07	4923878
522373	7	1.42164367191876e-06	4923878
526226	1	2.03091953131251e-07	4923878
535289	1	2.03091953131251e-07	4923878
543728	4	8.12367812525006e-07	4923878
543913	1	2.03091953131251e-07	4923878
544556	1	2.03091953131251e-07	4923878
550542	1	2.03091953131251e-07	4923878
553199	14	2.84328734383752e-06	4923878
585396	16	3.24947125010002e-06	4923878
591167	1	2.03091953131251e-07	4923878
596153	2	4.06183906262503e-07	4923878
596154	2	4.06183906262503e-07	4923878
627192	1	2.03091953131251e-07	4923878
640081	1	2.03091953131251e-07	4923878
643561	1	2.03091953131251e-07	4923878
657310	1	2.03091953131251e-07	4923878
657321	1	2.03091953131251e-07	4923878
661410	1	2.03091953131251e-07	4923878
663954	1	2.03091953131251e-07	4923878
685727	1	2.03091953131251e-07	4923878
688245	3	6.09275859393754e-07	4923878
690566	2	4.06183906262503e-07	4923878
691437	1	2.03091953131251e-07	4923878
742013	2	4.06183906262503e-07	4923878
765952	1	2.03091953131251e-07	4923878
767463	2	4.06183906262503e-07	4923878
868597	3	6.09275859393754e-07	4923878
884204	1	2.03091953131251e-07	4923878
931281	1	2.03091953131251e-07	4923878
936153	1	2.03091953131251e-07	4923878
953739	1	2.03091953131251e-07	4923878
990315	1	2.03091953131251e-07	4923878
994484	1	2.03091953131251e-07	4923878
996285	1	2.03091953131251e-07	4923878
1005048	1	2.03091953131251e-07	4923878
1034807	1	2.03091953131251e-07	4923878
1037911	8	1.62473562505001e-06	4923878
1042876	2	4.06183906262503e-07	4923878
1042878	1	2.03091953131251e-07	4923878
1091045	9	1.82782757818126e-06	4923878
1094466	1	2.03091953131251e-07	4923878
1110502	1	2.03091953131251e-07	4923878
1114967	4	8.12367812525006e-07	4923878
1114969	17	3.45256320323127e-06	4923878
1114970	1	2.03091953131251e-07	4923878
1134454	11	2.23401148444377e-06	4923878
1136179	2	4.06183906262503e-07	4923878
1163399	1	2.03091953131251e-07	4923878
1170318	2	4.06183906262503e-07	4923878
1207075	2	4.06183906262503e-07	4923878
1215088	1	2.03091953131251e-07	4923878
1216976	1	2.03091953131251e-07	4923878
1245471	3	6.09275859393754e-07	4923878
1246301	2	4.06183906262503e-07	4923878
1257118	1	2.03091953131251e-07	4923878
1265601	1	2.03091953131251e-07	4923878
1282356	9	1.82782757818126e-06	4923878
1346614	3	6.09275859393754e-07	4923878
1415630	19	3.85874710949378e-06	4923878
