Tax.ID	Frequency	Proportion	Total
10629	11	1.67558381910032e-06	6564876
10632	1	1.52325801736392e-07	6564876
31964	1	1.52325801736392e-07	6564876
60480	1	1.52325801736392e-07	6564876
60481	1	1.52325801736392e-07	6564876
62977	2	3.04651603472785e-07	6564876
69328	1	1.52325801736392e-07	6564876
76869	1	1.52325801736392e-07	6564876
94122	3	4.56977405209177e-07	6564876
137722	1	1.52325801736392e-07	6564876
159087	2	3.04651603472785e-07	6564876
160492	1	1.52325801736392e-07	6564876
171101	1	1.52325801736392e-07	6564876
176279	2	3.04651603472785e-07	6564876
176280	3	4.56977405209177e-07	6564876
189423	1	1.52325801736392e-07	6564876
190485	2	3.04651603472785e-07	6564876
190650	1	1.52325801736392e-07	6564876
204773	1	1.52325801736392e-07	6564876
205922	4	6.09303206945569e-07	6564876
216591	1	1.52325801736392e-07	6564876
216594	1	1.52325801736392e-07	6564876
216595	16	2.43721282778228e-06	6564876
216596	1	1.52325801736392e-07	6564876
220341	112	1.70604897944759e-05	6564876
220664	4	6.09303206945569e-07	6564876
223926	1	1.52325801736392e-07	6564876
231023	4	6.09303206945569e-07	6564876
232721	10	1.52325801736392e-06	6564876
243365	1	1.52325801736392e-07	6564876
266265	2	3.04651603472785e-07	6564876
266835	1	1.52325801736392e-07	6564876
267747	8	1.21860641389114e-06	6564876
269482	2	3.04651603472785e-07	6564876
272623	1	1.52325801736392e-07	6564876
272630	5	7.61629008681961e-07	6564876
278137	1	1.52325801736392e-07	6564876
284812	1	1.52325801736392e-07	6564876
288000	1	1.52325801736392e-07	6564876
291331	1	1.52325801736392e-07	6564876
296591	2	3.04651603472785e-07	6564876
314260	1	1.52325801736392e-07	6564876
314565	1	1.52325801736392e-07	6564876
316056	1	1.52325801736392e-07	6564876
317655	1	1.52325801736392e-07	6564876
318167	1	1.52325801736392e-07	6564876
320373	1	1.52325801736392e-07	6564876
320388	1	1.52325801736392e-07	6564876
322159	2	3.04651603472785e-07	6564876
322710	1	1.52325801736392e-07	6564876
323848	2	3.04651603472785e-07	6564876
331111	1	1.52325801736392e-07	6564876
331271	2	3.04651603472785e-07	6564876
331272	1	1.52325801736392e-07	6564876
335283	1	1.52325801736392e-07	6564876
338969	1	1.52325801736392e-07	6564876
339670	3	4.56977405209177e-07	6564876
340100	1	1.52325801736392e-07	6564876
347834	1	1.52325801736392e-07	6564876
349101	1	1.52325801736392e-07	6564876
349163	1	1.52325801736392e-07	6564876
350054	1	1.52325801736392e-07	6564876
350058	1	1.52325801736392e-07	6564876
351746	1	1.52325801736392e-07	6564876
357348	1	1.52325801736392e-07	6564876
358220	15	2.28488702604588e-06	6564876
360094	1	1.52325801736392e-07	6564876
362663	2	3.04651603472785e-07	6564876
365044	1	1.52325801736392e-07	6564876
365046	2	3.04651603472785e-07	6564876
365659	2	3.04651603472785e-07	6564876
373153	1	1.52325801736392e-07	6564876
373384	2	3.04651603472785e-07	6564876
376686	1	1.52325801736392e-07	6564876
379731	3	4.56977405209177e-07	6564876
381754	1	1.52325801736392e-07	6564876
384676	1	1.52325801736392e-07	6564876
388919	1	1.52325801736392e-07	6564876
391008	4	6.09303206945569e-07	6564876
391038	1	1.52325801736392e-07	6564876
391735	2	3.04651603472785e-07	6564876
392499	4	6.09303206945569e-07	6564876
395019	4	6.09303206945569e-07	6564876
395495	2	3.04651603472785e-07	6564876
397945	8	1.21860641389114e-06	6564876
398578	7	1.06628061215475e-06	6564876
399739	1	1.52325801736392e-07	6564876
400667	7	1.06628061215475e-06	6564876
402612	1	1.52325801736392e-07	6564876
402626	1	1.52325801736392e-07	6564876
402881	2	3.04651603472785e-07	6564876
403677	4	6.09303206945569e-07	6564876
405416	6	9.13954810418354e-07	6564876
405955	1	1.52325801736392e-07	6564876
406425	2	3.04651603472785e-07	6564876
416344	1	1.52325801736392e-07	6564876
419610	6	9.13954810418354e-07	6564876
420662	1	1.52325801736392e-07	6564876
426355	1	1.52325801736392e-07	6564876
428406	3	4.56977405209177e-07	6564876
435590	2	3.04651603472785e-07	6564876
438753	1	1.52325801736392e-07	6564876
439843	112	1.70604897944759e-05	6564876
440085	5	7.61629008681961e-07	6564876
441620	9	1.37093221562753e-06	6564876
443906	1	1.52325801736392e-07	6564876
448385	1	1.52325801736392e-07	6564876
452662	3	4.56977405209177e-07	6564876
454169	112	1.70604897944759e-05	6564876
459424	1	1.52325801736392e-07	6564876
460265	2	3.04651603472785e-07	6564876
465515	3	4.56977405209177e-07	6564876
467705	1	1.52325801736392e-07	6564876
479436	1	1.52325801736392e-07	6564876
480119	2	3.04651603472785e-07	6564876
481805	3	4.56977405209177e-07	6564876
482957	2	3.04651603472785e-07	6564876
484021	1	1.52325801736392e-07	6564876
485917	3	4.56977405209177e-07	6564876
487214	1	1.52325801736392e-07	6564876
487521	1	1.52325801736392e-07	6564876
491915	1	1.52325801736392e-07	6564876
509169	2	3.04651603472785e-07	6564876
509170	2	3.04651603472785e-07	6564876
509173	7	1.06628061215475e-06	6564876
509190	1	1.52325801736392e-07	6564876
512565	1	1.52325801736392e-07	6564876
515619	1	1.52325801736392e-07	6564876
522373	8	1.21860641389114e-06	6564876
529120	1	1.52325801736392e-07	6564876
535289	5	7.61629008681961e-07	6564876
543728	1	1.52325801736392e-07	6564876
543891	1	1.52325801736392e-07	6564876
544556	1	1.52325801736392e-07	6564876
548476	3	4.56977405209177e-07	6564876
553174	1	1.52325801736392e-07	6564876
553199	88	1.34046705528025e-05	6564876
557600	2	3.04651603472785e-07	6564876
557760	1	1.52325801736392e-07	6564876
559292	2	3.04651603472785e-07	6564876
561230	1	1.52325801736392e-07	6564876
572477	1	1.52325801736392e-07	6564876
585057	1	1.52325801736392e-07	6564876
585396	112	1.70604897944759e-05	6564876
595537	2	3.04651603472785e-07	6564876
596153	2	3.04651603472785e-07	6564876
596154	5	7.61629008681961e-07	6564876
