Tax.ID	Frequency	Proportion	Total
2787	2	3.1131936993318e-07	6424271
2839	1	1.5565968496659e-07	6424271
2850	1	1.5565968496659e-07	6424271
10629	471	7.33157116192639e-05	6424271
10632	48	7.47166487839632e-06	6424271
10633	1	1.5565968496659e-07	6424271
35128	2	3.1131936993318e-07	6424271
60481	2	3.1131936993318e-07	6424271
114615	1	1.5565968496659e-07	6424271
160619	1	1.5565968496659e-07	6424271
203120	1	1.5565968496659e-07	6424271
205918	1	1.5565968496659e-07	6424271
208963	1	1.5565968496659e-07	6424271
213810	1	1.5565968496659e-07	6424271
216595	6	9.3395810979954e-07	6424271
220341	11	1.71225653463249e-06	6424271
226185	3	4.6697905489977e-07	6424271
226186	2	3.1131936993318e-07	6424271
232721	1	1.5565968496659e-07	6424271
234621	4	6.2263873986636e-07	6424271
257310	2	3.1131936993318e-07	6424271
258594	2	3.1131936993318e-07	6424271
259536	1	1.5565968496659e-07	6424271
264198	1	1.5565968496659e-07	6424271
266779	2	3.1131936993318e-07	6424271
272623	1	1.5565968496659e-07	6424271
284812	4	6.2263873986636e-07	6424271
288000	1	1.5565968496659e-07	6424271
291331	2	3.1131936993318e-07	6424271
292414	1	1.5565968496659e-07	6424271
295405	1	1.5565968496659e-07	6424271
296543	3	4.6697905489977e-07	6424271
296591	1	1.5565968496659e-07	6424271
316056	1	1.5565968496659e-07	6424271
316057	1	1.5565968496659e-07	6424271
331271	4	6.2263873986636e-07	6424271
333849	1	1.5565968496659e-07	6424271
335284	1	1.5565968496659e-07	6424271
339670	1	1.5565968496659e-07	6424271
342109	1	1.5565968496659e-07	6424271
354242	1	1.5565968496659e-07	6424271
358220	6	9.3395810979954e-07	6424271
365044	2	3.1131936993318e-07	6424271
365046	3	4.6697905489977e-07	6424271
370438	2	3.1131936993318e-07	6424271
378753	1	1.5565968496659e-07	6424271
381666	1	1.5565968496659e-07	6424271
381754	1	1.5565968496659e-07	6424271
382245	1	1.5565968496659e-07	6424271
391008	3	4.6697905489977e-07	6424271
391165	1	1.5565968496659e-07	6424271
395960	2	3.1131936993318e-07	6424271
398527	1	1.5565968496659e-07	6424271
398578	1	1.5565968496659e-07	6424271
400756	1	1.5565968496659e-07	6424271
405955	1	1.5565968496659e-07	6424271
423368	1	1.5565968496659e-07	6424271
435590	7	1.08961779476613e-06	6424271
435591	1	1.5565968496659e-07	6424271
439843	11	1.71225653463249e-06	6424271
439855	1	1.5565968496659e-07	6424271
446462	1	1.5565968496659e-07	6424271
454169	11	1.71225653463249e-06	6424271
465515	1	1.5565968496659e-07	6424271
479436	2	3.1131936993318e-07	6424271
481805	1	1.5565968496659e-07	6424271
497978	2	3.1131936993318e-07	6424271
515619	2	3.1131936993318e-07	6424271
522373	12	1.86791621959908e-06	6424271
543728	2	3.1131936993318e-07	6424271
553199	22	3.42451306926498e-06	6424271
566546	1	1.5565968496659e-07	6424271
568707	1	1.5565968496659e-07	6424271
568814	1	1.5565968496659e-07	6424271
571800	1	1.5565968496659e-07	6424271
585054	1	1.5565968496659e-07	6424271
585394	3	4.6697905489977e-07	6424271
585396	11	1.71225653463249e-06	6424271
595494	1	1.5565968496659e-07	6424271
595495	1	1.5565968496659e-07	6424271
596153	1	1.5565968496659e-07	6424271
596154	1	1.5565968496659e-07	6424271
637379	1	1.5565968496659e-07	6424271
643561	1	1.5565968496659e-07	6424271
645463	1	1.5565968496659e-07	6424271
645464	1	1.5565968496659e-07	6424271
652103	2	3.1131936993318e-07	6424271
657313	4	6.2263873986636e-07	6424271
657314	2	3.1131936993318e-07	6424271
657315	2	3.1131936993318e-07	6424271
657316	2	3.1131936993318e-07	6424271
657318	1	1.5565968496659e-07	6424271
657319	1	1.5565968496659e-07	6424271
657322	2	3.1131936993318e-07	6424271
657323	1	1.5565968496659e-07	6424271
679935	1	1.5565968496659e-07	6424271
696216	1	1.5565968496659e-07	6424271
700508	1	1.5565968496659e-07	6424271
717605	1	1.5565968496659e-07	6424271
718252	1	1.5565968496659e-07	6424271
718255	2	3.1131936993318e-07	6424271
718271	1	1.5565968496659e-07	6424271
718274	1	1.5565968496659e-07	6424271
742013	1	1.5565968496659e-07	6424271
