Tax.ID	Frequency	Proportion	Total
190485	1	1.2356739056563e-06	809275
232721	1	1.2356739056563e-06	809275
362663	1	1.2356739056563e-06	809275
378753	1	1.2356739056563e-06	809275
390235	1	1.2356739056563e-06	809275
391008	1	1.2356739056563e-06	809275
405955	1	1.2356739056563e-06	809275
435590	1	1.2356739056563e-06	809275
481805	1	1.2356739056563e-06	809275
509169	1	1.2356739056563e-06	809275
521006	1	1.2356739056563e-06	809275
522373	1	1.2356739056563e-06	809275
535289	1	1.2356739056563e-06	809275
553199	4	4.94269562262519e-06	809275
640131	1	1.2356739056563e-06	809275
644801	1	1.2356739056563e-06	809275
657316	1	1.2356739056563e-06	809275
742013	1	1.2356739056563e-06	809275
868597	1	1.2356739056563e-06	809275
998088	1	1.2356739056563e-06	809275
1001585	1	1.2356739056563e-06	809275
1028307	1	1.2356739056563e-06	809275
1042876	1	1.2356739056563e-06	809275
1091045	1	1.2356739056563e-06	809275
1114969	4	4.94269562262519e-06	809275
1134454	1	1.2356739056563e-06	809275
1163399	4	4.94269562262519e-06	809275
1415630	3	3.70702171696889e-06	809275
