Tax.ID	Frequency	Proportion	Total
62977	1	7.7400878499971e-07	1291975
101510	1	7.7400878499971e-07	1291975
190485	3	2.32202635499913e-06	1291975
208963	1	7.7400878499971e-07	1291975
208964	1	7.7400878499971e-07	1291975
214092	1	7.7400878499971e-07	1291975
216591	1	7.7400878499971e-07	1291975
216595	6	4.64405270999826e-06	1291975
220341	54	4.17964743899843e-05	1291975
226185	1	7.7400878499971e-07	1291975
232721	2	1.54801756999942e-06	1291975
264730	1	7.7400878499971e-07	1291975
266265	2	1.54801756999942e-06	1291975
272620	3	2.32202635499913e-06	1291975
279808	1	7.7400878499971e-07	1291975
282458	2	1.54801756999942e-06	1291975
284591	1	7.7400878499971e-07	1291975
290338	1	7.7400878499971e-07	1291975
290339	1	7.7400878499971e-07	1291975
314565	3	2.32202635499913e-06	1291975
316385	1	7.7400878499971e-07	1291975
320847	1	7.7400878499971e-07	1291975
331271	2	1.54801756999942e-06	1291975
331272	2	1.54801756999942e-06	1291975
339670	1	7.7400878499971e-07	1291975
358220	1	7.7400878499971e-07	1291975
359786	1	7.7400878499971e-07	1291975
360102	1	7.7400878499971e-07	1291975
362663	1	7.7400878499971e-07	1291975
373384	2	1.54801756999942e-06	1291975
377628	1	7.7400878499971e-07	1291975
381754	1	7.7400878499971e-07	1291975
390235	1	7.7400878499971e-07	1291975
391038	1	7.7400878499971e-07	1291975
395019	1	7.7400878499971e-07	1291975
397945	1	7.7400878499971e-07	1291975
405955	1	7.7400878499971e-07	1291975
426430	2	1.54801756999942e-06	1291975
435998	1	7.7400878499971e-07	1291975
439843	54	4.17964743899843e-05	1291975
439855	1	7.7400878499971e-07	1291975
451516	2	1.54801756999942e-06	1291975
454169	54	4.17964743899843e-05	1291975
465515	1	7.7400878499971e-07	1291975
481805	3	2.32202635499913e-06	1291975
482957	2	1.54801756999942e-06	1291975
484021	2	1.54801756999942e-06	1291975
507522	1	7.7400878499971e-07	1291975
509169	3	2.32202635499913e-06	1291975
522373	1	7.7400878499971e-07	1291975
523796	1	7.7400878499971e-07	1291975
535289	1	7.7400878499971e-07	1291975
536056	1	7.7400878499971e-07	1291975
543728	1	7.7400878499971e-07	1291975
546342	2	1.54801756999942e-06	1291975
548473	7	5.41806149499797e-06	1291975
553199	10	7.7400878499971e-06	1291975
559307	2	1.54801756999942e-06	1291975
585396	54	4.17964743899843e-05	1291975
595537	1	7.7400878499971e-07	1291975
596153	2	1.54801756999942e-06	1291975
632772	2	1.54801756999942e-06	1291975
640510	1	7.7400878499971e-07	1291975
640512	1	7.7400878499971e-07	1291975
643561	1	7.7400878499971e-07	1291975
685039	1	7.7400878499971e-07	1291975
693444	1	7.7400878499971e-07	1291975
701347	1	7.7400878499971e-07	1291975
716541	1	7.7400878499971e-07	1291975
758793	1	7.7400878499971e-07	1291975
866768	2	1.54801756999942e-06	1291975
931890	1	7.7400878499971e-07	1291975
936153	1	7.7400878499971e-07	1291975
990315	1	7.7400878499971e-07	1291975
1006543	2	1.54801756999942e-06	1291975
1006551	4	3.09603513999884e-06	1291975
1009846	2	1.54801756999942e-06	1291975
1035377	1	7.7400878499971e-07	1291975
1037911	3	2.32202635499913e-06	1291975
1064592	1	7.7400878499971e-07	1291975
1089456	1	7.7400878499971e-07	1291975
1091045	1	7.7400878499971e-07	1291975
1097668	1	7.7400878499971e-07	1291975
1104326	2	1.54801756999942e-06	1291975
1114966	2	1.54801756999942e-06	1291975
1114967	1	7.7400878499971e-07	1291975
1114969	14	1.08361229899959e-05	1291975
1114970	1	7.7400878499971e-07	1291975
1118959	2	1.54801756999942e-06	1291975
1123523	1	7.7400878499971e-07	1291975
1134454	4	3.09603513999884e-06	1291975
1155084	1	7.7400878499971e-07	1291975
1166016	1	7.7400878499971e-07	1291975
1179773	1	7.7400878499971e-07	1291975
1191061	4	3.09603513999884e-06	1291975
1193292	2	1.54801756999942e-06	1291975
1229492	1	7.7400878499971e-07	1291975
1282356	1	7.7400878499971e-07	1291975
1286170	31	2.3994272334991e-05	1291975
1323661	1	7.7400878499971e-07	1291975
1380908	2	1.54801756999942e-06	1291975
