Tax.ID	Frequency	Proportion	Total
204773	2	1.84758188482914e-06	1082496
216595	1	9.23790942414568e-07	1082496
220341	20	1.84758188482914e-05	1082496
226185	1	9.23790942414568e-07	1082496
232721	2	1.84758188482914e-06	1082496
245018	1	9.23790942414568e-07	1082496
265072	2	1.84758188482914e-06	1082496
267747	1	9.23790942414568e-07	1082496
272630	1	9.23790942414568e-07	1082496
335659	1	9.23790942414568e-07	1082496
358220	1	9.23790942414568e-07	1082496
360094	1	9.23790942414568e-07	1082496
391008	1	9.23790942414568e-07	1082496
398578	2	1.84758188482914e-06	1082496
435590	3	2.7713728272437e-06	1082496
439843	20	1.84758188482914e-05	1082496
454169	19	1.75520279058768e-05	1082496
515619	3	2.7713728272437e-06	1082496
522306	2	1.84758188482914e-06	1082496
522373	1	9.23790942414568e-07	1082496
553199	29	2.67899373300225e-05	1082496
559292	1	9.23790942414568e-07	1082496
585394	1	9.23790942414568e-07	1082496
585396	20	1.84758188482914e-05	1082496
657322	2	1.84758188482914e-06	1082496
688245	1	9.23790942414568e-07	1082496
690566	1	9.23790942414568e-07	1082496
702113	3	2.7713728272437e-06	1082496
718252	2	1.84758188482914e-06	1082496
743721	1	9.23790942414568e-07	1082496
757424	1	9.23790942414568e-07	1082496
869209	1	9.23790942414568e-07	1082496
909952	3	2.7713728272437e-06	1082496
935296	1	9.23790942414568e-07	1082496
936153	1	9.23790942414568e-07	1082496
1005048	2	1.84758188482914e-06	1082496
1006551	1	9.23790942414568e-07	1082496
1031709	3	2.7713728272437e-06	1082496
1037911	2	1.84758188482914e-06	1082496
1091045	11	1.01617003665602e-05	1082496
1114967	3	2.7713728272437e-06	1082496
1114969	24	2.21709826179496e-05	1082496
1134454	12	1.10854913089748e-05	1082496
1137651	1	9.23790942414568e-07	1082496
1191061	1	9.23790942414568e-07	1082496
1215088	1	9.23790942414568e-07	1082496
1415630	2	1.84758188482914e-06	1082496
