Tax.ID	Frequency	Proportion	Total
176280	1	7.35769662892414e-07	1359121
204773	1	7.35769662892414e-07	1359121
220341	2	1.47153932578483e-06	1359121
226185	1	7.35769662892414e-07	1359121
235909	1	7.35769662892414e-07	1359121
245018	1	7.35769662892414e-07	1359121
267608	1	7.35769662892414e-07	1359121
272630	1	7.35769662892414e-07	1359121
296543	1	7.35769662892414e-07	1359121
321956	1	7.35769662892414e-07	1359121
344609	1	7.35769662892414e-07	1359121
345219	1	7.35769662892414e-07	1359121
362663	5	3.67884831446207e-06	1359121
365046	1	7.35769662892414e-07	1359121
390333	1	7.35769662892414e-07	1359121
392499	1	7.35769662892414e-07	1359121
395495	1	7.35769662892414e-07	1359121
396513	1	7.35769662892414e-07	1359121
398578	1	7.35769662892414e-07	1359121
405955	5	3.67884831446207e-06	1359121
420662	1	7.35769662892414e-07	1359121
431946	1	7.35769662892414e-07	1359121
435590	2	1.47153932578483e-06	1359121
439843	2	1.47153932578483e-06	1359121
454169	2	1.47153932578483e-06	1359121
465515	1	7.35769662892414e-07	1359121
471854	3	2.20730898867724e-06	1359121
481805	2	1.47153932578483e-06	1359121
515619	1	7.35769662892414e-07	1359121
548476	1	7.35769662892414e-07	1359121
553199	9	6.62192696603172e-06	1359121
557722	1	7.35769662892414e-07	1359121
580327	1	7.35769662892414e-07	1359121
585396	2	1.47153932578483e-06	1359121
595528	2	1.47153932578483e-06	1359121
596153	1	7.35769662892414e-07	1359121
640081	1	7.35769662892414e-07	1359121
643867	1	7.35769662892414e-07	1359121
657314	1	7.35769662892414e-07	1359121
657315	1	7.35769662892414e-07	1359121
657323	1	7.35769662892414e-07	1359121
698737	2	1.47153932578483e-06	1359121
698948	1	7.35769662892414e-07	1359121
716541	2	1.47153932578483e-06	1359121
717962	1	7.35769662892414e-07	1359121
718255	1	7.35769662892414e-07	1359121
742013	2	1.47153932578483e-06	1359121
743721	1	7.35769662892414e-07	1359121
859657	1	7.35769662892414e-07	1359121
869729	3	2.20730898867724e-06	1359121
879243	1	7.35769662892414e-07	1359121
880070	1	7.35769662892414e-07	1359121
909952	1	7.35769662892414e-07	1359121
936153	1	7.35769662892414e-07	1359121
941639	1	7.35769662892414e-07	1359121
983917	1	7.35769662892414e-07	1359121
984262	1	7.35769662892414e-07	1359121
1006551	1	7.35769662892414e-07	1359121
1033813	1	7.35769662892414e-07	1359121
1041504	1	7.35769662892414e-07	1359121
1091045	3	2.20730898867724e-06	1359121
1093141	1	7.35769662892414e-07	1359121
1111068	1	7.35769662892414e-07	1359121
1114969	8	5.88615730313931e-06	1359121
1124991	1	7.35769662892414e-07	1359121
1134454	5	3.67884831446207e-06	1359121
1166130	1	7.35769662892414e-07	1359121
1167634	1	7.35769662892414e-07	1359121
1191061	1	7.35769662892414e-07	1359121
1262456	1	7.35769662892414e-07	1359121
1408272	1	7.35769662892414e-07	1359121
1415630	2	1.47153932578483e-06	1359121
