Tax.ID	Frequency	Proportion	Total
10629	5	1.37056632074486e-06	3648127
35345	1	2.74113264148973e-07	3648127
69328	1	2.74113264148973e-07	3648127
151536	1	2.74113264148973e-07	3648127
176279	2	5.48226528297946e-07	3648127
176280	2	5.48226528297946e-07	3648127
190485	1	2.74113264148973e-07	3648127
190650	1	2.74113264148973e-07	3648127
199310	1	2.74113264148973e-07	3648127
205922	1	2.74113264148973e-07	3648127
208435	1	2.74113264148973e-07	3648127
208963	1	2.74113264148973e-07	3648127
208964	1	2.74113264148973e-07	3648127
216591	1	2.74113264148973e-07	3648127
216595	4	1.09645305659589e-06	3648127
220341	15	4.11169896223459e-06	3648127
226185	1	2.74113264148973e-07	3648127
226186	1	2.74113264148973e-07	3648127
232721	1	2.74113264148973e-07	3648127
234621	2	5.48226528297946e-07	3648127
258594	1	2.74113264148973e-07	3648127
264731	1	2.74113264148973e-07	3648127
272563	1	2.74113264148973e-07	3648127
272623	1	2.74113264148973e-07	3648127
272630	1	2.74113264148973e-07	3648127
279808	1	2.74113264148973e-07	3648127
280463	2	5.48226528297946e-07	3648127
288000	1	2.74113264148973e-07	3648127
295405	2	5.48226528297946e-07	3648127
296591	2	5.48226528297946e-07	3648127
314565	1	2.74113264148973e-07	3648127
316055	1	2.74113264148973e-07	3648127
322159	2	5.48226528297946e-07	3648127
331111	1	2.74113264148973e-07	3648127
331271	1	2.74113264148973e-07	3648127
342451	1	2.74113264148973e-07	3648127
354242	1	2.74113264148973e-07	3648127
358220	1	2.74113264148973e-07	3648127
362976	1	2.74113264148973e-07	3648127
365659	2	5.48226528297946e-07	3648127
376686	1	2.74113264148973e-07	3648127
381666	1	2.74113264148973e-07	3648127
381754	1	2.74113264148973e-07	3648127
383407	1	2.74113264148973e-07	3648127
386585	1	2.74113264148973e-07	3648127
390333	2	5.48226528297946e-07	3648127
393595	1	2.74113264148973e-07	3648127
395495	1	2.74113264148973e-07	3648127
397945	1	2.74113264148973e-07	3648127
399739	1	2.74113264148973e-07	3648127
400667	1	2.74113264148973e-07	3648127
402881	2	5.48226528297946e-07	3648127
405416	1	2.74113264148973e-07	3648127
406425	1	2.74113264148973e-07	3648127
419610	2	5.48226528297946e-07	3648127
420662	1	2.74113264148973e-07	3648127
425011	1	2.74113264148973e-07	3648127
435590	6	1.64467958489384e-06	3648127
439843	15	4.11169896223459e-06	3648127
440085	1	2.74113264148973e-07	3648127
454169	15	4.11169896223459e-06	3648127
465515	2	5.48226528297946e-07	3648127
471856	1	2.74113264148973e-07	3648127
478801	4	1.09645305659589e-06	3648127
479433	1	2.74113264148973e-07	3648127
481805	1	2.74113264148973e-07	3648127
485917	1	2.74113264148973e-07	3648127
509169	1	2.74113264148973e-07	3648127
509170	1	2.74113264148973e-07	3648127
509173	1	2.74113264148973e-07	3648127
515619	3	8.22339792446919e-07	3648127
522373	2	5.48226528297946e-07	3648127
525284	6	1.64467958489384e-06	3648127
531844	2	5.48226528297946e-07	3648127
535289	1	2.74113264148973e-07	3648127
536056	1	2.74113264148973e-07	3648127
543728	2	5.48226528297946e-07	3648127
553190	1	2.74113264148973e-07	3648127
553199	29	7.94928466032021e-06	3648127
559292	2	5.48226528297946e-07	3648127
559295	1	2.74113264148973e-07	3648127
559307	1	2.74113264148973e-07	3648127
565050	1	2.74113264148973e-07	3648127
585056	1	2.74113264148973e-07	3648127
585394	1	2.74113264148973e-07	3648127
585396	15	4.11169896223459e-06	3648127
585397	1	2.74113264148973e-07	3648127
595537	1	2.74113264148973e-07	3648127
632772	1	2.74113264148973e-07	3648127
640081	1	2.74113264148973e-07	3648127
657309	1	2.74113264148973e-07	3648127
657313	3	8.22339792446919e-07	3648127
657314	1	2.74113264148973e-07	3648127
657315	1	2.74113264148973e-07	3648127
657317	2	5.48226528297946e-07	3648127
657318	3	8.22339792446919e-07	3648127
657321	3	8.22339792446919e-07	3648127
657322	1	2.74113264148973e-07	3648127
657323	1	2.74113264148973e-07	3648127
667015	1	2.74113264148973e-07	3648127
691437	1	2.74113264148973e-07	3648127
716541	2	5.48226528297946e-07	3648127
718255	2	5.48226528297946e-07	3648127
743525	1	2.74113264148973e-07	3648127
748671	6	1.64467958489384e-06	3648127
751585	1	2.74113264148973e-07	3648127
762948	1	2.74113264148973e-07	3648127
767463	1	2.74113264148973e-07	3648127
862962	1	2.74113264148973e-07	3648127
868597	1	2.74113264148973e-07	3648127
936153	1	2.74113264148973e-07	3648127
1009464	9	2.46701937734076e-06	3648127
1009846	1	2.74113264148973e-07	3648127
1031709	1	2.74113264148973e-07	3648127
1037911	3	8.22339792446919e-07	3648127
1071381	1	2.74113264148973e-07	3648127
1071382	1	2.74113264148973e-07	3648127
1091045	9	2.46701937734076e-06	3648127
1094466	1	2.74113264148973e-07	3648127
1110502	1	2.74113264148973e-07	3648127
1114966	1	2.74113264148973e-07	3648127
1114967	2	5.48226528297946e-07	3648127
1114969	32	8.77162445276713e-06	3648127
1114970	1	2.74113264148973e-07	3648127
1134454	12	3.28935916978767e-06	3648127
1136179	2	5.48226528297946e-07	3648127
1138871	1	2.74113264148973e-07	3648127
1207075	1	2.74113264148973e-07	3648127
1215088	1	2.74113264148973e-07	3648127
1233873	1	2.74113264148973e-07	3648127
1246301	2	5.48226528297946e-07	3648127
1282356	2	5.48226528297946e-07	3648127
1346614	1	2.74113264148973e-07	3648127
1415630	5	1.37056632074486e-06	3648127
