Tax.ID	Frequency	Proportion	Total
35128	2	5.66653142544998e-07	3529496
52970	1	2.83326571272499e-07	3529496
96563	1	2.83326571272499e-07	3529496
105559	1	2.83326571272499e-07	3529496
137722	1	2.83326571272499e-07	3529496
160619	2	5.66653142544998e-07	3529496
170187	1	2.83326571272499e-07	3529496
176279	3	8.49979713817497e-07	3529496
176280	3	8.49979713817497e-07	3529496
176299	1	2.83326571272499e-07	3529496
204773	2	5.66653142544998e-07	3529496
216595	5	1.41663285636249e-06	3529496
220341	10	2.83326571272499e-06	3529496
220664	1	2.83326571272499e-07	3529496
224911	1	2.83326571272499e-07	3529496
227086	1	2.83326571272499e-07	3529496
232721	4	1.13330628509e-06	3529496
234621	3	8.49979713817497e-07	3529496
242507	1	2.83326571272499e-07	3529496
243230	1	2.83326571272499e-07	3529496
261292	2	5.66653142544998e-07	3529496
262543	1	2.83326571272499e-07	3529496
266264	3	8.49979713817497e-07	3529496
266779	1	2.83326571272499e-07	3529496
266940	1	2.83326571272499e-07	3529496
267747	3	8.49979713817497e-07	3529496
272623	1	2.83326571272499e-07	3529496
284812	1	2.83326571272499e-07	3529496
289397	2	5.66653142544998e-07	3529496
290399	1	2.83326571272499e-07	3529496
312153	2	5.66653142544998e-07	3529496
313598	1	2.83326571272499e-07	3529496
314260	1	2.83326571272499e-07	3529496
316055	1	2.83326571272499e-07	3529496
321956	2	5.66653142544998e-07	3529496
322159	1	2.83326571272499e-07	3529496
325240	1	2.83326571272499e-07	3529496
326424	1	2.83326571272499e-07	3529496
335659	1	2.83326571272499e-07	3529496
347257	1	2.83326571272499e-07	3529496
349106	1	2.83326571272499e-07	3529496
349519	1	2.83326571272499e-07	3529496
358220	7	1.98328599890749e-06	3529496
360910	1	2.83326571272499e-07	3529496
365044	2	5.66653142544998e-07	3529496
365046	2	5.66653142544998e-07	3529496
365659	1	2.83326571272499e-07	3529496
373384	5	1.41663285636249e-06	3529496
376686	11	3.11659228399749e-06	3529496
379731	2	5.66653142544998e-07	3529496
381666	1	2.83326571272499e-07	3529496
381754	3	8.49979713817497e-07	3529496
384676	1	2.83326571272499e-07	3529496
390235	1	2.83326571272499e-07	3529496
390236	1	2.83326571272499e-07	3529496
390333	2	5.66653142544998e-07	3529496
391008	3	8.49979713817497e-07	3529496
