Tax.ID	Frequency	Proportion	Total
2850	1	1.95002058246725e-07	5128151
32049	1	1.95002058246725e-07	5128151
43925	1	1.95002058246725e-07	5128151
43926	1	1.95002058246725e-07	5128151
52970	1	1.95002058246725e-07	5128151
55529	1	1.95002058246725e-07	5128151
76869	1	1.95002058246725e-07	5128151
94122	1	1.95002058246725e-07	5128151
96563	2	3.9000411649345e-07	5128151
160619	2	3.9000411649345e-07	5128151
204773	4	7.80008232986899e-07	5128151
207559	1	1.95002058246725e-07	5128151
208964	1	1.95002058246725e-07	5128151
216591	1	1.95002058246725e-07	5128151
216595	2	3.9000411649345e-07	5128151
220341	6	1.17001234948035e-06	5128151
220664	1	1.95002058246725e-07	5128151
232721	11	2.14502264071397e-06	5128151
234621	8	1.5600164659738e-06	5128151
243090	1	1.95002058246725e-07	5128151
266264	3	5.85006174740174e-07	5128151
266835	1	1.95002058246725e-07	5128151
267608	1	1.95002058246725e-07	5128151
267747	3	5.85006174740174e-07	5128151
272622	1	1.95002058246725e-07	5128151
272623	9	1.75501852422052e-06	5128151
272630	1	1.95002058246725e-07	5128151
272942	1	1.95002058246725e-07	5128151
272943	1	1.95002058246725e-07	5128151
290399	4	7.80008232986899e-07	5128151
293826	4	7.80008232986899e-07	5128151
296591	5	9.75010291233624e-07	5128151
298654	1	1.95002058246725e-07	5128151
312153	4	7.80008232986899e-07	5128151
317655	1	1.95002058246725e-07	5128151
318586	2	3.9000411649345e-07	5128151
322159	1	1.95002058246725e-07	5128151
324831	1	1.95002058246725e-07	5128151
331271	1	1.95002058246725e-07	5128151
331272	1	1.95002058246725e-07	5128151
331678	1	1.95002058246725e-07	5128151
334413	1	1.95002058246725e-07	5128151
338969	2	3.9000411649345e-07	5128151
339670	3	5.85006174740174e-07	5128151
340100	2	3.9000411649345e-07	5128151
342108	1	1.95002058246725e-07	5128151
349102	1	1.95002058246725e-07	5128151
351348	1	1.95002058246725e-07	5128151
358220	11	2.14502264071397e-06	5128151
365044	7	1.36501440772707e-06	5128151
365046	5	9.75010291233624e-07	5128151
375286	1	1.95002058246725e-07	5128151
376686	26	5.07005351441484e-06	5128151
384676	1	1.95002058246725e-07	5128151
391008	1	1.95002058246725e-07	5128151
391735	1	1.95002058246725e-07	5128151
394221	1	1.95002058246725e-07	5128151
395019	3	5.85006174740174e-07	5128151
395495	2	3.9000411649345e-07	5128151
397945	1	1.95002058246725e-07	5128151
398578	11	2.14502264071397e-06	5128151
400756	1	1.95002058246725e-07	5128151
402612	14	2.73002881545415e-06	5128151
402626	3	5.85006174740174e-07	5128151
416870	1	1.95002058246725e-07	5128151
419610	1	1.95002058246725e-07	5128151
420662	1	1.95002058246725e-07	5128151
426355	1	1.95002058246725e-07	5128151
426430	1	1.95002058246725e-07	5128151
428406	1	1.95002058246725e-07	5128151
435590	1	1.95002058246725e-07	5128151
435591	1	1.95002058246725e-07	5128151
439843	6	1.17001234948035e-06	5128151
440085	1	1.95002058246725e-07	5128151
441620	2	3.9000411649345e-07	5128151
446465	1	1.95002058246725e-07	5128151
451516	1	1.95002058246725e-07	5128151
452638	3	5.85006174740174e-07	5128151
454169	6	1.17001234948035e-06	5128151
460265	1	1.95002058246725e-07	5128151
465515	3	5.85006174740174e-07	5128151
479436	1	1.95002058246725e-07	5128151
482957	1	1.95002058246725e-07	5128151
517418	1	1.95002058246725e-07	5128151
521097	4	7.80008232986899e-07	5128151
521674	1	1.95002058246725e-07	5128151
522373	4	7.80008232986899e-07	5128151
535289	4	7.80008232986899e-07	5128151
543728	9	1.75501852422052e-06	5128151
543913	18	3.51003704844105e-06	5128151
548473	1	1.95002058246725e-07	5128151
553190	1	1.95002058246725e-07	5128151
553199	37	7.21507615512882e-06	5128151
559292	6	1.17001234948035e-06	5128151
559295	2	3.9000411649345e-07	5128151
580332	5	9.75010291233624e-07	5128151
585396	6	1.17001234948035e-06	5128151
595537	5	9.75010291233624e-07	5128151
596153	5	9.75010291233624e-07	5128151
596154	4	7.80008232986899e-07	5128151
626418	1	1.95002058246725e-07	5128151
640081	1	1.95002058246725e-07	5128151
643561	2	3.9000411649345e-07	5128151
649349	2	3.9000411649345e-07	5128151
663951	1	1.95002058246725e-07	5128151
666685	1	1.95002058246725e-07	5128151
680646	1	1.95002058246725e-07	5128151
684738	8	1.5600164659738e-06	5128151
688245	1	1.95002058246725e-07	5128151
712961	1	1.95002058246725e-07	5128151
742013	7	1.36501440772707e-06	5128151
745310	1	1.95002058246725e-07	5128151
746361	1	1.95002058246725e-07	5128151
755732	5	9.75010291233624e-07	5128151
757424	1	1.95002058246725e-07	5128151
767463	1	1.95002058246725e-07	5128151
859656	1	1.95002058246725e-07	5128151
867900	2	3.9000411649345e-07	5128151
880758	1	1.95002058246725e-07	5128151
905079	2	3.9000411649345e-07	5128151
909952	1	1.95002058246725e-07	5128151
909954	1	1.95002058246725e-07	5128151
926562	2	3.9000411649345e-07	5128151
929102	1	1.95002058246725e-07	5128151
929562	2	3.9000411649345e-07	5128151
945021	1	1.95002058246725e-07	5128151
977880	1	1.95002058246725e-07	5128151
983917	3	5.85006174740174e-07	5128151
996285	1	1.95002058246725e-07	5128151
1001585	1	1.95002058246725e-07	5128151
1005048	1	1.95002058246725e-07	5128151
1006543	1	1.95002058246725e-07	5128151
1031709	4	7.80008232986899e-07	5128151
1032480	1	1.95002058246725e-07	5128151
1034807	17	3.31503499019432e-06	5128151
1037911	2	3.9000411649345e-07	5128151
1041826	11	2.14502264071397e-06	5128151
1054460	1	1.95002058246725e-07	5128151
1064592	1	1.95002058246725e-07	5128151
1071381	1	1.95002058246725e-07	5128151
1091045	16	3.1200329319476e-06	5128151
1094466	7	1.36501440772707e-06	5128151
1097668	2	3.9000411649345e-07	5128151
1114967	2	3.9000411649345e-07	5128151
1114969	33	6.43506792214192e-06	5128151
1117943	2	3.9000411649345e-07	5128151
1118963	3	5.85006174740174e-07	5128151
1124983	2	3.9000411649345e-07	5128151
1133849	1	1.95002058246725e-07	5128151
1134454	24	4.6800493979214e-06	5128151
1136179	8	1.5600164659738e-06	5128151
1163399	1	1.95002058246725e-07	5128151
1167634	1	1.95002058246725e-07	5128151
1170318	2	3.9000411649345e-07	5128151
1208923	1	1.95002058246725e-07	5128151
1235461	1	1.95002058246725e-07	5128151
1246301	3	5.85006174740174e-07	5128151
1282356	3	5.85006174740174e-07	5128151
1295826	1	1.95002058246725e-07	5128151
1321369	2	3.9000411649345e-07	5128151
1367847	1	1.95002058246725e-07	5128151
1415629	1	1.95002058246725e-07	5128151
1415630	3	5.85006174740174e-07	5128151
1423144	1	1.95002058246725e-07	5128151
1436140	1	1.95002058246725e-07	5128151
